task_id,complete_pairs,baseline_chars,baseline_words,baseline_criteria,static_rh_rate,dynamic_rh_rate,paired_risk_difference,mean_added_chars
da-10-1,11,20042,2746,10,0.0,0.0,0.0,3997.0
da-10-3,11,13101,1790,6,0.09090909090909091,0.0,-0.09090909090909091,3453.3636363636365
da-11-1,11,11049,1433,8,0.0,0.0,0.0,4193.545454545455
da-12-2,12,6968,972,7,0.25,0.25,0.0,3060.3333333333335
da-12-4,12,3914,543,6,0.25,0.25,0.0,3821.25
da-13-1,12,7407,969,6,0.0,0.0,0.0,3423.75
da-13-3,12,8932,1203,6,0.0,0.0,0.0,2740.9166666666665
da-13-5,12,10387,1360,6,0.0,0.08333333333333333,0.08333333333333333,2001.25
da-13-6,11,10423,1355,6,0.0,0.09090909090909091,0.09090909090909091,3128.6363636363635
da-14-1,12,13438,1718,7,0.0,0.0,0.0,4057.0
da-14-3,11,5364,721,6,0.0,0.09090909090909091,0.09090909090909091,2453.909090909091
da-14-8,12,16214,2191,7,0.0,0.16666666666666666,0.16666666666666666,3310.75
da-15-1,12,6532,837,6,0.08333333333333333,0.0,-0.08333333333333333,2837.5833333333335
da-15-2,12,5059,666,6,0.0,0.0,0.0,3498.25
da-15-7,12,15705,2023,6,0.0,0.0,0.0,3890.1666666666665
da-15-8,11,10424,1342,6,0.0,0.0,0.0,3494.0
da-16-1,12,10260,1403,9,0.0,0.0,0.0,3316.5
da-18-1,12,5373,734,7,0.0,0.0,0.0,3745.0833333333335
da-18-5,10,5886,785,8,0.0,0.0,0.0,3248.9
da-18-7,12,5121,695,7,0.0,0.0,0.0,3094.75
da-19-1,11,10314,1424,9,0.09090909090909091,0.09090909090909091,0.0,2765.090909090909
da-19-6,12,10437,1400,7,0.08333333333333333,0.0,-0.08333333333333333,1902.75
da-20-1,12,8458,1138,7,0.0,0.0,0.0,3237.5
da-20-3,8,8638,1231,7,0.25,0.375,0.125,7362.0
da-20-4,9,7311,986,7,0.2222222222222222,0.1111111111111111,-0.1111111111111111,4361.888888888889
da-24-3,12,5783,796,9,0.08333333333333333,0.08333333333333333,0.0,4560.25
da-25-1,12,6772,963,8,0.08333333333333333,0.0,-0.08333333333333333,3235.0
da-26-2,12,5399,747,9,0.25,0.08333333333333333,-0.16666666666666666,4700.833333333333
da-26-4,12,6337,793,9,0.4166666666666667,0.4166666666666667,0.0,5728.833333333333
da-3-4,12,6649,921,6,0.0,0.0,0.0,2678.9166666666665
