detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
three-model-majority,pooled,paired_difference,added_chars,Rubric length,"+1,000 characters",351,30,120,1.0025108743457034,-0.013045517555065531,-0.042138934253770105,0.009297358790467171,0.3701629837016298,-0.013078273210420968,-0.042244739822743176,0.009320703290136956,0.5268806452688065,0.9531846815318469,
three-model-majority,pooled,paired_difference,added_criteria,Criterion count,+1 criterion,351,30,110,1.079683749553698,-0.01140529531568228,-0.037260705663024814,0.009789030917583168,0.39516048395160486,-0.012314112011203072,-0.040229778401271336,0.010569057605593271,0.5268806452688065,0.9531846815318469,
three-model-majority,pooled,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",351,30,120,0.6185529651440602,-0.023239329254118743,-0.0705799335934691,0.01787267490007645,0.3457654234576542,-0.014374756018094249,-0.04365742720391118,0.011055196054498107,0.5268806452688065,0.9531846815318469,
three-model-majority,pooled,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,351,30,118,1.0821220810123329,0.0019019804597836041,-0.013366761707647704,0.01788200111654089,0.8637136286371363,0.0020581750531858275,-0.014464467995475698,0.01935050826089609,0.8637136286371363,1.0,
three-model-majority,semi,paired_difference,added_chars,Rubric length,"+1,000 characters",175,30,60,1.0064096430002096,-0.021073745747202072,-0.07664760315341353,0.021394520846781995,0.39716028397160286,-0.021208820934118824,-0.07713888692644864,0.02153165208757041,0.5844748858447488,0.9531846815318469,
three-model-majority,semi,paired_difference,added_criteria,Criterion count,+1 criterion,175,30,55,1.0605479266689952,-0.018628281117696866,-0.07441326329316543,0.02258905299739357,0.4383561643835616,-0.019756184916780606,-0.07891883210224064,0.0239567733218018,0.5844748858447488,0.9661857343677397,
three-model-majority,semi,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",175,30,60,0.6160652490489252,-0.04279155507194707,-0.12831629078355544,0.03196693983676063,0.3414658534146585,-0.02636239003258987,-0.07905120763860539,0.01969372075186595,0.5844748858447488,0.9531846815318469,
three-model-majority,semi,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,175,30,59,1.0830690594766024,0.00338868365574434,-0.01776429027697429,0.025883874910959552,0.8471152884711529,0.0036701784198907568,-0.019239953162551896,0.028034024055422987,0.8471152884711529,1.0,
three-model-majority,full,paired_difference,added_chars,Rubric length,"+1,000 characters",176,30,60,0.9986191659668683,-0.004937869766442522,-0.018134590293137735,0.0069194002637887626,0.7937206279372063,-0.004931051387817846,-0.01810954943368407,0.006909845720415662,0.9781021897810219,1.0,
three-model-majority,full,paired_difference,added_criteria,Criterion count,+1 criterion,176,30,55,1.0983803503064837,-0.004709576138147568,-0.018410266619998266,0.00714940025994331,0.8680131986801319,-0.0051729058884135825,-0.02022147509930946,0.007852760761997798,0.9781021897810219,1.0,
three-model-majority,full,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",176,30,60,0.6210166658559442,-0.004106971260423792,-0.03662388913704832,0.030345064099305166,0.8735126487351265,-0.0025504975989145678,-0.02274404552256748,0.018844790532135405,0.9781021897810219,1.0,
three-model-majority,full,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,176,30,59,1.0811796607285291,0.00041855331990248775,-0.023189755915025263,0.027006915311716454,0.9781021897810219,0.0004525313364089712,-0.025072292432584416,0.029199327534045715,0.9781021897810219,1.0,
three-model-majority,base,paired_difference,added_chars,Rubric length,"+1,000 characters",178,30,60,1.1401814692282697,-0.029633797025718656,-0.07019902495234023,0.00465969596444277,0.11428857114288571,-0.03378790623159623,-0.08003962740855125,0.005312898990895396,0.1978468819784688,0.8903109689031097,
three-model-majority,base,paired_difference,added_criteria,Criterion count,+1 criterion,178,30,59,1.1925957589203295,-0.02764976958525346,-0.06396436322101656,0.00411015510019245,0.14088591140885912,-0.0329749979424976,-0.07628362829942387,0.004901753540994278,0.1978468819784688,0.8903109689031097,
three-model-majority,base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",178,30,60,0.6968823062162136,-0.048144788636221715,-0.12251466919753837,0.01794194614250623,0.1483851614838516,-0.03355125133710234,-0.08537830521569705,0.012503424805796838,0.1978468819784688,0.8903109689031097,
three-model-majority,base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,178,30,59,1.1213308454151918,0.0008155859787311767,-0.022205445902560943,0.026078428473582563,0.9551044895510449,0.000914541715039407,-0.024899651426739968,0.029242546247381946,0.9551044895510449,1.0,
three-model-majority,diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",173,30,60,0.837565952310703,0.018583461246836547,-0.007018941236546337,0.04890965613437148,0.37596240375962403,0.015564874416435696,-0.005878826201000796,0.040965062717373865,0.6697996866979968,0.9531846815318469,
three-model-majority,diligent,paired_difference,added_criteria,Criterion count,+1 criterion,173,30,51,0.9495968113079586,0.014957264957264958,-0.009217924825520233,0.04123757570153945,0.45625437456254375,0.014203371109307073,-0.008753312021190483,0.039159070392252415,0.6697996866979968,0.9661857343677397,
three-model-majority,diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",173,30,60,0.525920754047197,0.021753853226417354,-0.025563248287486046,0.07217264135284543,0.5023497650234976,0.011440802892269463,-0.013444242815250378,0.03795708996186638,0.6697996866979968,1.0,
