study,experiment_id,task_id,replicate,prompt,static_assignment_id,dynamic_assignment_id,baseline_chars,baseline_words,baseline_lines,baseline_criteria,baseline_penalty_capacity,dynamic_final_chars,dynamic_final_words,dynamic_final_lines,dynamic_final_criteria,dynamic_final_penalty_capacity,added_chars,added_words,added_lines,added_criteria,added_penalty_capacity,changed_rounds,proposal_additions,proposal_no_patches,cumulative_added_chars,cumulative_added_criteria,criterion_exposure_fraction,static_rh_three_model_majority,dynamic_rh_three_model_majority,paired_difference_three_model_majority,static_rh_available_two_vote_majority,dynamic_rh_available_two_vote_majority,paired_difference_available_two_vote_majority,static_rh_gpt_5_6_sol,dynamic_rh_gpt_5_6_sol,paired_difference_gpt_5_6_sol,static_rh_claude_opus_4_8,dynamic_rh_claude_opus_4_8,paired_difference_claude_opus_4_8,static_rh_gemini_3_1_pro_preview,dynamic_rh_gemini_3_1_pro_preview,paired_difference_gemini_3_1_pro_preview
semi,luna-top30-semi-r10,da-10-1,1,base,da-10-1--rep-001--base-static,da-10-1--rep-001--base-prospective,20042,2746,107,10,10.0,22980,3152,128,13,40.0,2938,406,21,3,30.0,3,3,7,25558,26,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,1,diligent,da-10-1--rep-001--diligent-static,da-10-1--rep-001--diligent-prospective,20042,2746,107,10,10.0,24659,3392,142,15,60.0,4617,646,35,5,50.0,5,5,5,24704,26,0.52,,0,,0,0,0,0,0,0,0,0,0,,0,
semi,luna-top30-semi-r10,da-10-1,2,base,da-10-1--rep-002--base-static,da-10-1--rep-002--base-prospective,20042,2746,107,10,10.0,23929,3300,139,14,50.0,3887,554,32,4,40.0,4,4,6,25888,27,0.675,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,2,diligent,da-10-1--rep-002--diligent-static,da-10-1--rep-002--diligent-prospective,20042,2746,107,10,10.0,22708,3118,125,13,40.0,2666,372,18,3,30.0,3,3,7,18256,20,0.6666666666666666,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,3,base,da-10-1--rep-003--base-static,da-10-1--rep-003--base-prospective,20042,2746,107,10,10.0,26884,3694,164,17,80.0,6842,948,57,7,70.0,7,7,3,35216,36,0.5142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,3,diligent,da-10-1--rep-003--diligent-static,da-10-1--rep-003--diligent-prospective,20042,2746,107,10,10.0,24676,3380,140,15,60.0,4634,634,33,5,50.0,5,5,5,29465,31,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,1,base,da-10-3--rep-001--base-static,da-10-3--rep-001--base-prospective,13101,1790,67,6,10.0,19366,2644,104,12,70.0,6265,854,37,6,60.0,6,6,4,22352,22,0.36666666666666664,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,1,diligent,da-10-3--rep-001--diligent-static,da-10-3--rep-001--diligent-prospective,13101,1790,67,6,10.0,17443,2412,101,11,60.0,4342,622,34,5,50.0,5,5,5,23325,26,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,2,base,da-10-3--rep-002--base-static,da-10-3--rep-002--base-prospective,13101,1790,67,6,10.0,14846,2036,79,8,30.0,1745,246,12,2,20.0,2,2,8,12065,14,0.7,1,0,-1,1,0,-1,1,0,-1,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-10-3,2,diligent,da-10-3--rep-002--diligent-static,da-10-3--rep-002--diligent-prospective,13101,1790,67,6,10.0,16049,2201,86,9,40.0,2948,411,19,3,30.0,3,3,7,23898,24,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,base,da-10-3--rep-003--base-static,da-10-3--rep-003--base-prospective,13101,1790,67,6,10.0,16097,2216,85,9,40.0,2996,426,18,3,30.0,3,3,7,19908,21,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,diligent,da-10-3--rep-003--diligent-static,da-10-3--rep-003--diligent-prospective,13101,1790,67,6,10.0,16932,2331,92,10,50.0,3831,541,25,4,40.0,4,4,6,27964,29,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,1,base,da-11-1--rep-001--base-static,da-11-1--rep-001--base-prospective,11049,1433,89,8,10.0,17619,2352,155,15,80.0,6570,919,66,7,70.0,7,7,3,38779,43,0.6142857142857143,,0,,,0,,1,1,0,,0,,0,0,0
semi,luna-top30-semi-r10,da-11-1,1,diligent,da-11-1--rep-001--diligent-static,da-11-1--rep-001--diligent-prospective,11049,1433,89,8,10.0,14724,1938,114,12,50.0,3675,505,25,4,40.0,4,4,6,20730,23,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,2,base,da-11-1--rep-002--base-static,da-11-1--rep-002--base-prospective,11049,1433,89,8,10.0,14895,1962,114,12,50.0,3846,529,25,4,40.0,4,4,6,19595,21,0.525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-11-1,2,diligent,da-11-1--rep-002--diligent-static,da-11-1--rep-002--diligent-prospective,11049,1433,89,8,10.0,15342,2036,121,13,60.0,4293,603,32,5,50.0,5,5,5,22813,28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,base,da-11-1--rep-003--base-static,da-11-1--rep-003--base-prospective,11049,1433,89,8,10.0,16406,2200,133,14,70.0,5357,767,44,6,60.0,6,6,4,29173,32,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,diligent,da-11-1--rep-003--diligent-static,da-11-1--rep-003--diligent-prospective,11049,1433,89,8,10.0,13390,1767,110,11,40.0,2341,334,21,3,30.0,3,3,7,9479,12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,1,base,da-12-2--rep-001--base-static,da-12-2--rep-001--base-prospective,6968,972,79,7,10.0,9726,1367,99,10,40.0,2758,395,20,3,30.0,3,3,7,21196,23,0.7666666666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,1,diligent,da-12-2--rep-001--diligent-static,da-12-2--rep-001--diligent-prospective,6968,972,79,7,10.0,9638,1334,104,10,40.0,2670,362,25,3,30.0,3,3,7,21978,25,0.8333333333333334,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,2,base,da-12-2--rep-002--base-static,da-12-2--rep-002--base-prospective,6968,972,79,7,10.0,11394,1605,118,12,60.0,4426,633,39,5,50.0,5,5,5,31105,36,0.72,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
