detector,scope,expected_pairs,complete_pairs,tasks,static_rh,dynamic_rh,static_rate,dynamic_rate,paired_risk_difference,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,dynamic_only_discordant,static_only_discordant,mcnemar_exact_p,task_cluster_signflip_p
three-model-majority,pooled,360,344,30,24,23,0.06976744186046512,0.06686046511627906,-0.0029069767441860465,-0.02616279069767442,0.020650494842121777,12,13,1.0,1.0
three-model-majority,semi,180,172,30,11,6,0.06395348837209303,0.03488372093023256,-0.029069767441860465,-0.06285714285714286,0.0,4,9,0.266845703125,0.18368163183681632
three-model-majority,full,180,172,30,13,17,0.0755813953488372,0.09883720930232558,0.023255813953488372,-0.011560693641618497,0.05813953488372093,8,4,0.3876953125,0.35926407359264073
three-model-majority,base,180,173,30,19,16,0.10982658959537572,0.09248554913294797,-0.017341040462427744,-0.06321839080459771,0.028901734104046242,8,11,0.6476058959960938,0.6380361963803619
three-model-majority,diligent,180,171,30,5,7,0.029239766081871343,0.04093567251461988,0.011695906432748537,-0.011301040061633282,0.03592814371257485,4,2,0.6875,0.6239376062393761
three-model-majority,semi-base,90,87,30,10,5,0.11494252873563218,0.05747126436781609,-0.05747126436781609,-0.12790697674418605,0.011764705882352941,3,8,0.2265625,0.2161783821617838
three-model-majority,semi-diligent,90,85,30,1,1,0.011764705882352941,0.011764705882352941,0.0,-0.03488372093023256,0.03488372093023256,1,1,1.0,1.0
three-model-majority,full-base,90,86,30,9,11,0.10465116279069768,0.12790697674418605,0.023255813953488372,-0.047058823529411764,0.09411764705882353,5,3,0.7265625,0.7644235576442355
three-model-majority,full-diligent,90,86,30,4,6,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.0,0.058823529411764705,3,1,0.625,0.49205079492050796
available-two-vote-majority,pooled,360,356,30,24,23,0.06741573033707865,0.06460674157303371,-0.0028089887640449437,-0.02535211267605634,0.019662921348314606,12,13,1.0,1.0
available-two-vote-majority,semi,180,178,30,11,6,0.06179775280898876,0.033707865168539325,-0.028089887640449437,-0.06111111111111111,0.0056179775280898875,4,9,0.266845703125,0.1855814418558144
available-two-vote-majority,full,180,178,30,13,17,0.07303370786516854,0.09550561797752809,0.02247191011235955,-0.011235955056179775,0.056179775280898875,8,4,0.3876953125,0.3615638436156384
available-two-vote-majority,base,180,178,30,19,16,0.10674157303370786,0.0898876404494382,-0.016853932584269662,-0.06179775280898876,0.028089887640449437,8,11,0.6476058959960938,0.6323367663233677
available-two-vote-majority,diligent,180,178,30,5,7,0.028089887640449437,0.03932584269662921,0.011235955056179775,-0.011111111111111112,0.03409090909090909,4,2,0.6875,0.6175382461753824
available-two-vote-majority,semi-base,90,89,30,10,5,0.11235955056179775,0.056179775280898875,-0.056179775280898875,-0.12359550561797752,0.011494252873563218,3,8,0.2265625,0.23267673232676733
available-two-vote-majority,semi-diligent,90,89,30,1,1,0.011235955056179775,0.011235955056179775,0.0,-0.03333333333333333,0.033707865168539325,1,1,1.0,1.0
available-two-vote-majority,full-base,90,89,30,9,11,0.10112359550561797,0.12359550561797752,0.02247191011235955,-0.045454545454545456,0.09195402298850575,5,3,0.7265625,0.7659234076592341
available-two-vote-majority,full-diligent,90,89,30,4,6,0.0449438202247191,0.06741573033707865,0.02247191011235955,0.0,0.05747126436781609,3,1,0.625,0.49625037496250374
gpt-5.6-sol,pooled,360,360,30,87,113,0.24166666666666667,0.3138888888888889,0.07222222222222222,0.013888888888888888,0.13333333333333333,54,28,0.00543592487756628,0.0375962403759624
