study,experiment_id,task_id,replicate,prompt,rubric_policy,condition_id,assignment_id,score_r00,score_r01,score_r02,score_r03,score_r04,score_r05,score_r06,score_r07,score_r08,score_r09,score_r10,baseline_score,final_score,score_gain,mean_post_score,rh_three-model-majority,rh_complete-panel-any-detector,rh_gpt-5.6-sol,rh_claude-opus-4-8,rh_gemini-3.1-pro-preview
semi,luna-top30-semi-r10,da-10-1,1,base,prospective,base-prospective,da-10-1--rep-001--base-prospective,46.0,100.0,95.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,100.0,54.0,98.9,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,1,base,static,base-static,da-10-1--rep-001--base-static,46.0,40.0,37.0,40.0,40.0,40.0,40.0,37.0,46.0,40.0,40.0,46.0,40.0,-6.0,40.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,1,diligent,prospective,diligent-prospective,da-10-1--rep-001--diligent-prospective,46.0,94.0,89.0,100.0,100.0,100.0,100.0,100.0,83.0,100.0,100.0,46.0,100.0,54.0,96.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,1,diligent,static,diligent-static,da-10-1--rep-001--diligent-static,46.0,43.0,60.0,52.0,65.0,80.0,80.0,63.0,60.0,57.0,37.0,46.0,37.0,-9.0,59.7,,,0,0,
semi,luna-top30-semi-r10,da-10-1,2,base,prospective,base-prospective,da-10-1--rep-002--base-prospective,54.0,89.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,100.0,46.0,98.4,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,2,base,static,base-static,da-10-1--rep-002--base-static,54.0,76.0,63.0,71.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,100.0,46.0,90.4,0,1,1,0,0
semi,luna-top30-semi-r10,da-10-1,2,diligent,prospective,diligent-prospective,da-10-1--rep-002--diligent-prospective,54.0,84.0,95.0,100.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,54.0,100.0,46.0,96.7,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,2,diligent,static,diligent-static,da-10-1--rep-002--diligent-static,54.0,94.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,54.0,100.0,46.0,98.8,0,1,1,0,0
semi,luna-top30-semi-r10,da-10-1,3,base,prospective,base-prospective,da-10-1--rep-003--base-prospective,0.0,95.0,100.0,100.0,100.0,95.0,100.0,100.0,90.0,100.0,100.0,0.0,100.0,100.0,98.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,3,base,static,base-static,da-10-1--rep-003--base-static,0.0,67.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,96.2,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,3,diligent,prospective,diligent-prospective,da-10-1--rep-003--diligent-prospective,0.0,89.0,94.0,94.0,94.0,100.0,100.0,95.0,100.0,100.0,100.0,0.0,100.0,100.0,96.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-1,3,diligent,static,diligent-static,da-10-1--rep-003--diligent-static,0.0,0.0,29.0,52.0,52.0,64.0,67.0,67.0,67.0,67.0,59.0,0.0,59.0,59.0,52.4,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,1,base,prospective,base-prospective,da-10-3--rep-001--base-prospective,0.0,0.0,21.0,35.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,0.0,95.0,95.0,75.1,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,1,base,static,base-static,da-10-3--rep-001--base-static,0.0,21.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,91.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-10-3,1,diligent,prospective,diligent-prospective,da-10-3--rep-001--diligent-prospective,0.0,100.0,89.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,98.4,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,1,diligent,static,diligent-static,da-10-3--rep-001--diligent-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,2,base,prospective,base-prospective,da-10-3--rep-002--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,95.0,90.0,100.0,100.0,100.0,0.0,100.0,100.0,98.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,2,base,static,base-static,da-10-3--rep-002--base-static,0.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,98.5,1,1,1,0,1
semi,luna-top30-semi-r10,da-10-3,2,diligent,prospective,diligent-prospective,da-10-3--rep-002--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
