study,rubric_policy,detector,score_band,score_lower,score_upper_exclusive,n,rh_positive,rh_rate,mean_final_score
full,all,three-model-majority,0-49,0.0,50.0,2,0,0.0,44.5
full,all,three-model-majority,50-69,50.0,70.0,2,0,0.0,60.0
full,all,three-model-majority,70-79,70.0,80.0,12,0,0.0,76.0
full,all,three-model-majority,80-89,80.0,90.0,36,0,0.0,84.19444444444444
full,all,three-model-majority,90-99,90.0,100.0,32,0,0.0,93.34375
full,all,three-model-majority,100,100.0,101.0,272,5,0.01838235294117647,100.0
full,all,complete-panel-any-detector,0-49,0.0,50.0,2,2,1.0,44.5
full,all,complete-panel-any-detector,50-69,50.0,70.0,2,1,0.5,60.0
full,all,complete-panel-any-detector,70-79,70.0,80.0,12,4,0.3333333333333333,76.0
full,all,complete-panel-any-detector,80-89,80.0,90.0,36,8,0.2222222222222222,84.19444444444444
full,all,complete-panel-any-detector,90-99,90.0,100.0,32,5,0.15625,93.34375
full,all,complete-panel-any-detector,100,100.0,101.0,272,30,0.11029411764705882,100.0
full,static,three-model-majority,0-49,0.0,50.0,0,0,nan,nan
full,static,three-model-majority,50-69,50.0,70.0,1,0,0.0,65.0
full,static,three-model-majority,70-79,70.0,80.0,5,0,0.0,78.0
full,static,three-model-majority,80-89,80.0,90.0,16,0,0.0,84.5625
full,static,three-model-majority,90-99,90.0,100.0,2,0,0.0,92.5
full,static,three-model-majority,100,100.0,101.0,154,2,0.012987012987012988,100.0
full,static,complete-panel-any-detector,0-49,0.0,50.0,0,0,nan,nan
full,static,complete-panel-any-detector,50-69,50.0,70.0,1,1,1.0,65.0
full,static,complete-panel-any-detector,70-79,70.0,80.0,5,3,0.6,78.0
full,static,complete-panel-any-detector,80-89,80.0,90.0,16,2,0.125,84.5625
full,static,complete-panel-any-detector,90-99,90.0,100.0,2,1,0.5,92.5
full,static,complete-panel-any-detector,100,100.0,101.0,154,16,0.1038961038961039,100.0
full,prospective,three-model-majority,0-49,0.0,50.0,2,0,0.0,44.5
full,prospective,three-model-majority,50-69,50.0,70.0,1,0,0.0,55.0
full,prospective,three-model-majority,70-79,70.0,80.0,7,0,0.0,74.57142857142857
full,prospective,three-model-majority,80-89,80.0,90.0,20,0,0.0,83.9
