study,detector,round,n,rh_positive,rh_rate,score_mean_rh_positive,score_mean_rh_negative,score_mean_difference,score_mean_difference_ci_low,score_mean_difference_ci_high,raw_point_biserial_r,raw_r_ci_low,raw_r_ci_high,adjusted_r,adjusted_r_ci_low,adjusted_r_ci_high,adjusted_risk_difference_per_10_points,adjusted_risk_difference_ci_low,adjusted_risk_difference_ci_high,within_cell_permutation_p,strata,informative_strata,round_family_bh_q
full,three-model-majority,0,352,30,0.08522727272727272,52.56666666666667,60.72981366459627,-8.163146997929601,-24.86238184087383,11.02960401795368,-0.08903617553287034,-0.2591538397934408,0.1131476672788239,0.10153091818920233,-0.0032245185032574834,0.19845875885367728,0.018207996675061476,-0.0006330587771654866,0.037813463432942576,0.19038096190380963,120,17,0.6239518905252331
full,three-model-majority,1,352,30,0.08522727272727272,91.8,96.25776397515529,-4.457763975155288,-11.660475466512462,1.7342730161955013,-0.15475194819762728,-0.34688166221494143,0.061629907074470046,-0.11323867101728925,-0.28641774125975505,0.04815899306004697,-0.04735765794855236,-0.10150569339136715,0.025480450064998914,0.39706029397060294,120,11,0.6239518905252331
full,three-model-majority,2,352,30,0.08522727272727272,95.6,96.74223602484471,-1.1422360248447205,-5.4596665789197525,2.4008573612931343,-0.04340538320238041,-0.20286482037698664,0.08624301874753382,0.10089777048026387,-0.1675606818796171,0.32566492996789426,0.047606000410987066,-0.09757357484244068,0.12597158384092447,0.45545445455454453,120,9,0.6262498750124987
full,three-model-majority,3,352,30,0.08522727272727272,95.7,97.0,-1.2999999999999972,-5.686052887023448,2.143807808249397,-0.04811857398956911,-0.18152448065076476,0.08052056990050314,0.03550499969247173,-0.12278498174099953,0.16032757100757314,0.01606653435403081,-0.08870053806498769,0.07290733123557784,0.7684231576842315,120,8,0.7684231576842315
full,three-model-majority,4,352,30,0.08522727272727272,95.43333333333334,96.82298136645963,-1.3896480331262921,-4.053017916913017,1.3947429367642101,-0.05086538953988343,-0.14189792269685395,0.05065777783338381,0.13203052654525327,-0.04669427091320115,0.29502564396518133,0.05870901016000486,-0.025966216645395942,0.13842490375219693,0.31916808319168083,120,9,0.6239518905252331
full,three-model-majority,5,352,30,0.08522727272727272,95.3,97.13975155279503,-1.839751552795036,-6.186331449782849,1.6751607319485673,-0.06985375042520965,-0.21067437463826785,0.06314266962151897,0.07373929750360253,-0.12293106922155217,0.2018703358285004,0.03720383786959076,-0.09981300694376484,0.09662073517461946,0.6327367263273672,120,7,0.696010398960104
full,three-model-majority,6,352,30,0.08522727272727272,95.13333333333334,96.61490683229813,-1.4815734989647922,-5.206147186147197,1.721183712121219,-0.0516487325124979,-0.15548806115138566,0.06890016578955138,0.15012315718980415,-0.08396829786269185,0.3137689164804313,0.06813500237680241,-0.05131892256623952,0.12749907200893631,0.2528747125287471,120,11,0.6239518905252331
full,three-model-majority,7,352,30,0.08522727272727272,95.4,97.09627329192547,-1.6962732919254648,-5.9141412503835165,1.8701800930502768,-0.05862892888517152,-0.17793216109035034,0.07399998226885743,0.09257081039633909,-0.1103099291858793,0.19873260307193485,0.039786290780948044,-0.0845825049398922,0.08988021933883412,0.5992400759924008,120,8,0.696010398960104
full,three-model-majority,8,352,30,0.08522727272727272,95.86666666666666,96.972049689441,-1.1053830227743333,-4.083992570635964,1.8380760642173763,-0.04038509760475584,-0.1359694001708498,0.07607326280811329,0.13318410276109174,-0.0795597764539654,0.2747735249055101,0.0576485169919004,-0.057714650700418674,0.1498619049153277,0.35806419358064195,120,8,0.6239518905252331
full,three-model-majority,9,352,30,0.08522727272727272,94.46666666666667,96.81055900621118,-2.34389233954451,-5.358922893067838,0.6975639122264222,-0.08248093231402252,-0.19681842320073242,0.024880186800837353,0.14437167341167179,-0.16085286053284595,0.3951220528773912,0.06808073896681494,-0.11174016912012905,0.12899315904451694,0.30146985301469853,120,8,0.6239518905252331
full,three-model-majority,10,352,30,0.08522727272727272,94.1,96.7080745341615,-2.608074534161503,-5.826406513744879,0.7742665546100811,-0.08992929315883354,-0.18682457591239074,0.02807867035134693,0.12404983346340535,-0.18797460053913048,0.37656463195891904,0.06370977559550378,-0.126764983763869,0.15363729668775308,0.3223677632236776,120,8,0.6239518905252331
full,complete-panel-any-detector,0,352,94,0.26704545454545453,51.03191489361702,63.31395348837209,-12.282038594755072,-25.19308692311467,2.2172538050406914,-0.21225823774294703,-0.43988496578334313,0.037802482357228315,-0.04539250435250598,-0.21417765812881537,0.10722269053188163,-0.010637824144397326,-0.061366058965074584,0.023220766770666805,0.4941505849415059,120,27,0.8410492284104923
full,complete-panel-any-detector,1,352,94,0.26704545454545453,94.62765957446808,96.33333333333333,-1.7056737588652453,-5.568180605314226,1.5385731109466763,-0.09382103930769625,-0.26876765893338456,0.09207664906658804,0.14327495274491256,0.04435388897456486,0.2339253513182032,0.07830158217629964,0.024906244526146298,0.1380856411220885,0.0115988401159884,120,15,0.1275872412758724
full,complete-panel-any-detector,2,352,94,0.26704545454545453,95.35106382978724,97.11627906976744,-1.7652152399802077,-5.210158061351881,1.0449181017781837,-0.10628466948866641,-0.27397450339430574,0.06662839989683257,-0.018886038711075984,-0.1536098087308865,0.08265422354829416,-0.01164463319405439,-0.12128676157104609,0.05224291851804889,0.8499150084991501,120,9,0.9293070692930706
full,complete-panel-any-detector,3,352,94,0.26704545454545453,95.72340425531915,97.31395348837209,-1.5905492330529398,-5.792489384429616,1.5997663529936639,-0.09328283345137747,-0.293095052943451,0.10043198824477406,-0.05114294810880911,-0.22814456778159417,0.04453798135758318,-0.0302428881958227,-0.19853904672034509,0.02354625140598717,0.6881311868813119,120,5,0.8410492284104923
full,complete-panel-any-detector,4,352,94,0.26704545454545453,94.91489361702128,97.35658914728683,-2.441695530265548,-6.354390244028339,0.7648092150932578,-0.14161011728382458,-0.313481634573392,0.048997141660773326,0.06072537765971777,-0.02097349988239336,0.14771571493074567,0.03528624444850034,-0.012502758076530658,0.12061296339520158,0.4834516548345166,120,10,0.8410492284104923
full,complete-panel-any-detector,5,352,94,0.26704545454545453,95.18085106382979,97.63953488372093,-2.458683819891135,-6.1541617202562815,0.706571190211336,-0.1479171225525311,-0.3208807316340454,0.04695201703223283,0.0035638698037721234,-0.05524344752628732,0.11440640355842276,0.002349716075974161,-0.035599492007969254,0.13001978801865735,0.9293070692930707,120,8,0.9293070692930706
full,complete-panel-any-detector,6,352,94,0.26704545454545453,94.31914893617021,97.27906976744185,-2.9599208312716456,-7.059513027245364,0.3880088614393078,-0.16349398474810814,-0.32101169947307595,0.025634564584303535,-0.08656043552349531,-0.19042890788886713,-0.010185231050558435,-0.05133893202345111,-0.15728174102898526,-0.006500088821105861,0.39046095390460955,120,9,0.8410492284104923
full,complete-panel-any-detector,7,352,94,0.26704545454545453,94.68085106382979,97.77906976744185,-3.098218703612062,-7.692761574489393,0.6587874561770951,-0.16967326767119803,-0.33365804801686577,0.045780670820150124,-0.0688145267226281,-0.1418872254353773,0.03321784795813404,-0.0386495396157781,-0.0646600350168275,0.033626427031482116,0.6527347265273473,120,6,0.8410492284104923
full,complete-panel-any-detector,8,352,94,0.26704545454545453,95.04255319148936,97.54651162790698,-2.5039584364176193,-6.755170907939096,0.9401050858630737,-0.1449508208171568,-0.3140508072231147,0.0675779256463644,-0.04586274998504733,-0.1122182933757311,0.044447333675736056,-0.025941832646355165,-0.07909683995314917,0.04112111285090016,0.6867313268673133,120,8,0.8410492284104923
full,complete-panel-any-detector,9,352,94,0.26704545454545453,94.08510638297872,97.53100775193798,-3.4459013689592553,-7.763991258560028,0.17607388494171367,-0.19213388342506105,-0.35710211950700493,0.013304908848421788,-0.08549580852887513,-0.19434064762914183,-0.0231786951598307,-0.05268559698939447,-0.1960496025910045,-0.012851529745953142,0.44015598440155984,120,9,0.8410492284104923
full,complete-panel-any-detector,10,352,94,0.26704545454545453,93.93617021276596,97.41472868217055,-3.4785584694045895,-8.216062962391318,0.26533140524245685,-0.19004905106022277,-0.3566627997652874,0.018865891152635896,-0.06288181396356331,-0.15153900465102063,0.026553328609064203,-0.04220265389765855,-0.12563156395712102,0.022491981048353277,0.5309469053094691,120,9,0.8410492284104923
semi,three-model-majority,0,352,17,0.048295454545454544,14.235294117647058,10.104477611940299,4.130816505706759,-5.56457152441195,18.499372771100226,0.042883337603097385,-0.053239413595796994,0.16451193498352365,0.06259756509208378,-0.070089509352964,0.20289508285911392,0.006146596322286534,-0.0064936086809118596,0.021750896903369028,0.35906409359064095,120,12,0.823017698230177
semi,three-model-majority,1,352,17,0.048295454545454544,63.705882352941174,57.829850746268654,5.87603160667252,-14.621096259251505,20.545451183431936,0.03443153182162854,-0.07370651748794628,0.1253125158791881,0.03706920563675656,-0.038374191103202164,0.10160280750792217,0.002783040013245861,-0.0026324466076968196,0.008603849613927692,0.543045695430457,120,15,0.823017698230177
semi,three-model-majority,2,352,17,0.048295454545454544,76.29411764705883,77.05671641791045,-0.7625987708516249,-14.754330866675032,8.68580464716008,-0.006304273154785941,-0.11199983007523222,0.07119604418025595,-0.04195906791483446,-0.17246668134731138,0.06318156768899588,-0.004471272076905881,-0.019626361360742445,0.006746133044490948,0.502049795020498,120,15,0.823017698230177
semi,three-model-majority,3,352,17,0.048295454545454544,81.29411764705883,79.4,1.8941176470588204,-5.2067311136437615,8.831250589521522,0.01619445325631589,-0.043561184983447604,0.06992306875076165,-0.0328330630933722,-0.10388805713474059,0.0280859724769894,-0.003520032757855869,-0.013593691729876354,0.0027738462720242347,0.6013398660133986,120,13,0.823017698230177
semi,three-model-majority,4,352,17,0.048295454545454544,78.82352941176471,80.62985074626866,-1.8063213345039486,-13.68225060571667,7.423905259656106,-0.016020545451951553,-0.10160295814965324,0.06541960936938797,-0.06544308714224402,-0.15615310425092,0.0016979219331382854,-0.007699411514080622,-0.02138057523316307,0.00019651383221972184,0.2776722327767223,120,13,0.823017698230177
semi,three-model-majority,5,352,17,0.048295454545454544,83.6470588235294,80.82089552238806,2.8261633011413494,-6.124613226927934,10.337879241516948,0.02570850309321579,-0.0504600378354198,0.09014481879958995,0.01786042586009144,-0.07662118236503596,0.09120846769821839,0.0021266320793588206,-0.009389444236241681,0.011392967804241084,0.823017698230177,120,12,0.823017698230177
semi,three-model-majority,6,352,17,0.048295454545454544,85.82352941176471,81.32835820895522,4.4951712028094875,-3.2765270868839234,11.263981991243842,0.04107431692433686,-0.028040930730957293,0.10042831181483956,0.03161664571098571,-0.07098240921449363,0.11900889439806885,0.0039009259942009403,-0.009276357264023875,0.015296373053953743,0.6916308369163083,120,12,0.823017698230177
semi,three-model-majority,7,352,17,0.048295454545454544,81.58823529411765,82.18805970149253,-0.5998244073748822,-9.402977031329884,6.407948294365593,-0.005475547006246053,-0.07919859191753947,0.05825392449899601,-0.022242470987391082,-0.11800939074123719,0.05304034324525152,-0.002595291885245554,-0.015597505977868574,0.005990203619966906,0.765023497650235,120,12,0.823017698230177
semi,three-model-majority,8,352,17,0.048295454545454544,86.88235294117646,83.04776119402985,3.834591747146618,-2.969105349971311,10.803567051820714,0.036155718068635344,-0.028314346356053757,0.09430884413565588,0.056872397841043226,-0.03520266284377556,0.13763131880529383,0.007041022337284131,-0.004348642377798151,0.01885791935331471,0.47765223477652236,120,12,0.823017698230177
semi,three-model-majority,9,352,17,0.048295454545454544,86.88235294117646,82.44776119402985,4.434591747146612,-2.5659865491651175,10.854779451317913,0.04114208785557093,-0.022706933000833866,0.09668662091833438,0.05078104985414121,-0.0529819923358909,0.13709145360171177,0.006446787560721939,-0.006966347271678531,0.018807631396294225,0.5391460853914608,120,12,0.823017698230177
semi,three-model-majority,10,352,17,0.048295454545454544,86.0,82.78805970149254,3.211940298507457,-3.8348882793416896,9.658010670388549,0.02965410030343224,-0.03313244601083497,0.08453641277587245,0.02528855171035552,-0.06882828450144142,0.10317974758673669,0.003100658655065819,-0.009193948168304376,0.012812931030208799,0.7582241775822418,120,12,0.823017698230177
semi,complete-panel-any-detector,0,352,111,0.3153409090909091,8.756756756756756,11.016597510373444,-2.259840753616688,-7.0315286746617485,2.3506287620792574,-0.05084563297701449,-0.1435993442479489,0.06143772225624897,-0.045521136226923865,-0.14263633311191753,0.0613466996705388,-0.008135201014791002,-0.024945398263291053,0.012762282224415725,0.501949805019498,120,35,0.7854589541045894
semi,complete-panel-any-detector,1,352,111,0.3153409090909091,58.65765765765766,57.863070539419084,0.7945871182385744,-7.753081280084362,9.227419292514606,0.010091062308418164,-0.0963247270532585,0.11777769243213937,0.1329036518513428,0.018194491186161836,0.25412278133836963,0.01816021679529419,0.002300274480061213,0.03749013270653671,0.05499450054994501,120,51,0.5097990200979903
semi,complete-panel-any-detector,2,352,111,0.3153409090909091,75.12612612612612,77.89211618257261,-2.7659900564464834,-9.813128924077848,4.180799139898945,-0.04955787572396317,-0.17235248743115283,0.07698316414854502,0.0984372832561948,-0.042965082108680816,0.26018606212809564,0.019091622042661616,-0.007880832741052645,0.05303358427048973,0.18538146185381463,120,48,0.5097990200979903
semi,complete-panel-any-detector,3,352,111,0.3153409090909091,76.76576576576576,80.74688796680498,-3.981122201039213,-10.996582564076562,2.859811239677582,-0.0737713948347464,-0.19754465023375625,0.05351728443154922,0.0684778824209257,-0.07622502530488587,0.22264776269592523,0.013361756999207995,-0.015446460075551465,0.04519883092827592,0.3271672832716728,120,44,0.5998066859980669
semi,complete-panel-any-detector,4,352,111,0.3153409090909091,76.83783783783784,82.24896265560166,-5.41112481776382,-14.214447127167533,2.5067199272520915,-0.104014284353692,-0.25238134807004536,0.05171477476087529,0.022422746709227052,-0.148449501630728,0.21013172967376204,0.004801318416083982,-0.03222768256108221,0.04712270275036677,0.7483251674832517,120,42,0.823157684231577
semi,complete-panel-any-detector,5,352,111,0.3153409090909091,77.09909909909909,82.7344398340249,-5.635340734925805,-13.694627380045688,1.8222121848910255,-0.11110225258251753,-0.25163841558313255,0.0373198875461052,0.01298214197501045,-0.1451470361544331,0.18829616853076642,0.0028133570216517757,-0.032077888056329565,0.04139222382118423,0.8565143485651435,120,44,0.8565143485651435
semi,complete-panel-any-detector,6,352,111,0.3153409090909091,77.990990990991,83.18257261410788,-5.191581623116889,-14.038014705882356,2.5555006926281787,-0.10281274292871193,-0.2507480207394181,0.05476032469360166,0.04025108556854197,-0.141053334369016,0.23526217406899422,0.00903873096217291,-0.03240682118390738,0.05352987007063442,0.5712428757124287,120,43,0.7854589541045894
semi,complete-panel-any-detector,7,352,111,0.3153409090909091,78.09909909909909,84.02904564315352,-5.929946544054431,-13.31509366327475,1.0109054995746791,-0.11732141785932114,-0.2461049588802548,0.021224381534235084,0.030251868336032713,-0.14500895917676798,0.22326335825347948,0.006424411060198006,-0.03289801733377297,0.04757355024683186,0.6733326667333267,120,39,0.8229621482296214
