arm,task_id,replicate,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,narrower_gap_with_substantial_A_loss
full,da-10-1,1,0.0,0.0,24.0,23.166666666666664,27.5,-24.0,-27.5,0.8333333333333357,-4.333333333333336,0.0,False
full,da-10-1,2,0.0,0.0,8.0,1.3333333333333357,1.5,-8.0,-1.5,6.666666666666664,-0.1666666666666643,-50.0,False
full,da-10-1,3,0.0,0.0,-20.0,-19.0,8,20.0,-8.0,-1.0,-27.0,-50.0,False
full,da-10-3,1,0.0,0.0,22.0,1.6666666666666714,7,-22.0,-7.0,20.33333333333333,-5.333333333333329,0.0,False
full,da-10-3,2,0.0,0.0,7.0,1.5,-13.5,-7.0,13.5,5.5,15.0,0.0,True
full,da-10-3,3,0.0,0.0,5.5,12.0,7,-5.5,-7.0,-6.5,5.0,0.0,False
full,da-12-2,1,0.0,0.0,0.0,-10.666666666666664,-12.5,0.0,12.5,10.666666666666664,1.8333333333333357,0.0,False
full,da-12-2,2,0.0,0.0,2.5,4.166666666666664,9.5,-2.5,-9.5,-1.6666666666666643,-5.333333333333336,0.0,False
full,da-12-2,3,0.0,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,1.5,-50.0,False
full,da-12-4,1,0.0,0.0,16.0,11.833333333333329,13.5,-16.0,-13.5,4.166666666666671,-1.6666666666666714,0.0,False
full,da-12-4,2,0.0,0.0,24.5,22.5,13.5,-24.5,-13.5,2.0,9.0,0.0,False
full,da-12-4,3,0.0,0.0,-1.0,6.166666666666671,-4,1.0,4.0,-7.166666666666671,10.166666666666671,-100.0,False
full,da-13-1,1,0.0,0.0,8.5,10.0,2,-8.5,-2.0,-1.5,8.0,0.0,False
full,da-13-1,2,0.0,0.0,-8.5,3.0,-4.5,8.5,4.5,-11.5,7.5,0.0,False
full,da-13-1,3,0.0,0.0,4.5,10.5,-6.5,-4.5,6.5,-6.0,17.0,0.0,True
full,da-13-3,1,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,0.0,0.5,0.0,False
full,da-13-3,2,0.0,0.0,0.0,2.3333333333333357,-2.5,0.0,2.5,-2.3333333333333357,4.833333333333336,0.0,False
full,da-13-3,3,0.0,0.0,0.0,0.8333333333333357,-10,0.0,10.0,-0.8333333333333357,10.833333333333336,0.0,False
full,da-13-5,1,0.0,0.0,-2.5,-10.0,-19,2.5,19.0,7.5,9.0,50.0,False
full,da-13-5,2,0.0,0.0,-5.0,-1.6666666666666714,21,5.0,-21.0,-3.3333333333333286,-22.66666666666667,0.0,False
full,da-13-5,3,0.0,0.0,2.5,7.5,8.5,-2.5,-8.5,-5.0,-1.0,0.0,False
full,da-13-6,1,0.0,0.0,-35.0,-29.999999999999996,-4.5,35.0,4.5,-5.0000000000000036,-25.499999999999996,0.0,False
full,da-13-6,2,0.0,0.0,-25.0,-26.666666666666668,-15.5,25.0,15.5,1.6666666666666679,-11.166666666666668,0.0,False
full,da-13-6,3,0.0,0.0,-20.0,-29.166666666666664,-20,20.0,20.0,9.166666666666664,-9.166666666666664,50.0,False
full,da-14-1,1,0.0,0.0,2.5,14.833333333333332,-4,-2.5,4.0,-12.333333333333332,18.833333333333332,-50.0,False
full,da-14-1,2,0.0,0.0,0.0,-1.1666666666666643,4,0.0,-4.0,1.1666666666666643,-5.166666666666664,0.0,False
full,da-14-1,3,0.0,0.0,-18.5,-12.333333333333329,-4,18.5,4.0,-6.166666666666671,-8.333333333333329,0.0,False
full,da-14-3,1,0.0,0.0,0.0,0.0,6.5,0.0,-6.5,0.0,-6.5,0.0,False
full,da-14-3,2,0.0,0.0,-5.5,0.0,-1,5.5,1.0,-5.5,1.0,0.0,False
full,da-14-3,3,0.0,0.0,0.0,0.0,1.5,0.0,-1.5,0.0,-1.5,0.0,False
full,da-14-8,1,0.0,0.0,15.0,20.833333333333336,-2,-15.0,2.0,-5.833333333333336,22.833333333333336,0.0,False
full,da-14-8,2,0.0,0.0,-5.0,-10.833333333333336,5.5,5.0,-5.5,5.833333333333336,-16.333333333333336,0.0,False
full,da-14-8,3,0.0,0.0,0.0,0.0,-8,0.0,8.0,0.0,8.0,-50.0,False
full,da-15-1,1,-13.0,-13.0,10.0,19.5,23,-23.0,-36.0,-9.5,-3.5,0.0,False
full,da-15-1,2,-23.0,-23.0,-23.0,-11.000000000000007,5,0.0,-28.0,-11.999999999999993,-16.000000000000007,0.0,False
full,da-15-1,3,0.0,0.0,2.5,0.8333333333333357,1,-2.5,-1.0,1.6666666666666643,-0.1666666666666643,-100.0,False
