stage,model,saved_response_records,reused_frozen,fresh_saved_responses,usage_available,input_tokens,output_tokens,cached_input_tokens,cache_write_input_tokens,usage_based_usd,attempt_wall_seconds
application,gpt-5.6-luna,1296,0,1296,1296,7601074,640730,0,7597186,2.6689501,11656.086019018898
audit_absolute_score,claude-opus-5,180,0,180,180,1541816,149981,105452,10288,10.996931,0
audit_absolute_score,gpt-5.6-sol,180,0,180,180,970250,35468,0,0,5.91529,0
audit_direct_final_artifact,claude-opus-5,120,0,120,120,1102127,16431,344298,0,4.372069,0
audit_direct_final_artifact,gpt-5.6-sol,120,0,120,120,694975,10348,205362,0,2.861186,0
audit_direct_final_revision,claude-opus-5,120,0,120,120,4853287,14154,344298,0,23.070944,0
audit_direct_final_revision,gpt-5.6-sol,120,0,120,120,3248794,8866,205362,0,15.585821,0
audit_direct_full_trajectory,claude-opus-5,389,0,389,389,44598411,60072,1077257,57383,219.71792725,0
audit_direct_full_trajectory,gpt-5.6-sol,363,0,363,363,30727403,30849,594538,34227,151.92984775,0
audit_direct_post_update,claude-opus-5,213,0,213,213,20683407,31020,603302,13525,101.49458225,0
audit_direct_post_update,gpt-5.6-sol,199,0,199,199,14261673,16244,344165,0,70.2469425,0
audit_pairwise_preference,claude-opus-5,120,0,120,120,1625173,66717,69460,3020,9.484995,0
audit_pairwise_preference,gpt-5.6-sol,120,0,120,120,1027396,12731,0,0,5.51891,0
audit_rubric,claude-opus-5,964,0,964,964,9854936,854446,0,0,70.63583,0
audit_rubric,gpt-5.6-sol,964,0,964,964,6012080,311839,0,6009188,46.927055,0
common_simulator,gpt-5.6-luna,465,0,465,465,8843831,82797,0,0,1.8681226000000002,0
compilation,gpt-5.6-luna,133,0,133,133,1337762,58565,0,1337363,0.40469855,1087.3536240651738
diagnosis,gpt-5.6-luna,605,0,605,605,11921639,350454,0,11919824,3.4008638,6176.815907609882
optimizer_judge,gpt-5.6-luna,1288,0,1288,1288,8369728,430118,0,8365864,2.6083803999999997,0
quality,gpt-5.6-luna,1988,0,1988,1988,21012172,1163443,2201486,18804722,6.14253462,25867.916397819296
rubric_view,gpt-5.6-luna,3500,0,3500,3500,25702979,1748993,4252868,21439611,7.54585171,41311.42081639683
semantic,gpt-5.6-luna,124,0,124,124,527791,35454,0,527419,0.17447395,943.4478449050803
