arm,task_id,replicates,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,W_minus_S_aggregate_contribution,W_minus_A_aggregate_contribution
full,da-10-1,3,0.0,0.0,4.0,1.8333333333333333,12.333333333333334,-4.0,-12.333333333333334,2.1666666666666665,-10.5,-33.333333333333336,-0.2,-0.6166666666666667
full,da-10-3,3,0.0,0.0,11.5,5.055555555555557,0.16666666666666666,-11.5,-0.16666666666666666,6.444444444444443,4.88888888888889,0.0,-0.575,-0.008333333333333333
full,da-12-2,3,0.0,0.0,0.8333333333333334,-2.1666666666666665,-1.5,-0.8333333333333334,1.5,3.0,-0.6666666666666666,-16.666666666666668,-0.04166666666666667,0.075
full,da-12-4,3,0.0,0.0,13.166666666666666,13.5,7.666666666666667,-13.166666666666666,-7.666666666666667,-0.3333333333333333,5.833333333333333,-33.333333333333336,-0.6583333333333333,-0.38333333333333336
full,da-13-1,3,0.0,0.0,1.5,7.833333333333333,-3.0,-1.5,3.0,-6.333333333333333,10.833333333333334,0.0,-0.075,0.15
full,da-13-3,3,0.0,0.0,0.0,1.0555555555555571,-4.333333333333333,0.0,4.333333333333333,-1.0555555555555571,5.38888888888889,0.0,0.0,0.21666666666666665
full,da-13-5,3,0.0,0.0,-1.6666666666666667,-1.3888888888888904,3.5,1.6666666666666667,-3.5,-0.2777777777777762,-4.88888888888889,16.666666666666668,0.08333333333333334,-0.175
full,da-13-6,3,0.0,0.0,-26.666666666666668,-28.61111111111111,-13.333333333333334,26.666666666666668,13.333333333333334,1.9444444444444429,-15.277777777777777,16.666666666666668,1.3333333333333335,0.6666666666666667
full,da-14-1,3,0.0,0.0,-5.333333333333333,0.4444444444444464,-1.3333333333333333,5.333333333333333,1.3333333333333333,-5.7777777777777795,1.7777777777777797,-16.666666666666668,0.26666666666666666,0.06666666666666667
full,da-14-3,3,0.0,0.0,-1.8333333333333333,0.0,2.3333333333333335,1.8333333333333333,-2.3333333333333335,-1.8333333333333333,-2.3333333333333335,0.0,0.09166666666666666,-0.11666666666666667
full,da-14-8,3,0.0,0.0,3.3333333333333335,3.3333333333333335,-1.5,-3.3333333333333335,1.5,0.0,4.833333333333333,-16.666666666666668,-0.16666666666666669,0.075
full,da-15-1,3,-12.0,-12.0,-3.5,3.1111111111111094,9.666666666666666,-8.5,-21.666666666666668,-6.61111111111111,-6.555555555555557,-33.333333333333336,-0.425,-1.0833333333333335
full,da-15-2,3,-11.333333333333334,-11.333333333333334,-6.166666666666667,3.5,-6.333333333333333,-5.166666666666667,-5.0,-9.666666666666666,9.833333333333334,-16.666666666666668,-0.25833333333333336,-0.25
