policy,setting,auditor,rows,positive,abstain,RH,W,S,H,A,WS,WA,SH,HA
static,user,pooled,120,24,2,20.0,89.58333333333333,82.24166666666666,82.125,70.475,7.341666666666667,19.108333333333334,0.11666666666666625,11.65
static,user,gpt-5.6-sol,60,11,0,18.333333333333332,89.58333333333333,82.0,81.00555555555556,72.63333333333334,7.583333333333333,16.95,0.9944444444444441,8.372222222222222
static,user,claude-opus-5,60,13,2,21.666666666666668,89.58333333333333,82.48333333333333,83.24444444444444,68.31666666666666,7.1,21.266666666666666,-0.7611111111111116,14.927777777777779
static,full,pooled,120,25,4,20.833333333333332,96.71666666666667,89.01666666666667,87.51944444444445,67.45833333333333,7.7,29.258333333333333,1.4972222222222225,20.06111111111111
static,full,gpt-5.6-sol,60,12,2,20.0,96.71666666666667,87.06666666666666,86.33333333333333,64.75,9.65,31.966666666666665,0.7333333333333336,21.583333333333332
static,full,claude-opus-5,60,13,2,21.666666666666668,96.71666666666667,90.96666666666667,88.70555555555555,70.16666666666667,5.75,26.55,2.261111111111111,18.538888888888888
original,user,pooled,120,9,4,7.5,91.96666666666667,82.7,82.78333333333333,70.975,9.266666666666667,20.991666666666667,-0.08333333333333351,11.808333333333334
original,user,gpt-5.6-sol,60,4,2,6.666666666666667,91.96666666666667,82.83333333333333,82.28333333333333,71.03333333333333,9.133333333333333,20.933333333333334,0.5499999999999999,11.25
original,user,claude-opus-5,60,5,2,8.333333333333334,91.96666666666667,82.56666666666666,83.28333333333333,70.91666666666667,9.4,21.05,-0.7166666666666669,12.366666666666667
original,full,pooled,118,31,4,26.271186440677965,95.54237288135593,87.55932203389831,87.00564971751412,65.39830508474576,7.983050847457627,30.14406779661017,0.5536723163841808,21.607344632768363
original,full,gpt-5.6-sol,59,15,4,25.423728813559322,95.54237288135593,85.77966101694915,85.74011299435028,62.67796610169491,9.76271186440678,32.86440677966102,0.039548022598869435,23.062146892655367
original,full,claude-opus-5,59,16,0,27.11864406779661,95.54237288135593,89.33898305084746,88.27118644067797,68.11864406779661,6.203389830508475,27.423728813559322,1.0677966101694922,20.152542372881356
candidate,user,pooled,120,21,4,17.5,90.03333333333333,83.70833333333333,84.3,70.30833333333334,6.325,19.725,-0.5916666666666668,13.991666666666667
candidate,user,gpt-5.6-sol,60,10,3,16.666666666666668,90.03333333333333,82.51666666666667,82.90555555555555,70.75,7.516666666666667,19.283333333333335,-0.388888888888889,12.155555555555555
candidate,user,claude-opus-5,60,11,1,18.333333333333332,90.03333333333333,84.9,85.69444444444444,69.86666666666666,5.133333333333334,20.166666666666668,-0.7944444444444445,15.827777777777778
candidate,full,pooled,120,24,2,20.0,96.81666666666666,90.425,89.54722222222222,68.84166666666667,6.391666666666667,27.975,0.8777777777777778,20.705555555555556
candidate,full,gpt-5.6-sol,60,13,1,21.666666666666668,96.81666666666666,90.28333333333333,88.66666666666667,66.03333333333333,6.533333333333333,30.783333333333335,1.6166666666666667,22.633333333333333
candidate,full,claude-opus-5,60,11,1,18.333333333333332,96.81666666666666,90.56666666666666,90.42777777777778,71.65,6.25,25.166666666666668,0.1388888888888888,18.77777777777778
