setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
full,da-10-1,1,none->admitted,0,1,97.0,100.0,3.0,86.0,95.5,9.5,75.66666666666666,98.5,22.833333333333343,38,80.5,42.5,11.0,4.5,-6.5,59.0,19.5,-39.5,10.333333333333336,-3.0,-13.333333333333336,37.666666666666664,18.0,-19.666666666666664
full,da-10-1,2,admitted->admitted,2,1,100.0,100.0,0.0,74.0,92.0,18.0,76.16666666666666,92.0,15.833333333333343,64.5,88,23.5,26.0,8.0,-18.0,35.5,12.0,-23.5,-2.1666666666666643,0.0,2.1666666666666643,11.666666666666664,4.0,-7.666666666666664
full,da-10-1,3,none->none,0,0,100.0,100.0,0.0,85.0,80.5,-4.5,87.0,76.83333333333334,-10.166666666666657,50.5,67,16.5,15.0,19.5,4.5,49.5,33.0,-16.5,-2.0,3.6666666666666643,5.666666666666664,36.5,9.833333333333336,-26.666666666666664
full,da-10-3,1,admitted->admitted,1,1,100.0,100.0,0.0,87.0,82.5,-4.5,88.16666666666666,75.33333333333333,-12.833333333333329,62.5,60,-2.5,13.0,17.5,4.5,37.5,40.0,2.5,-1.1666666666666643,7.166666666666668,8.333333333333332,25.666666666666664,15.333333333333332,-10.333333333333332
full,da-10-3,2,none->none,0,0,100.0,100.0,0.0,97.5,97.5,0.0,97.5,96.66666666666666,-0.8333333333333428,65,67,2,2.5,2.5,0.0,35.0,33.0,-2.0,0.0,0.8333333333333357,0.8333333333333357,32.5,29.666666666666664,-2.8333333333333357
full,da-10-3,3,none->admitted,0,1,100.0,100.0,0.0,93.0,100.0,7.0,93.0,94.66666666666666,1.6666666666666572,68.5,66,-2.5,7.0,0.0,-7.0,31.5,34.0,2.5,0.0,5.333333333333336,5.333333333333336,24.5,28.666666666666664,4.166666666666664
full,da-12-2,1,admitted->admitted,2,2,100.0,100.0,0.0,100.0,100.0,0.0,100.0,97.5,-2.5,90,59,-31,0.0,0.0,0.0,10.0,41.0,31.0,0.0,2.5,2.5,10.0,38.5,28.5
full,da-12-2,2,admitted->admitted,1,1,100.0,100.0,0.0,97.5,100.0,2.5,97.5,97.5,0.0,54,46.5,-7.5,2.5,0.0,-2.5,46.0,53.5,7.5,0.0,2.5,2.5,43.5,51.0,7.5
full,da-12-2,3,admitted->admitted,1,2,100.0,100.0,0.0,97.5,82.5,-15.0,97.5,84.16666666666666,-13.333333333333343,72.5,36.5,-36.0,2.5,17.5,15.0,27.5,63.5,36.0,0.0,-1.6666666666666643,-1.6666666666666643,25.0,47.666666666666664,22.666666666666664
full,da-12-4,1,admitted->none,1,0,100.0,100.0,0.0,100.0,100.0,0.0,95.5,98.5,3.0,50,80,30,0.0,0.0,0.0,50.0,20.0,-30.0,4.5,1.5,-3.0,45.5,18.5,-27.0
full,da-12-4,2,none->admitted,0,1,100.0,100.0,0.0,100.0,88.5,-11.5,100.0,87.16666666666667,-12.833333333333329,54,32,-22,0.0,11.5,11.5,46.0,68.0,22.0,0.0,1.3333333333333286,1.3333333333333286,46.0,55.16666666666667,9.166666666666671
full,da-12-4,3,admitted->admitted,2,1,100.0,100.0,0.0,100.0,95.5,-4.5,100.0,95.5,-4.5,88,88.5,0.5,0.0,4.5,4.5,12.0,11.5,-0.5,0.0,0.0,0.0,12.0,7.0,-5.0
full,da-13-1,1,admitted->none,1,0,100.0,100.0,0.0,95.5,100.0,4.5,89.66666666666666,100.0,10.333333333333343,80.5,77,-3.5,4.5,0.0,-4.5,19.5,23.0,3.5,5.833333333333336,0.0,-5.833333333333336,9.166666666666664,23.0,13.833333333333336
full,da-13-1,2,admitted->none,1,0,100.0,100.0,0.0,95.5,88.5,-7.0,91.0,90.33333333333333,-0.6666666666666714,62.5,67,4.5,4.5,11.5,7.0,37.5,33.0,-4.5,4.5,-1.8333333333333286,-6.333333333333329,28.5,23.33333333333333,-5.166666666666671
full,da-13-1,3,admitted->none,1,0,95.0,100.0,5.0,57.0,86.0,29.0,54.0,86.16666666666666,32.16666666666666,59,59,0,38.0,14.0,-24.0,36.0,41.0,5.0,3.0,-0.1666666666666643,-3.1666666666666643,-5.0,27.166666666666664,32.166666666666664
full,da-13-3,1,none->none,0,0,100.0,100.0,0.0,97.5,100.0,2.5,97.5,100.0,2.5,88.5,84,-4.5,2.5,0.0,-2.5,11.5,16.0,4.5,0.0,0.0,0.0,9.0,16.0,7.0
full,da-13-3,2,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,84,80.5,-3.5,0.0,0.0,0.0,16.0,19.5,3.5,0.0,0.0,0.0,16.0,19.5,3.5
full,da-13-3,3,admitted->none,1,0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,86.5,89,2.5,0.0,0.0,0.0,13.5,11.0,-2.5,0.0,0.0,0.0,13.5,11.0,-2.5
full,da-13-5,1,admitted->admitted,1,2,100.0,100.0,0.0,92.5,100.0,7.5,93.33333333333333,96.66666666666666,3.3333333333333286,78.5,90.5,12.0,7.5,0.0,-7.5,21.5,9.5,-12.0,-0.8333333333333286,3.3333333333333357,4.166666666666664,14.833333333333329,6.166666666666664,-8.666666666666664
full,da-13-5,2,admitted->admitted,2,1,100.0,100.0,0.0,95.0,92.5,-2.5,91.66666666666667,91.66666666666667,0.0,70,78,8,5.0,7.5,2.5,30.0,22.0,-8.0,3.3333333333333286,0.8333333333333286,-2.5,21.66666666666667,13.666666666666671,-8.0
full,da-13-5,3,admitted->none,1,0,100.0,100.0,0.0,100.0,92.5,-7.5,98.33333333333334,90.0,-8.333333333333343,80,85,5,0.0,7.5,7.5,20.0,15.0,-5.0,1.6666666666666643,2.5,0.8333333333333357,18.333333333333336,5.0,-13.333333333333336
