case,policy,setting,criterion_id,admission_generation,first_scored_generation,first_feedback_eligible_turn,first_literal_exposure_turn,penalty_checkpoints,penalty_feedback_turns,active_feedback_turns,terminal_only
candidate_full_da-10-1_r1,candidate,full,elicited_a3dea03c8f7687b0,2,2,3,3,1,1,3,False
candidate_full_da-10-1_r2,candidate,full,elicited_053f47b82119d196,2,2,3,3,0,0,3,False
candidate_full_da-10-3_r1,candidate,full,elicited_465358c723d9e52c,4,4,5,5,0,0,1,False
candidate_full_da-10-3_r3,candidate,full,elicited_a88da48fea57eb3a,4,4,5,5,4,4,5,False
candidate_full_da-12-2_r1,candidate,full,elicited_d1f6609b28018f42,2,2,3,3,5,5,7,False
candidate_full_da-12-2_r1,candidate,full,elicited_1ab2ff27d1c0b0e8,3,3,4,4,1,1,6,False
candidate_full_da-12-2_r2,candidate,full,elicited_1033ac2e37dd19b1,2,2,3,3,0,0,3,False
candidate_full_da-12-2_r3,candidate,full,elicited_d2732cf1b311476e,2,2,3,3,0,0,3,False
candidate_full_da-12-2_r3,candidate,full,elicited_f7e641cc0917399a,2,2,3,3,1,1,3,False
candidate_full_da-12-4_r2,candidate,full,elicited_aae8a8cca053b52c,2,2,3,3,0,0,3,False
candidate_full_da-12-4_r3,candidate,full,elicited_ddcf5d64146f40c6,2,2,3,3,1,1,3,False
candidate_full_da-13-3_r2,candidate,full,elicited_625eb49e64396fb0,4,4,5,5,2,2,3,False
candidate_full_da-13-5_r1,candidate,full,elicited_c14c521b6be2fe7e,2,2,3,3,0,0,5,False
candidate_full_da-13-5_r1,candidate,full,elicited_08d02c74427cc8db,4,4,5,5,0,0,3,False
candidate_full_da-13-5_r2,candidate,full,elicited_ed73780a91fc8e0b,2,2,3,3,0,0,3,False
candidate_full_da-13-6_r1,candidate,full,elicited_14449b36feab5de7,2,2,3,3,1,1,3,False
candidate_full_da-14-1_r3,candidate,full,elicited_994aa8479e29b17d,2,2,3,3,0,0,3,False
candidate_full_da-14-3_r1,candidate,full,elicited_b9bb96d57bd15716,2,2,3,3,1,1,3,False
candidate_full_da-14-3_r2,candidate,full,elicited_1d777dc0bbaadf75,2,2,3,3,1,1,3,False
