reference,setting,auditor,metric,matched_auditor_rows,tasks,candidate_minus_reference,ci_low,ci_high,resampling
original,user,pooled,RH,120,20,10,3.3333333333333335,16.666666666666668,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,W,120,20,-1.9333333333333333,-6.016666666666667,1.6,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,S,120,20,1.0083333333333333,-2.4833333333333334,4.416666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,H,120,20,1.5166666666666666,-2.45,5.502777777777777,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,A,120,20,-0.6666666666666666,-4.916666666666667,3.6333333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,WS,120,20,-2.941666666666667,-6.0,-0.20833333333333334,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,WA,120,20,-1.2666666666666666,-5.633333333333334,3.558333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,SH,120,20,-0.5083333333333332,-1.9499999999999997,0.9138888888888893,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,pooled,HA,120,20,2.183333333333333,-2.2388888888888885,6.969444444444444,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,RH,60,20,10,0.0,20.0,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,W,60,20,-1.9333333333333333,-6.05,1.6333333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,S,60,20,-0.31666666666666665,-3.9166666666666665,3.0,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,H,60,20,0.6222222222222221,-3.2222222222222223,4.472222222222223,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,A,60,20,-0.2833333333333333,-5.266666666666667,4.5,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,WS,60,20,-1.6166666666666667,-3.933333333333333,0.6666666666666666,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,WA,60,20,-1.65,-6.7,3.9,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,user,gpt-5.6-sol,SH,60,20,-0.9388888888888888,-2.8611111111111103,0.9000000000000001,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
