setting,task_id,replicate,original_any_positive,candidate_any_positive,original_positive_auditors,candidate_positive_auditors,original_verdict_pair,candidate_verdict_pair,coverage_transition
full,da-10-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-10-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-10-1,3,negative,positive,0,1,"[""negative"", ""negative""]","[""abstain"", ""positive""]",none->none
full,da-10-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-10-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-10-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-12-2,1,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
full,da-12-2,2,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
full,da-12-2,3,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
full,da-12-4,1,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->none
full,da-12-4,2,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",none->admitted
full,da-12-4,3,positive,positive,1,1,"[""positive"", ""negative""]","[""positive"", ""negative""]",admitted->admitted
full,da-13-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-13-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-13-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-13-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-13-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-13-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-13-5,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
