arm,task_id,replicates,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,W_minus_S_aggregate_contribution,W_minus_A_aggregate_contribution
full,da-10-1,3,0.0,0.0,7.5,5.611111111111112,11.833333333333334,-7.5,-11.833333333333334,1.8888888888888882,-6.222222222222221,-33.333333333333336,-0.375,-0.5916666666666667
full,da-10-3,3,0.0,0.0,7.666666666666667,1.166666666666669,-5.333333333333333,-7.666666666666667,5.333333333333333,6.499999999999997,6.500000000000003,0.0,-0.38333333333333336,0.26666666666666666
full,da-12-2,3,-7.666666666666667,-7.666666666666667,-13.333333333333334,-14.222222222222221,2.0,5.666666666666667,-9.666666666666666,0.8888888888888893,-16.22222222222222,16.666666666666668,0.2833333333333333,-0.4833333333333333
full,da-12-4,3,0.0,0.0,8.833333333333334,13.388888888888888,12.333333333333334,-8.833333333333334,-12.333333333333334,-4.5555555555555545,1.0555555555555547,0.0,-0.4416666666666667,-0.6166666666666667
full,da-13-1,3,0.0,0.0,4.833333333333333,4.777777777777779,1.1666666666666667,-4.833333333333333,-1.1666666666666667,0.05555555555555477,3.611111111111112,0.0,-0.24166666666666664,-0.058333333333333334
full,da-13-3,3,0.0,0.0,0.0,0.27777777777777857,1.1666666666666667,0.0,-1.1666666666666667,-0.27777777777777857,-0.8888888888888881,0.0,0.0,-0.058333333333333334
full,da-13-5,3,0.0,0.0,-2.5,1.1111111111111096,11.333333333333334,2.5,-11.333333333333334,-3.6111111111111094,-10.222222222222223,0.0,0.125,-0.5666666666666667
full,da-13-6,3,0.0,0.0,-1.6666666666666667,-1.9444444444444453,-0.6666666666666666,1.6666666666666667,0.6666666666666666,0.27777777777777857,-1.2777777777777786,0.0,0.08333333333333334,0.03333333333333333
full,da-14-1,3,0.0,0.0,3.1666666666666665,1.8333333333333297,-7,-3.1666666666666665,7.0,1.3333333333333368,8.83333333333333,-16.666666666666668,-0.15833333333333333,0.35
full,da-14-3,3,0.0,0.0,-1.8333333333333333,0.0,2.1666666666666665,1.8333333333333333,-2.1666666666666665,-1.8333333333333333,-2.1666666666666665,0.0,0.09166666666666666,-0.10833333333333332
full,da-14-8,3,0.0,0.0,-0.6666666666666666,3.555555555555557,-5.166666666666667,0.6666666666666666,5.166666666666667,-4.222222222222224,8.722222222222223,-16.666666666666668,0.03333333333333333,0.25833333333333336
full,da-15-1,3,-15.333333333333334,-15.333333333333334,-9.5,-5.11111111111111,14.833333333333334,-5.833333333333333,-30.166666666666668,-4.38888888888889,-19.944444444444443,-33.333333333333336,-0.29166666666666663,-1.5083333333333333
full,da-15-2,3,-12.333333333333334,-12.333333333333334,-6.0,3.1666666666666665,2.0,-6.333333333333333,-14.333333333333334,-9.166666666666666,1.1666666666666667,-33.333333333333336,-0.31666666666666665,-0.7166666666666667
full,da-15-7,3,10.0,10.0,2.5,7.000000000000001,5.5,7.5,4.5,-4.500000000000001,1.500000000000001,50.0,0.375,0.225
full,da-15-8,3,-2.3333333333333335,-2.3333333333333335,-5.0,-6.499999999999996,9.666666666666666,2.6666666666666665,-12.0,1.4999999999999953,-16.16666666666666,-33.333333333333336,0.13333333333333333,-0.6
full,da-16-1,3,0.0,0.0,9.333333333333334,8.33333333333333,4.666666666666667,-9.333333333333334,-4.666666666666667,1.0000000000000024,3.6666666666666643,0.0,-0.4666666666666667,-0.23333333333333334
