JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|UserCPU|SystemCPU|MaxRSS|NodeList
10402416|FAILED|13262|32|02:17:55|02:14:27|03:28.032||babel-m9-20
10402416.batch|FAILED|13262|32|02:17:55|02:14:27|03:28.032|3035.32M|babel-m9-20
10402416.extern|COMPLETED|13262|32|00:00:00|00:00:00|00:00:00||babel-m9-20
10405463|CANCELLED by 6011048|1777|32|04:02.256|03:09.258|00:52.998||babel-u5-32
10405463.batch|CANCELLED|1778|32|04:02.256|03:09.258|00:52.998|1551.47M|babel-u5-32
10405463.extern|COMPLETED|1778|32|00:00:00|00:00:00|00:00:00||babel-u5-32
10405844|FAILED|8336|32|29:19.509|23:57.677|05:21.832||babel-s9-20
10405844.batch|FAILED|8336|32|29:19.509|23:57.677|05:21.832|1939.08M|babel-s9-20
10405844.extern|COMPLETED|8336|32|00:00:00|00:00:00|00:00:00||babel-s9-20
10407854|COMPLETED|319|2|00:51.832|00:45.449|00:06.383||babel-o5-32
10407854.batch|COMPLETED|319|2|00:51.832|00:45.449|00:06.383|846.34M|babel-o5-32
10407854.extern|COMPLETED|319|2|00:00:00|00:00:00|00:00:00||babel-o5-32
10409332|PREEMPTED|7943|32|26:46.604|21:07.806|05:38.797||babel-t9-24
10409332.batch|COMPLETED|7943|32|26:46.604|21:07.806|05:38.797|2530.92M|babel-t9-24
10409332.extern|COMPLETED|7943|32|00:00:00|00:00:00|00:00:00||babel-t9-24
10409423|COMPLETED|20|8|00:19.315|00:15.660|00:03.655||babel-o9-28
10409423.batch|COMPLETED|20|8|00:19.315|00:15.660|00:03.655|579.03M|babel-o9-28
10409423.extern|COMPLETED|20|8|00:00:00|00:00:00|00:00:00||babel-o9-28
10409706|COMPLETED|996|32|00:35.029|00:31.655|00:03.373||babel-m9-20
10409706.batch|COMPLETED|996|32|00:34.657|00:31.380|00:03.277|624.18M|babel-m9-20
10409706.extern|COMPLETED|997|32|00:00:00|00:00:00|00:00:00||babel-m9-20
10409706.0|COMPLETED|0|1|00:00.018|00:00.015|00:00.003|5.11M|babel-m9-20
10409706.1|COMPLETED|0|1|00:00.029|00:00.021|00:00.007|7.05M|babel-m9-20
10409706.2|COMPLETED|1|1|00:00.026|00:00.016|00:00.010|4.61M|babel-m9-20
10409706.3|COMPLETED|0|1|00:00.038|00:00.024|00:00.013|25.55M|babel-m9-20
10409706.4|COMPLETED|0|1|00:00.029|00:00.019|00:00.009|6.96M|babel-m9-20
10409706.5|COMPLETED|1|1|00:00.028|00:00.022|00:00.006|6.96M|babel-m9-20
10409706.6|COMPLETED|2|1|00:00.038|00:00.021|00:00.017|6.05M|babel-m9-20
10409706.7|COMPLETED|0|1|00:00.018|00:00.012|00:00.005|4.61M|babel-m9-20
10409706.8|COMPLETED|0|1|00:00.018|00:00.012|00:00.005|4.36M|babel-m9-20
10409706.9|COMPLETED|1|1|00:00.017|00:00.012|00:00.004|4.36M|babel-m9-20
10409706.10|COMPLETED|0|1|00:00.107|00:00.096|00:00.010|7.47M|babel-m9-20
10409709|COMPLETED|34|8|00:01.016|00:00.742|00:00.274||babel-o9-28
10409709.batch|COMPLETED|34|8|00:01.016|00:00.742|00:00.274|62.82M|babel-o9-28
10409709.extern|COMPLETED|34|8|00:00:00|00:00:00|00:00:00||babel-o9-28
10409710|COMPLETED|769|8|00:03.707|00:02.255|00:01.451||babel-o9-28
10409710.batch|COMPLETED|769|8|00:03.426|00:02.059|00:01.366|228.69M|babel-o9-28
10409710.extern|COMPLETED|769|8|00:00:00|00:00:00|00:00:00||babel-o9-28
10409710.0|COMPLETED|0|1|00:00.021|00:00.016|00:00.005|4.36M|babel-o9-28
10409710.1|COMPLETED|0|1|00:00.025|00:00.012|00:00.012|5.18M|babel-o9-28
10409710.2|COMPLETED|19|1|00:00.172|00:00.123|00:00.049|34.31M|babel-o9-28
10409710.3|COMPLETED|0|1|00:00.034|00:00.022|00:00.012|6.10M|babel-o9-28
10409710.4|COMPLETED|2|1|00:00.025|00:00.020|00:00.005|4.45M|babel-o9-28
10409332|COMPLETED|288|32|00:43.461|00:37.280|00:06.180||babel-m9-20
10409332.batch|COMPLETED|288|32|00:43.419|00:37.254|00:06.164|781.05M|babel-m9-20
10409332.extern|COMPLETED|288|32|00:00:00|00:00:00|00:00:00||babel-m9-20
10409332.0|COMPLETED|0|1|00:00.018|00:00.012|00:00.005|4.48M|babel-m9-20
10409332.1|COMPLETED|2|1|00:00.023|00:00.013|00:00.010|4.55M|babel-m9-20
10410280|COMPLETED|192|4|00:01.802|00:01.142|00:00.660||babel-o9-28
10410280.batch|COMPLETED|192|4|00:01.802|00:01.142|00:00.660|56.50M|babel-o9-28
10410280.extern|COMPLETED|192|4|00:00:00|00:00:00|00:00:00||babel-o9-28
10410849|PREEMPTED|119|2|00:55.200|00:49.393|00:05.806||babel-v9-24
10410849.batch|COMPLETED|119|2|00:55.200|00:49.393|00:05.806|723.98M|babel-v9-24
10410849.extern|COMPLETED|123|2|00:00:00|00:00:00|00:00:00||babel-v9-24
10410849|COMPLETED|87|2|00:59.151|00:49.290|00:09.861||babel-s9-24
10410849.batch|COMPLETED|87|2|00:59.151|00:49.290|00:09.861|730.12M|babel-s9-24
10410849.extern|COMPLETED|88|2|00:00:00|00:00:00|00:00:00||babel-s9-24
