variant,task_id,replicate,model,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
v21,da-15-1,3,gpt-5.6-sol,77.0,77.0,90.0,90.0,84,-13.0,-7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,3,claude-opus-5,77.0,77.0,100.0,100.0,82,-23.0,-5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,1,gpt-5.6-sol,100.0,100.0,100.0,100.0,78,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,1,claude-opus-5,100.0,100.0,100.0,100.0,74,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,2,gpt-5.6-sol,100.0,100.0,90.0,90.0,62,10.0,38.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,2,claude-opus-5,100.0,100.0,100.0,96.66666666666667,70,0.0,30.0,3.3333333333333286,26.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,3,gpt-5.6-sol,90.0,90.0,80.0,80.0,95,10.0,-5.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,3,claude-opus-5,90.0,90.0,45.0,65.0,86,45.0,4.0,-20.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,1,gpt-5.6-sol,90.0,90.0,70.0,70.0,94,20.0,-4.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,1,claude-opus-5,90.0,90.0,60.0,53.333333333333336,85,30.0,5.0,6.666666666666664,-31.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,2,gpt-5.6-sol,100.0,100.0,75.0,76.66666666666667,92,25.0,8.0,-1.6666666666666714,-15.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,2,claude-opus-5,100.0,100.0,55.0,58.333333333333336,85,45.0,15.0,-3.3333333333333357,-26.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,65,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,3,claude-opus-5,100.0,100.0,100.0,100.0,71,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,1,gpt-5.6-sol,100.0,100.0,63.0,65.66666666666667,68,37.0,32.0,-2.6666666666666714,-2.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,1,claude-opus-5,100.0,100.0,90.0,86.33333333333333,72,10.0,28.0,3.6666666666666714,14.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,2,gpt-5.6-sol,100.0,100.0,100.0,82.0,58,0.0,42.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,2,claude-opus-5,100.0,100.0,90.0,90.66666666666667,76,10.0,24.0,-0.6666666666666714,14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,3,gpt-5.6-sol,72.0,72.0,82.0,82.0,45,-10.0,27.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,3,claude-opus-5,72.0,72.0,95.0,92.33333333333333,78,-23.0,-6.0,2.6666666666666714,14.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,1,gpt-5.6-sol,77.0,77.0,72.0,75.33333333333333,45,5.0,32.0,-3.3333333333333286,30.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,1,claude-opus-5,77.0,77.0,87.0,83.66666666666667,70,-10.0,7.0,3.3333333333333286,13.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,2,gpt-5.6-sol,87.0,87.0,100.0,91.33333333333333,42,-13.0,45.0,8.666666666666671,49.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-15-1,2,claude-opus-5,87.0,87.0,100.0,82.0,78,-13.0,9.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,3,gpt-5.6-sol,100.0,100.0,90.0,96.66666666666667,88,10.0,12.0,-6.666666666666671,8.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,3,claude-opus-5,100.0,100.0,80.0,76.66666666666667,83,20.0,17.0,3.3333333333333286,-6.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,1,gpt-5.6-sol,100.0,100.0,75.0,76.66666666666667,95,25.0,5.0,-1.6666666666666714,-18.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,1,claude-opus-5,100.0,100.0,60.0,63.333333333333336,88,40.0,12.0,-3.3333333333333357,-24.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,2,gpt-5.6-sol,100.0,100.0,95.0,95.0,62,5.0,38.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-13-6,2,claude-opus-5,100.0,100.0,95.0,90.0,85,5.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,3,gpt-5.6-sol,100.0,100.0,92.0,80.33333333333333,62,8.0,38.0,11.666666666666671,18.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,3,claude-opus-5,100.0,100.0,77.0,77.0,76,23.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,1,gpt-5.6-sol,100.0,100.0,97.0,87.0,62,3.0,38.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,1,claude-opus-5,100.0,100.0,100.0,93.33333333333333,72,0.0,28.0,6.666666666666671,21.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,2,gpt-5.6-sol,100.0,100.0,79.0,73.66666666666667,84,21.0,16.0,5.333333333333329,-10.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v32,da-18-5,2,claude-opus-5,100.0,100.0,82.0,82.0,68,18.0,32.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
