task_id,replicate,model,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
da-13-6,1,claude-opus-5,10.0,10.0,0.0,10.0,3,10.0,7.0,-10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,1,gpt-5.6-sol,10.0,10.0,5.0,6.666666666666671,1,5.0,9.0,-1.6666666666666714,5.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,2,claude-opus-5,0.0,0.0,40.0,31.666666666666664,0,-40.0,0.0,8.333333333333336,31.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,2,gpt-5.6-sol,0.0,0.0,20.0,18.33333333333333,-30,-20.0,30.0,1.6666666666666714,48.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,claude-opus-5,10.0,10.0,35.0,11.666666666666671,-3,-25.0,13.0,23.33333333333333,14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,gpt-5.6-sol,10.0,10.0,10.0,16.66666666666667,-7,0.0,17.0,-6.666666666666671,23.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,claude-opus-5,-23.0,-23.0,-13.0,-16.33333333333333,-4,-10.0,-19.0,3.3333333333333286,-12.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,gpt-5.6-sol,-23.0,-23.0,-28.0,-24.66666666666667,-33,5.0,10.0,-3.3333333333333286,8.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,claude-opus-5,-13.0,-13.0,0.0,-14.666666666666671,8,-13.0,-21.0,14.666666666666671,-22.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,gpt-5.6-sol,-13.0,-13.0,10.0,1.3333333333333286,-20,-23.0,7.0,8.666666666666671,21.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,claude-opus-5,-5.0,-5.0,-5.0,-7.666666666666671,-4,0.0,-1.0,2.6666666666666714,-3.6666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,gpt-5.6-sol,-5.0,-5.0,-8.0,-8.0,-39,3.0,34.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,claude-opus-5,0.0,0.0,10.0,7.0,0,-10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,gpt-5.6-sol,0.0,0.0,34.0,21.33333333333333,-6,-34.0,6.0,12.666666666666671,27.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,claude-opus-5,0.0,0.0,-8.0,-8.666666666666671,-8,8.0,8.0,0.6666666666666714,-0.6666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,gpt-5.6-sol,0.0,0.0,-21.0,-8.333333333333329,26,21.0,-26.0,-12.666666666666671,-34.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,claude-opus-5,0.0,0.0,-23.0,-23.0,5,23.0,-5.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,gpt-5.6-sol,0.0,0.0,-8.0,-19.66666666666667,-3,8.0,3.0,11.666666666666671,-16.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
