task_id,replicate,model,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
da-13-6,1,claude-opus-5,10.0,10.0,30.0,34.99999999999999,3,-20.0,7.0,-4.999999999999993,31.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,1,gpt-5.6-sol,10.0,10.0,25.0,26.66666666666667,-1,-15.0,11.0,-1.6666666666666714,27.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,2,claude-opus-5,0.0,0.0,25.0,31.666666666666664,0,-25.0,0.0,-6.666666666666664,31.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,2,gpt-5.6-sol,0.0,0.0,15.0,20.0,4,-15.0,-4.0,-5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,claude-opus-5,10.0,10.0,30.0,16.66666666666667,-3,-20.0,13.0,13.333333333333329,19.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,gpt-5.6-sol,10.0,10.0,20.0,20.0,-2,-10.0,12.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,claude-opus-5,-13.0,-13.0,-13.0,-13.0,2,0.0,-15.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,gpt-5.6-sol,-13.0,-13.0,-13.0,-13.0,-12,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,claude-opus-5,0.0,0.0,-5.0,0.0,8,5.0,-8.0,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,gpt-5.6-sol,0.0,0.0,10.0,10.0,10,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,claude-opus-5,0.0,0.0,-13.0,-19.66666666666667,-4,13.0,4.0,6.666666666666671,-15.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,gpt-5.6-sol,0.0,0.0,-3.0,-8.0,-16,3.0,16.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,claude-opus-5,0.0,0.0,0.0,7.0,2,0.0,-2.0,-7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,gpt-5.6-sol,0.0,0.0,37.0,34.33333333333333,-23,-37.0,23.0,2.6666666666666714,57.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,claude-opus-5,0.0,0.0,-5.0,-5.666666666666671,-4,5.0,4.0,0.6666666666666714,-1.6666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,gpt-5.6-sol,0.0,0.0,0.0,8.0,14,0.0,-14.0,-8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,claude-opus-5,0.0,0.0,-18.0,-12.666666666666671,5,18.0,-5.0,-5.333333333333329,-17.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,gpt-5.6-sol,0.0,0.0,-18.0,-18.0,13,18.0,-13.0,0.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
