variant,task,replicate,auditor,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
R0,da-3-4,2,gpt-5.6-sol,100.0,100.0,100.0,96.33333333333333,96,0.0,4.0,3.6666666666666714,0.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-3-4,2,claude-opus-5,100.0,100.0,100.0,96.33333333333333,88,0.0,12.0,3.6666666666666714,8.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-3-4,1,gpt-5.6-sol,100.0,100.0,89.0,89.0,96,11.0,4.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-3-4,1,claude-opus-5,100.0,100.0,100.0,89.0,88,0.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-3-4,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,93,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-3-4,3,claude-opus-5,100.0,100.0,89.0,92.66666666666667,85,11.0,15.0,-3.6666666666666714,7.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,2,gpt-5.6-sol,88.0,88.0,68.0,68.0,28,20.0,60.0,0.0,40.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,2,claude-opus-5,88.0,88.0,68.0,71.33333333333333,30,20.0,58.0,-3.3333333333333286,41.33333333333333,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,1,gpt-5.6-sol,46.0,46.0,27.0,32.0,35,19.0,11.0,-5.0,-3.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,1,claude-opus-5,46.0,46.0,40.0,40.0,31,6.0,15.0,0.0,9.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,3,gpt-5.6-sol,87.0,87.0,73.0,73.0,55,14.0,32.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-11-1,3,claude-opus-5,87.0,87.0,73.0,68.33333333333333,46,14.0,41.0,4.666666666666671,22.33333333333333,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
R0,da-18-1,2,gpt-5.6-sol,100.0,100.0,100.0,100.0,91,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-18-1,2,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-18-1,1,gpt-5.6-sol,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-18-1,1,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-18-1,3,gpt-5.6-sol,100.0,100.0,90.0,90.0,94,10.0,6.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,da-18-1,3,claude-opus-5,100.0,100.0,90.0,90.0,88,10.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-3-4,2,gpt-5.6-sol,100.0,100.0,100.0,100.0,97,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
