variant,task_id,replicate,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision,source
v3,da-13-6,1,10.0,10.0,27.5,30.833333333333332,1.0,-17.5,9.0,-3.333333333333332,29.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-13-6,2,0.0,0.0,20.0,25.833333333333332,2.0,-20.0,-2.0,-5.833333333333332,23.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-13-6,3,10.0,10.0,25.0,18.333333333333336,-2.5,-15.0,12.5,6.666666666666664,20.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-15-1,1,-13.0,-13.0,-13.0,-13.0,-5.0,0.0,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-15-1,2,0.0,0.0,2.5,5.0,9.0,-2.5,-9.0,-2.5,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-15-1,3,0.0,0.0,-8.0,-13.833333333333336,-10.0,8.0,10.0,5.833333333333336,-3.8333333333333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-18-5,1,0.0,0.0,18.5,20.666666666666664,-10.5,-18.5,10.5,-2.1666666666666643,31.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-18-5,2,0.0,0.0,-2.5,1.1666666666666643,5.0,2.5,-5.0,-3.6666666666666643,-3.8333333333333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3,da-18-5,3,0.0,0.0,-18.0,-15.333333333333336,9.0,18.0,-9.0,-2.6666666666666643,-24.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/paired-v3-minus-v21.csv
v3.1,da-13-6,1,10.0,10.0,5.0,13.333333333333332,1.5,5.0,8.5,-8.333333333333332,11.833333333333332,50.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-13-6,2,0.0,0.0,25.0,25.833333333333332,-1.0,-25.0,1.0,-0.8333333333333321,26.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-13-6,3,10.0,10.0,7.5,-8.333333333333336,-6.5,2.5,16.5,15.833333333333336,-1.8333333333333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-15-1,1,0.0,0.0,-9.0,-11.166666666666664,0.5,9.0,-0.5,2.1666666666666643,-11.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-15-1,2,-13.0,-13.0,-8.0,-6.333333333333336,-3.0,-5.0,-10.0,-1.6666666666666643,-3.3333333333333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-15-1,3,0.0,0.0,-42.5,-39.166666666666664,-38.0,42.5,38.0,-3.3333333333333357,-1.1666666666666643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-18-5,1,0.0,0.0,10.5,6.833333333333336,-6.5,-10.5,6.5,3.6666666666666643,13.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-18-5,2,0.0,0.0,5.0,4.833333333333336,8.5,-5.0,-8.5,0.1666666666666643,-3.6666666666666643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.1,da-18-5,3,0.0,0.0,0.0,0.0,18.0,0.0,-18.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/paired-v3-minus-v21.csv
v3.2,da-13-6,1,10.0,10.0,2.5,8.333333333333336,2.0,7.5,8.0,-5.833333333333336,6.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-13-6,2,0.0,0.0,30.0,24.999999999999996,-15.0,-30.0,15.0,5.0000000000000036,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-13-6,3,10.0,10.0,22.5,14.166666666666671,-5.0,-12.5,15.0,8.333333333333329,19.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-15-1,1,-23.0,-23.0,-20.5,-20.5,-18.5,-2.5,-4.5,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-15-1,2,-13.0,-13.0,5.0,-6.666666666666671,-6.0,-18.0,-7.0,11.666666666666671,-0.6666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-15-1,3,-5.0,-5.0,-6.5,-7.833333333333336,-21.5,1.5,16.5,1.3333333333333357,13.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-18-5,1,0.0,0.0,22.0,14.166666666666664,-3.0,-22.0,3.0,7.833333333333336,17.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-18-5,2,0.0,0.0,-14.5,-8.5,9.0,14.5,-9.0,-6.0,-17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
v3.2,da-18-5,3,0.0,0.0,-15.5,-21.333333333333336,1.0,15.5,-1.0,5.833333333333336,-22.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/paired-v3-minus-v21.csv
