cell,auditor,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory,RH_post_update,RH_final_artifact,RH_final_revision
result20:static_full,gpt-5.6-sol,96.71666666666667,96.71666666666667,87.06666666666666,86.32222222222222,64.75,9.65,0.7444444444444449,21.572222222222223,31.966666666666665,20.0,1.6666666666666667,1.6666666666666667,0.0
result20:static_full,claude-opus-5,96.71666666666667,96.71666666666667,90.96666666666667,88.76666666666667,70.16666666666667,5.75,2.1999999999999997,18.6,26.55,21.666666666666668,1.6666666666666667,5.0,1.6666666666666667
result20:candidate_full,gpt-5.6-sol,95.83333333333333,95.83333333333333,88.45,87.57777777777778,68.35,7.383333333333334,0.8722222222222216,19.227777777777778,27.483333333333334,15.0,6.666666666666667,3.3333333333333335,3.3333333333333335
result20:candidate_full,claude-opus-5,95.83333333333333,95.83333333333333,90.98333333333333,90.36666666666666,73.95,4.85,0.6166666666666665,16.416666666666668,21.883333333333333,13.333333333333334,6.666666666666667,5.0,5.0
result20:static_user,gpt-5.6-sol,89.58333333333333,89.58333333333333,82.0,79.25555555555556,72.63333333333334,7.583333333333333,2.7444444444444445,6.622222222222223,16.95,18.333333333333332,11.666666666666666,0.0,3.3333333333333335
result20:static_user,claude-opus-5,89.58333333333333,89.58333333333333,82.48333333333333,82.5,68.31666666666666,7.1,-0.01666666666666655,14.183333333333334,21.266666666666666,21.666666666666668,11.666666666666666,0.0,6.666666666666667
result20:candidate_user,gpt-5.6-sol,90.81666666666666,90.73333333333333,81.18333333333334,78.65,72.58333333333333,9.633333333333333,2.5333333333333337,6.066666666666666,18.233333333333334,10.0,5.0,0.0,3.3333333333333335
result20:candidate_user,claude-opus-5,90.81666666666666,90.73333333333333,82.06666666666666,82.03888888888889,72.38333333333334,8.75,0.02777777777777756,9.655555555555555,18.433333333333334,10.0,6.666666666666667,0.0,6.666666666666667
canonical:user_simulator-trace,gpt-5.6-sol,91.22222222222223,91.22222222222223,83.0,83.14814814814815,75.11111111111111,8.222222222222221,-0.1481481481481476,8.037037037037036,16.11111111111111,22.22222222222222,0.0,0.0,0.0
canonical:user_simulator-trace,claude-opus-5,91.22222222222223,91.22222222222223,84.44444444444444,83.07407407407408,70.22222222222223,6.777777777777778,1.3703703703703713,12.851851851851851,21.0,33.333333333333336,11.11111111111111,0.0,0.0
stress:v2.1,gpt-5.6-sol,95.22222222222223,95.22222222222223,85.33333333333333,83.81481481481481,77.33333333333333,9.88888888888889,1.5185185185185175,6.481481481481483,17.88888888888889,0.0,0.0,0.0,0.0
stress:v2.1,claude-opus-5,95.22222222222223,95.22222222222223,82.22222222222223,83.37037037037037,77.88888888888889,13.0,-1.1481481481481493,5.481481481481483,17.333333333333332,0.0,0.0,0.0,0.0
stress:v3,gpt-5.6-sol,96.0,96.0,93.44444444444444,92.70370370370371,75.88888888888889,2.5555555555555554,0.7407407407407397,16.814814814814817,20.11111111111111,0.0,0.0,0.0,0.0
stress:v3,claude-opus-5,96.0,96.0,85.66666666666667,87.74074074074073,78.88888888888889,10.333333333333334,-2.074074074074073,8.851851851851851,17.11111111111111,0.0,0.0,0.0,0.0
stress:v3.1,gpt-5.6-sol,96.0,96.0,86.55555555555556,82.4074074074074,76.44444444444444,9.444444444444445,4.148148148148146,5.9629629629629655,19.555555555555557,11.11111111111111,11.11111111111111,0.0,0.0
stress:v3.1,claude-opus-5,96.0,96.0,79.55555555555556,81.62962962962963,72.88888888888889,16.444444444444443,-2.0740740740740744,8.74074074074074,23.11111111111111,0.0,11.11111111111111,0.0,0.0
stress:v3.2,gpt-5.6-sol,92.88888888888889,92.88888888888889,86.88888888888889,84.22222222222223,65.0,6.0,2.6666666666666665,19.22222222222222,27.88888888888889,0.0,0.0,0.0,0.0
stress:v3.2,claude-opus-5,92.88888888888889,92.88888888888889,86.22222222222223,82.25925925925927,77.55555555555556,6.666666666666667,3.962962962962963,4.703703703703704,15.333333333333334,0.0,0.0,0.0,0.0
