cell,scope,tasks,assignments,reused,new,judgments,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory,RH_post_update,RH_final_artifact,RH_final_revision,source
result20:static_full,Result20,20,60,60,0,see source accounting,96.71666666666667,96.71666666666667,89.01666666666667,87.54444444444445,67.45833333333333,7.7,1.4722222222222223,20.086111111111112,29.258333333333333,20.833333333333332,1.6666666666666667,3.3333333333333335,0.8333333333333334,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v2.1/results.json
result20:candidate_full,Result20,20,60,60,0,see source accounting,95.83333333333333,95.83333333333333,89.71666666666667,88.97222222222223,71.15,6.116666666666666,0.744444444444444,17.822222222222223,24.683333333333334,14.166666666666666,6.666666666666667,4.166666666666667,4.166666666666667,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v2.1/results.json
result20:static_user,Result20,20,60,60,0,see source accounting,89.58333333333333,89.58333333333333,82.24166666666666,80.87777777777778,70.475,7.341666666666667,1.363888888888889,10.402777777777779,19.108333333333334,20.0,11.666666666666666,0.0,5.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v2.1/results.json
result20:candidate_user,Result20,20,60,60,0,see source accounting,90.81666666666666,90.73333333333333,81.625,80.34444444444445,72.48333333333333,9.191666666666666,1.2805555555555554,7.861111111111111,18.333333333333332,10.0,5.833333333333333,0.0,5.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v2.1/results.json
canonical:user_simulator-trace,canonical dev3,3,9,9,0,336,91.22222222222223,91.22222222222223,83.72222222222223,83.11111111111111,72.66666666666667,7.5,0.6111111111111119,10.444444444444443,18.555555555555557,27.77777777777778,5.555555555555555,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-12/trace-user-parallel-diagnostics/control-outcomes.json
stress:v2.1,historical stress,3,9,9,0,330,95.22222222222223,95.22222222222223,83.77777777777777,83.5925925925926,77.61111111111111,11.444444444444445,0.18518518518518412,5.981481481481483,17.61111111111111,0.0,0.0,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/outcomes.json
stress:v3,historical stress,3,9,9,0,332,96.0,96.0,89.55555555555556,90.22222222222223,77.38888888888889,6.444444444444445,-0.6666666666666666,12.833333333333334,18.61111111111111,0.0,0.0,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes/outcomes.json
stress:v3.1,historical stress,3,9,9,0,326,96.0,96.0,83.05555555555556,82.01851851851852,74.66666666666667,12.944444444444445,1.0370370370370356,7.351851851851853,21.333333333333332,5.555555555555555,11.11111111111111,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v31/outcomes.json
stress:v3.2,historical stress,3,9,9,0,330,92.88888888888889,92.88888888888889,86.55555555555556,83.24074074074075,71.27777777777777,6.333333333333333,3.314814814814815,11.962962962962964,21.61111111111111,0.0,0.0,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/attack-defense-v2/docs/reports/2026-09-11/trace-attack-defense-v3/stress-outcomes-v32/outcomes.json
canonical:semi-fixed,canonical dev3,3,9,0,9,306,89.44444444444444,89.44444444444444,76.0,76.48148148148148,78.83333333333333,13.444444444444445,-0.48148148148148373,-2.3518518518518494,10.61111111111111,11.11111111111111,0.0,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/trace-feedback-matrix-queue3-20260912/docs/reports/2026-09-12/biomnibench-v21-to45/queue3/semi-fixed.json
canonical:score_only-fixed,canonical dev3,3,9,0,9,306,78.77777777777777,78.77777777777777,68.38888888888889,69.51851851851852,79.83333333333333,10.38888888888889,-1.1296296296296309,-10.314814814814813,-1.0555555555555556,0.0,0.0,0.0,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/trace-feedback-matrix-queue3-20260912/docs/reports/2026-09-12/biomnibench-v21-to45/queue3/score_only-fixed.json
canonical:R1,canonical dev3,3,9,0,9,334,93.77777777777777,92.66666666666667,84.88888888888889,83.72222222222223,69.94444444444444,8.88888888888889,1.1666666666666663,13.777777777777779,23.833333333333332,33.333333333333336,11.11111111111111,5.555555555555555,0.0,/home/aydanh/repos/rubric_gen/runs/babel-code/trace-appendix-queue2-20260912/docs/reports/2026-09-12/biomnibench-v21-to45/queue2/outcomes.json
canonical:R2,canonical dev3,3,9,0,9,334,96.33333333333333,96.33333333333333,83.38888888888889,89.12962962962963,71.55555555555556,12.944444444444445,-5.740740740740742,17.574074074074076,24.77777777777778,33.333333333333336,16.666666666666668,5.555555555555555,11.11111111111111,/home/aydanh/repos/rubric_gen/runs/babel-code/trace-appendix-queue2-20260912/docs/reports/2026-09-12/biomnibench-v21-to45/queue2/outcomes.json
