condition,feedback_policy,rubric_policy,status,dev3_revision,dev3_audit,results20_revision,sol_coverage,opus_coverage,detector_holistic,reused_assignments,valid_assignments,failed_assignments,not_launched_assignments,source_commits,job_ids,output_root,blocker
full-static,full,fixed,complete,9/9 valid,complete (reused compatible static validation),60/60 valid,complete (shared static audit 900/900),complete (shared static audit 900/900),complete,60,60,0,0,7178f1968594027c7c27960940029363f58f07b3,10410202;10410277;10411954;10415061;10415098,/data/user_data/aydanh/rubric_gen/runs/paperbench-static-selected-neutral-heldout-rigorous-20260912/results20-seed-reuse-fixed/study/paperbench-code-dev-factorial-r10-08ba4d2c0d00,terminal; no blocker
full-offline-rubric,full,offline_elicitation,revision-incomplete,9/9 valid (native validator 10424154),queued afterok:10424681 (job 10424684),10424271 running native --resume; 0 completed / 11 running / 349 pending of 360 selected,not launched,not launched,not launched,0,0,0,60,4f67a3b8daca4a545d9c0a67578b283296e63823;411ea949ae9818085151484ce17a9de3c5b8ba41,10414499;10415466;10421608;10422283;10422649;10422655;10424154;10424271;10424419;10424684,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/full-user-learned/study/paperbench-code-dev-factorial-r10-484a1576b8b6,10424271 active: 32 running / 328 pending; shared NFS is full; audit 10424684 waits after 10424681
full-online-rubric,full,online_elicitation,revision-incomplete,9/9 valid (native validator 10424154),queued afterok:10424681 (job 10424684),10424271 running native --resume; 0 completed / 11 running / 349 pending of 360 selected,not launched,not launched,not launched,0,0,0,60,4f67a3b8daca4a545d9c0a67578b283296e63823;411ea949ae9818085151484ce17a9de3c5b8ba41,10414499;10415466;10421608;10422283;10422649;10422655;10424154;10424271;10424419;10424684,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/full-user-learned/study/paperbench-code-dev-factorial-r10-484a1576b8b6,10424271 active: 32 running / 328 pending; shared NFS is full; audit 10424684 waits after 10424681
full-red-team-artifact,full,red_team_artifact,revision-incomplete,9/9 valid (native validator 10424154),queued afterok:10424681 (job 10424684),10424271 running native --resume; 0 completed / 11 running / 349 pending of 360 selected,not launched,not launched,not launched,0,0,0,60,4f67a3b8daca4a545d9c0a67578b283296e63823;411ea949ae9818085151484ce17a9de3c5b8ba41,10414499;10415466;10421608;10422283;10422649;10422655;10424154;10424271;10424419;10424684,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/full-user-learned/study/paperbench-code-dev-factorial-r10-484a1576b8b6,10424271 active: 32 running / 328 pending; shared NFS is full; audit 10424684 waits after 10424681
semi-static,semi,fixed,audit-incomplete,9/9 valid,failed after direct stages; 10424163 rubric_score failed after 1800/1800 units,60/60 valid,partial; exact terminal panel coverage pending 10424672,partial; exact terminal panel coverage pending 10424672,not launched,0,60,0,0,fdd5403abb16e412c003aa7db79d3eaf8cd4b552;4f67a3b8daca4a545d9c0a67578b283296e63823,10414496;10414497;10414738;10415463;10414751;10421605;10421810;10424163;10424672,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/semi-score-fixed/study/paperbench-code-dev-factorial-r10-3d723e04c313,10424163 failed after full rubric attempt; 10424672 queued on CPU quota; downstream audits serialized
semi-offline-rubric,semi,offline_elicitation,revision-incomplete,9/9 valid,complete (validated dev3 reused),native missing-only 10424162: 6 completed / 21 failed / 32 running / 241 pending aggregate,not launched,not launched,not launched,0,,,,fdd5403abb16e412c003aa7db79d3eaf8cd4b552,10414740;10414748;10421723;10422593;10424162,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/semi-score-learned-rest/study/paperbench-code-dev-factorial-r10-61c2335984ea,10424162 active: 6 valid / 35 failed / 28 running / 231 pending; shared NFS is full; native resume only after owner/storage safe point
semi-online-rubric,semi,online_elicitation,revision-incomplete,9/9 valid,complete (validated dev3 reused),native missing-only 10424162: 6 completed / 21 failed / 32 running / 241 pending aggregate,not launched,not launched,not launched,0,,,,fdd5403abb16e412c003aa7db79d3eaf8cd4b552,10414740;10414748;10421723;10422593;10424162,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/semi-score-learned-rest/study/paperbench-code-dev-factorial-r10-61c2335984ea,10424162 active: 6 valid / 35 failed / 28 running / 231 pending; shared NFS is full; native resume only after owner/storage safe point
semi-red-team-artifact,semi,red_team_artifact,revision-incomplete,9/9 valid,complete (validated dev3 reused),native missing-only 10424162: 6 completed / 21 failed / 32 running / 241 pending aggregate,not launched,not launched,not launched,0,,,,fdd5403abb16e412c003aa7db79d3eaf8cd4b552,10414740;10414748;10421723;10422593;10424162,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/semi-score-learned-rest/study/paperbench-code-dev-factorial-r10-61c2335984ea,10424162 active: 6 valid / 35 failed / 28 running / 231 pending; shared NFS is full; native resume only after owner/storage safe point
score-only-static,score_only,fixed,audit-incomplete,9/9 valid,failed after direct stages; 10424163 rubric_score failed after 1800/1800 units,60/60 valid,partial; exact terminal panel coverage pending 10424672,partial; exact terminal panel coverage pending 10424672,not launched,0,60,0,0,fdd5403abb16e412c003aa7db79d3eaf8cd4b552;4f67a3b8daca4a545d9c0a67578b283296e63823,10414496;10414497;10414738;10415463;10414751;10421605;10421810;10424163;10424672,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/semi-score-fixed/study/paperbench-code-dev-factorial-r10-3d723e04c313,10424163 failed after full rubric attempt; 10424672 queued on CPU quota; downstream audits serialized
score-only-offline-rubric,score_only,offline_elicitation,audit-incomplete,9/9 valid,failed after direct stages; 3 rubric responses incomplete,60/60 valid,not launched,not launched,not launched,0,60,0,0,fdd5403abb16e412c003aa7db79d3eaf8cd4b552;4f67a3b8daca4a545d9c0a67578b283296e63823,10414497;10414739;10414747;10415465;10421607;10422051;10424410;10424681,/data/user_data/aydanh/rubric_gen/runs/paperbench-nontrace-results20-20260912/results20/score-only-offline/study/paperbench-code-dev-factorial-r10-3d723e04c313,10424681 waits for fixed-audit replacement 10424672; old 10424410 cannot run
