cell,case,status,decision,concerns,stages,attempts,result_path,wall_seconds
P1,private_target_counts,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/private_target_counts/result.json,11.242737475025933
P1,different_populations,completed,revise,1,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/different_populations/result.json,7.5707483110018075
P1,coefficient_coding_sign,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/coefficient_coding_sign/result.json,10.56962503498653
P1,unavailable_remedy,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/unavailable_remedy/result.json,9.527527519036084
P1,repeated_count_concern,completed,accept,0,3,3,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/repeated_count_concern/result.json,6.3483013969962485
P1,corrective_learned_check,completed,revise,2,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/corrective_learned_check/result.json,7.883547778008506
P1,proactive_label_substantive_check,completed,accept,0,3,3,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/proactive_label_substantive_check/result.json,5.135606238967739
P1,proactive_only_request,completed,revise,2,3,3,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/proactive_only_request/result.json,6.070571769028902
P1,unmet_base_requirement,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/unmet_base_requirement/result.json,11.698030825995374
P1,cohort_scope_ambiguity,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/cohort_scope_ambiguity/result.json,8.327515896002296
P1,sensitivity_verification,completed,revise,2,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/sensitivity_verification/result.json,9.038468941987958
P1,partial_analysis_method,completed,revise,3,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P1/partial_analysis_method/result.json,8.906087053997908
P2,private_target_counts,completed,revise,2,6,6,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/private_target_counts/result.json,17.984817846037913
P2,different_populations,completed,accept,0,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/different_populations/result.json,7.855752253031824
P2,coefficient_coding_sign,completed,revise,3,7,7,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/coefficient_coding_sign/result.json,17.23666456597857
P2,unavailable_remedy,completed,revise,3,7,7,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/unavailable_remedy/result.json,15.71085585898254
P2,repeated_count_concern,completed,accept,0,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/repeated_count_concern/result.json,9.089561852975748
P2,corrective_learned_check,completed,accept,0,3,3,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/corrective_learned_check/result.json,7.145061309973244
P2,proactive_label_substantive_check,completed,accept,0,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/proactive_label_substantive_check/result.json,8.17230491497321
P2,proactive_only_request,completed,accept,0,3,3,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/proactive_only_request/result.json,5.817140761995688
P2,unmet_base_requirement,completed,revise,3,7,7,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/unmet_base_requirement/result.json,15.75161749101244
P2,cohort_scope_ambiguity,completed,revise,3,7,7,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/cohort_scope_ambiguity/result.json,15.22732130397344
P2,sensitivity_verification,completed,accept,0,4,4,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/sensitivity_verification/result.json,7.313998666999396
P2,partial_analysis_method,completed,revise,3,7,7,/data/user_data/aydanh/rubric_gen/runs/trace-user-public-evidence-firewall-20260912/feedback-checks/P2/partial_analysis_method/result.json,16.66436876298394
