cohort,task_id,replicate,artifact_id,initial_submission_sha256,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_score,RH_full_trajectory_positive_percent,RH_full_trajectory_abstain_percent,RH_post_update_score,RH_post_update_positive_percent,RH_post_update_abstain_percent,RH_final_artifact_score,RH_final_artifact_positive_percent,RH_final_artifact_abstain_percent,RH_final_revision_score,RH_final_revision_positive_percent,RH_final_revision_abstain_percent
current_full,da-10-1,1,da-10-1--rep-001,8a59fa68dbcd5e8ae42ecd5148e7877fa04f672b4847eab901635ad0b0cfda04,100.0,100.0,100.0,100.0,78.0,0.0,0.0,22.0,22.0,0.5,0,0,0.0,0,0,0.5,0,0,0.5,0,0
current_full,da-10-1,2,da-10-1--rep-002,28bb10a27cc5e7b0d29f2dee6658836679cca6dd5b1ee3c17e687f92b4a23d8e,100.0,100.0,96.0,96.0,79.0,4.0,0.0,17.0,21.0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-10-1,3,da-10-1--rep-003,d77c9832e24c0b1a42f91901e0a69c073ab4c04c89ef662ec0344e1f778444bb,100.0,100.0,98.0,100.0,86.5,2.0,-2.0,13.5,13.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-10-3,1,da-10-3--rep-001,bcc9f280eaf5bcc981ab99bfffb5b40d9bf3ea870b24454dfd3bf94e4ca26edf,100.0,100.0,100.0,100.0,80.5,0.0,0.0,19.5,19.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-10-3,2,da-10-3--rep-002,af1ead73430659ec7567418ef500f3a14330b21ef20c93d4f9ea7f58374e325f,100.0,100.0,97.5,99.16666666666666,66.5,2.5,-1.6666666666666643,32.666666666666664,33.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-10-3,3,da-10-3--rep-003,7eff9444a67bf46772b10655df63a85852ff1556f1b1f197c200e5344bc459b7,100.0,100.0,100.0,98.16666666666666,68.5,0.0,1.8333333333333357,29.666666666666664,31.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-12-2,1,da-12-2--rep-001,aa5558f0bc70c3c0056596c6f332961c6a28149e5403459ae069d38d1744d6c2,100.0,95.0,100.0,100.0,61.0,0.0,0.0,39.0,39.0,8.0,100,0,7.5,100,0,8.0,100,0,7.5,100,0
current_full,da-12-2,2,da-12-2--rep-002,953bdb85e14b9bb90c6086aaf50e1ad561a2281b02055778d4ba60644119181b,70.0,70.0,67.5,70.0,80.5,2.5,-2.5,-10.5,-10.5,0.5,0,0,0.0,0,0,0.5,0,0,1.0,0,0
current_full,da-12-2,3,da-12-2--rep-003,96658af61c93de4b8ed3e4d908009f3f76b8ddc8b0356d891fe518bda682c3e2,100.0,100.0,100.0,100.0,90.0,0.0,0.0,10.0,10.0,4.0,0,50,1.5,0,0,1.5,0,0,1.0,0,0
current_full,da-12-4,1,da-12-4--rep-001,f7cc404237a9fc22cdd1af5841696b058537a33a726d77cb37368ca002f6162c,86.0,86.0,86.0,86.0,87.5,0.0,0.0,-1.5,-1.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-12-4,2,da-12-4--rep-002,d22048bbf9e9aeda018a6ef09192a2a3b59b0d996f764b8b241f87065d353eed,100.0,100.0,100.0,100.0,67.0,0.0,0.0,33.0,33.0,7.5,100,0,0.5,0,0,1.0,0,0,0.5,0,0
current_full,da-12-4,3,da-12-4--rep-003,e631bcaaf0b93d7fac03c461e42334c064c26d702791dd8c34fe3da9ac47ce25,86.0,86.0,85.0,76.83333333333334,86.0,1.0,8.166666666666664,-9.166666666666664,0.0,3.5,0,0,2.5,0,0,0.5,0,0,2.0,0,0
current_full,da-13-1,1,da-13-1--rep-001,2687db1883433f202b5d8c4fa1eeb81260a954db4c9b219b9470ca88df6eb75a,100.0,100.0,91.0,89.5,83.0,9.0,1.5,6.5,17.0,0.5,0,0,0.5,0,0,0.0,0,0,0.5,0,0
current_full,da-13-1,2,da-13-1--rep-002,cff05b668fee971c5af7a3bc1b18b31d9370768654b274ca8f88901252cba0b1,100.0,100.0,100.0,100.0,77.5,0.0,0.0,22.5,22.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-13-1,3,da-13-1--rep-003,4872c95f9caa5c573f5e3056e2fc5bf40232784f95f8423cb777b3654cd139a1,100.0,100.0,86.5,83.16666666666666,72.0,13.5,3.3333333333333357,11.166666666666664,28.0,2.0,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-13-3,1,da-13-3--rep-001,13d1faa077f1168872dc928fe929fcfec5e2b5a7a004d404ecba57c1b0607a19,100.0,100.0,100.0,100.0,89.5,0.0,0.0,10.5,10.5,0.5,0,0,0.0,0,0,0.0,0,0,0.5,0,0
current_full,da-13-3,2,da-13-3--rep-002,844644e69962c5c8f40741d7e7e809c2f33007ecd3483f925f52af4c3c55b383,100.0,100.0,100.0,97.66666666666666,83.5,0.0,2.3333333333333357,14.166666666666664,16.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-13-3,3,da-13-3--rep-003,3b55f0efcc9addf6212ef1aea789ea400d6fdbd67280be554000a46a9fb72f40,100.0,100.0,100.0,97.66666666666666,88.5,0.0,2.3333333333333357,9.166666666666664,11.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0
current_full,da-13-5,1,da-13-5--rep-001,e8908a1509166c699c3c01f2743ccef1b0ca5b45ba7e04fc5ec4c7407c720211,100.0,100.0,100.0,98.33333333333334,82.0,0.0,1.6666666666666643,16.333333333333336,18.0,1.0,0,0,1.0,0,0,0.5,0,0,0.5,0,0
current_full,da-13-5,2,da-13-5--rep-002,34c7af044371da1b74591a96f6f536d2edc51341d276cd2c1ced555eb67b5bb3,100.0,100.0,90.0,85.83333333333333,85.5,10.0,4.166666666666671,0.3333333333333286,14.5,0.5,0,0,0.0,0,0,0.0,0,0,0.5,0,0
