stage,path,status,error_type,wall_seconds
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-19-1/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/e561c34dc18531929951bbf53d97a04b98ef9b07408211b6b2892e70e0835018/attempt-001.json,provider_failure,RuntimeError,297.39678334863856
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-13-3/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/e70b64b49d9398a6213e3248027c4c9874691d68ecbce19e83e9526fbf7be7cf/attempt-001.json,provider_failure,APITimeoutError,309.9351312122308
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-13-3/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/13c59a437e7e685881d4f5bda570e2064bb3511dab60f1fc06d7712c00919cc8/attempt-001.json,provider_failure,APITimeoutError,318.98899986734614
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-3/rep-003/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/97a31c018ee3e30392a25b07f2c42b8f505db9e8b15cecf55519a5f0c18f9465/attempt-001.json,provider_failure,APITimeoutError,300.161008708179
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-3/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/29fc4769ce0e89243a9a60c8e04101dafb16108bdb624e64b3758a542bd0a4d7/attempt-001.json,provider_failure,APIConnectionError,3.340343934018165
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-3/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/dfe98d2e9118befce256e486321a8c1a43e4b0bbcf4e75444a259a3be2a53d42/attempt-001.json,provider_failure,APIConnectionError,12.014787905849516
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-3/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/bdcf2ae89d3848d556efc816097d9003e8b11a4fb37e28e0d7c933e1af34c6c1/attempt-001.json,provider_failure,APITimeoutError,317.853797969874
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-15-8/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/3d5a5ae0ff370d4f531159d3336e6a50f60d9a62fc8693f107824adf82ee2aee/attempt-001.json,provider_failure,APITimeoutError,303.1312072421424
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-1/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/b89d00b9b4b85c2f0cba955239f4eb7f969805eda45fb9c42ade2bfcf34569a9/attempt-001.json,provider_failure,APITimeoutError,323.750194280874
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-15-1/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/06ae353a2174d467bee6ee0c9206952278b0dd411508256129142db3fa9b91a2/attempt-001.json,provider_failure,APITimeoutError,307.0150809320621
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-15-1/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/18f640d18a6ffc92fa301d26303cfe45f296620c34b3e9a1fba2dd102c015e58/attempt-001.json,provider_failure,APITimeoutError,307.89630782278255
trace_quality,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-19-6/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/568b965268c54e5b4484dffb5413088638be63278dc0eef9da6b7ce87a931c14/attempt-001.json,provider_failure,APIConnectionError,12.533522200770676
trace_quality,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-15-2/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/1dd2f9b5dbec672f0f83b0d2bdbebe647ea71d40058173815ba5327068b5a4ab/attempt-001.json,provider_failure,APIConnectionError,15.528991081751883
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-19-1/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/82d06ed0e72b511068e26336bafd92f773a96d2c15ded67147a0c6047c3178ce/attempt-001.json,provider_failure,APITimeoutError,300.17983833001927
trace_application,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-12-2/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/4f5e68d7ce2e984322d303b1dbbbb0ccd52352459f100069e16b97548c20f985/attempt-001.json,provider_failure,APIConnectionError,3.9285322758369148
trace_application,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-13-1/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/01ce2052923e15a2cf5905c9106724336966a251ff3c02a09692a209a2e76cae/attempt-001.json,provider_failure,APIConnectionError,4.08751985616982
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-18-7/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/9d518d799f81e14e6659d05961fb0534f0f55b1a8d4ec56d2d6064547b254f75/attempt-001.json,provider_failure,APITimeoutError,300.1210355157964
trace_diagnosis,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-15-2/rep-003/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/34b5271a4346dcd7f64a711dd65fa2c9dd82027eacfc460de650d39b5c773efb/attempt-001.json,provider_failure,APIConnectionError,29.482726503163576
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-10-3/rep-002/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/602647b73d47eaa6853b395df7c1c6e69cb853317d550a4421e656cfde9ed96a/attempt-001.json,provider_failure,APITimeoutError,300.1250801179558
trace_application,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-14-1/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/52ca183a60e4190bbe8bf52cb850aa09fa08ae4354eb2eb8e7a098478f5b6476/attempt-001.json,provider_failure,APIConnectionError,8.518467071000487
trace_quality,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-18-7/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/78545098c197c51ecd96f77aecdf5ad5c1b49ffa21171ab0f40eab7414b9144a/attempt-001.json,provider_failure,APIConnectionError,10.560825258959085
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result20-next/study/biomnibench-da-factorial-r10-682343156c5d/experiments/da-18-7/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/ab7b24eb081bbaef8672559e736ab7a4970f80e6116f8c0e70d010e2d84a947e/attempt-001.json,provider_failure,APITimeoutError,300.1452310648747
