stage,model,saved_responses,reused_exact,fresh_saved_responses,usage_available,input_tokens,output_tokens,cached_input_tokens,cache_write_input_tokens,usage_based_usd
audit_absolute_score,claude-opus-5,180,0,180,180,1527896,144047,113811,1929,10.73091675
audit_absolute_score,gpt-5.6-sol,180,0,180,180,965542,33724,0,0,5.83943
audit_direct_final_artifact,claude-opus-5,120,0,120,120,1088340,15560,314506,29792,4.452663
audit_direct_final_artifact,gpt-5.6-sol,120,0,120,120,690315,10455,180310,25052,2.985145
audit_direct_final_revision,claude-opus-5,121,0,121,121,6173438,13986,346846,0,29.656033
audit_direct_final_revision,gpt-5.6-sol,120,0,120,120,4165843,9376,205362,0,20.186366
audit_direct_full_trajectory,claude-opus-5,474,0,474,474,56369873,65338,1403688,0,277.166219
audit_direct_full_trajectory,gpt-5.6-sol,441,0,441,441,38729993,37023,775863,0,191.2692715
audit_direct_post_update,claude-opus-5,268,0,268,268,29063912,35046,759917,38943,142.82476225
audit_direct_post_update,gpt-5.6-sol,252,0,252,252,19881686,20418,437397,9175,98.06415225
audit_pairwise_preference,claude-opus-5,120,0,120,120,1611253,70067,70064,2416,9.495672
audit_pairwise_preference,gpt-5.6-sol,120,0,120,120,1022688,12681,0,0,5.49387
audit_rubric,claude-opus-5,1059,0,1059,1059,10921288,1033955,0,0,80.455315
audit_rubric,gpt-5.6-sol,1059,0,1059,1059,6653007,348770,0,6649830,52.0404225
optimizer_judge,gpt-5.6-luna,1561,0,1561,1561,10197356,541456,10550,10174320,3.1960354
simulator,gpt-5.6-luna,455,0,455,455,8948146,81356,0,0,1.8872564
trace_application,gpt-5.6-luna,6447,0,6447,6447,40287172,2425578,38189,40223986,12.97245328
trace_compilation,gpt-5.6-luna,604,0,604,604,10399499,221988,0,10397687,2.86616975
trace_diagnosis,gpt-5.6-luna,1015,0,1015,1015,28497823,3172042,1006741,27488037,10.69920347
trace_enforcement,gpt-5.6-luna,1109,0,1109,1109,38808486,528215,1943447,36861712,9.88882034
trace_quality,gpt-5.6-luna,1949,0,1949,1949,23299318,1126865,3228063,20065408,6.43432066
trace_rubric_view,gpt-5.6-luna,6215,0,6215,6215,46292325,3305916,5204902,41061908,14.341777239999999
trace_semantic,gpt-5.6-luna,598,0,598,598,5626950,188073,0,5625156,1.6323353999999999
