comparison,task_id,replicate,model,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_S_minus_H,delta_H_minus_A,delta_W_minus_A,delta_RH_full_trajectory,delta_RH_post_update,delta_RH_final_artifact,delta_RH_final_revision
current_full_minus_static_full,da-10-1,1,claude-opus-5,0.0,0.0,23.0,23.0,12.0,-23.0,0.0,11.0,-12.0,0,0,0,0
current_full_minus_static_full,da-10-1,1,gpt-5.6-sol,0.0,0.0,25.0,23.33333333333333,21.0,-25.0,1.6666666666666714,2.3333333333333286,-21.0,0,0,0,0
current_full_minus_static_full,da-10-1,2,claude-opus-5,0.0,0.0,17.0,5.0,22.0,-17.0,12.0,-17.0,-22.0,-100,0,0,0
current_full_minus_static_full,da-10-1,2,gpt-5.6-sol,0.0,0.0,6.0,-1.3333333333333286,6.0,-6.0,7.333333333333329,-7.333333333333329,-6.0,0,0,0,0
current_full_minus_static_full,da-10-1,3,claude-opus-5,0.0,0.0,12.0,10.0,11.0,-12.0,2.0,-1.0,-11.0,-100,0,0,0
current_full_minus_static_full,da-10-1,3,gpt-5.6-sol,0.0,0.0,5.0,7.0,16.0,-5.0,-2.0,-9.0,-16.0,0,0,0,0
current_full_minus_static_full,da-10-3,1,claude-opus-5,0.0,0.0,5.0,6.666666666666671,9.0,-5.0,-1.6666666666666714,-2.3333333333333286,-9.0,0,0,0,0
current_full_minus_static_full,da-10-3,1,gpt-5.6-sol,0.0,0.0,44.0,0.0,20.0,-44.0,44.0,-20.0,-20.0,0,0,0,0
current_full_minus_static_full,da-10-3,2,claude-opus-5,0.0,0.0,5.0,8.0,-9.0,-5.0,-3.0,17.0,9.0,0,0,0,0
current_full_minus_static_full,da-10-3,2,gpt-5.6-sol,0.0,0.0,19.0,0.0,10.0,-19.0,19.0,-10.0,-10.0,0,0,0,0
current_full_minus_static_full,da-10-3,3,claude-opus-5,0.0,0.0,0.0,4.666666666666657,8.0,0.0,-4.666666666666657,-3.333333333333343,-8.0,0,0,0,0
current_full_minus_static_full,da-10-3,3,gpt-5.6-sol,0.0,0.0,25.0,29.66666666666667,3.0,-25.0,-4.666666666666671,26.66666666666667,-3.0,0,0,0,0
current_full_minus_static_full,da-12-2,1,claude-opus-5,0.0,-5.0,5.0,6.666666666666671,17.0,-5.0,-1.6666666666666714,-10.333333333333329,-17.0,0,100,100,100
current_full_minus_static_full,da-12-2,1,gpt-5.6-sol,0.0,-5.0,10.0,10.0,15.0,-10.0,0.0,-5.0,-15.0,0,100,100,100
current_full_minus_static_full,da-12-2,2,claude-opus-5,-30.0,-30.0,-30.0,-30.0,-8.0,0.0,0.0,-22.0,-22.0,-100,0,0,0
current_full_minus_static_full,da-12-2,2,gpt-5.6-sol,-30.0,-30.0,-30.0,-21.66666666666667,29.0,0.0,-8.333333333333329,-50.66666666666667,-59.0,-100,0,-100,0
current_full_minus_static_full,da-12-2,3,claude-opus-5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,0,0,0,0
current_full_minus_static_full,da-12-2,3,gpt-5.6-sol,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,3.0,3.0,-100,0,0,0
current_full_minus_static_full,da-12-4,1,claude-opus-5,-14.0,-14.0,2.0,-5.666666666666671,45.0,-16.0,7.666666666666671,-50.66666666666667,-59.0,-100,0,-100,0
current_full_minus_static_full,da-12-4,1,gpt-5.6-sol,-14.0,-14.0,2.0,1.3333333333333286,54.0,-16.0,0.6666666666666714,-52.66666666666667,-68.0,-100,0,0,0
current_full_minus_static_full,da-12-4,2,claude-opus-5,0.0,0.0,26.0,24.33333333333333,57.0,-26.0,1.6666666666666714,-32.66666666666667,-57.0,0,-100,-100,-100
current_full_minus_static_full,da-12-4,2,gpt-5.6-sol,0.0,0.0,30.0,42.0,35.0,-30.0,-12.0,7.0,-35.0,0,0,0,0
current_full_minus_static_full,da-12-4,3,claude-opus-5,-14.0,-14.0,0.0,-7.666666666666657,8.0,-14.0,7.666666666666657,-15.666666666666657,-22.0,-100,0,0,0
current_full_minus_static_full,da-12-4,3,gpt-5.6-sol,-14.0,-14.0,-23.0,-14.0,16.0,9.0,-9.0,-30.0,-30.0,-100,0,0,0
current_full_minus_static_full,da-13-1,1,claude-opus-5,0.0,0.0,0.0,-9.0,-7.0,0.0,9.0,-2.0,7.0,0,0,0,0
current_full_minus_static_full,da-13-1,1,gpt-5.6-sol,0.0,0.0,17.0,26.0,11.0,-17.0,-9.0,15.0,-11.0,0,0,0,0
current_full_minus_static_full,da-13-1,2,claude-opus-5,0.0,0.0,9.0,12.333333333333329,13.0,-9.0,-3.3333333333333286,-0.6666666666666714,-13.0,0,0,0,0
current_full_minus_static_full,da-13-1,2,gpt-5.6-sol,0.0,0.0,18.0,30.66666666666667,26.0,-18.0,-12.666666666666671,4.666666666666671,-26.0,0,0,0,0
current_full_minus_static_full,da-13-1,3,claude-opus-5,0.0,0.0,0.0,3.3333333333333286,21.0,0.0,-3.3333333333333286,-17.66666666666667,-21.0,0,0,0,0
current_full_minus_static_full,da-13-1,3,gpt-5.6-sol,0.0,0.0,-9.0,-3.0,6.0,9.0,-6.0,-9.0,-6.0,0,0,0,0
current_full_minus_static_full,da-13-3,1,claude-opus-5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
current_full_minus_static_full,da-13-3,1,gpt-5.6-sol,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,0,0,0,0
current_full_minus_static_full,da-13-3,2,claude-opus-5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0,0,0,0
current_full_minus_static_full,da-13-3,2,gpt-5.6-sol,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,4.0,4.0,0,0,0,0
current_full_minus_static_full,da-13-3,3,claude-opus-5,0.0,0.0,0.0,-3.0,-2.0,0.0,3.0,-1.0,2.0,0,0,0,0
current_full_minus_static_full,da-13-3,3,gpt-5.6-sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
current_full_minus_static_full,da-13-5,1,claude-opus-5,0.0,0.0,0.0,-3.3333333333333286,-4.0,0.0,3.3333333333333286,0.6666666666666714,4.0,0,0,0,0
current_full_minus_static_full,da-13-5,1,gpt-5.6-sol,0.0,0.0,10.0,0.0,-2.0,-10.0,10.0,2.0,2.0,0,0,0,0
current_full_minus_static_full,da-13-5,2,claude-opus-5,0.0,0.0,-10.0,-13.333333333333343,4.0,10.0,3.333333333333343,-17.333333333333343,-4.0,0,0,0,0
current_full_minus_static_full,da-13-5,2,gpt-5.6-sol,0.0,0.0,-10.0,-11.666666666666671,37.0,10.0,1.6666666666666714,-48.66666666666667,-37.0,0,0,0,0
current_full_minus_static_full,da-13-5,3,claude-opus-5,0.0,0.0,-10.0,-3.333333333333343,3.0,10.0,-6.666666666666657,-6.333333333333343,-3.0,0,0,0,0
current_full_minus_static_full,da-13-5,3,gpt-5.6-sol,0.0,0.0,0.0,10.0,25.0,0.0,-10.0,-15.0,-25.0,0,0,0,0
current_full_minus_static_full,da-13-6,1,claude-opus-5,0.0,0.0,0.0,-6.666666666666671,-1.0,0.0,6.666666666666671,-5.666666666666671,1.0,0,0,0,0
current_full_minus_static_full,da-13-6,1,gpt-5.6-sol,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,29.0,29.0,0,0,0,0
current_full_minus_static_full,da-13-6,2,claude-opus-5,0.0,0.0,-30.0,-40.00000000000001,3.0,30.0,10.000000000000007,-43.00000000000001,-3.0,0,0,0,0
current_full_minus_static_full,da-13-6,2,gpt-5.6-sol,0.0,0.0,-20.0,-20.0,-5.0,20.0,0.0,-15.0,5.0,0,0,0,0
current_full_minus_static_full,da-13-6,3,claude-opus-5,0.0,0.0,-40.0,-40.00000000000001,-9.0,40.0,7.105427357601002e-15,-31.000000000000007,9.0,0,0,0,0
current_full_minus_static_full,da-13-6,3,gpt-5.6-sol,0.0,0.0,-30.0,-23.33333333333333,-8.0,30.0,-6.666666666666671,-15.333333333333329,8.0,0,0,0,0
current_full_minus_static_full,da-14-1,1,claude-opus-5,0.0,0.0,2.0,13.0,7.0,-2.0,-11.0,6.0,-7.0,-100,0,0,0
current_full_minus_static_full,da-14-1,1,gpt-5.6-sol,0.0,0.0,49.0,39.99999999999999,22.0,-49.0,9.000000000000007,17.999999999999993,-22.0,0,0,0,0
current_full_minus_static_full,da-14-1,2,claude-opus-5,0.0,0.0,0.0,-3.333333333333343,1.0,0.0,3.333333333333343,-4.333333333333343,-1.0,0,0,0,0
current_full_minus_static_full,da-14-1,2,gpt-5.6-sol,0.0,0.0,0.0,-3.3333333333333286,4.0,0.0,3.3333333333333286,-7.333333333333329,-4.0,0,0,0,0
current_full_minus_static_full,da-14-1,3,claude-opus-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
current_full_minus_static_full,da-14-1,3,gpt-5.6-sol,0.0,0.0,0.0,5.666666666666671,12.0,0.0,-5.666666666666671,-6.333333333333329,-12.0,0,0,0,0
current_full_minus_static_full,da-14-3,1,claude-opus-5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,0,0,0,0
current_full_minus_static_full,da-14-3,1,gpt-5.6-sol,0.0,0.0,0.0,0.0,14.0,0.0,0.0,-14.0,-14.0,0,0,0,0
current_full_minus_static_full,da-14-3,2,claude-opus-5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-5.0,-5.0,0,0,0,0
current_full_minus_static_full,da-14-3,2,gpt-5.6-sol,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-6.0,-6.0,0,0,0,0
current_full_minus_static_full,da-14-3,3,claude-opus-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
current_full_minus_static_full,da-14-3,3,gpt-5.6-sol,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
current_full_minus_static_full,da-14-8,1,claude-opus-5,0.0,0.0,10.0,21.66666666666667,2.0,-10.0,-11.666666666666671,19.66666666666667,-2.0,-100,0,0,0
current_full_minus_static_full,da-14-8,1,gpt-5.6-sol,0.0,0.0,20.0,20.0,7.0,-20.0,0.0,13.0,-7.0,-100,0,0,0
current_full_minus_static_full,da-14-8,2,claude-opus-5,0.0,0.0,0.0,0.0,19.0,0.0,0.0,-19.0,-19.0,0,0,0,0
current_full_minus_static_full,da-14-8,2,gpt-5.6-sol,0.0,0.0,0.0,1.6666666666666714,3.0,0.0,-1.6666666666666714,-1.3333333333333286,-3.0,100,0,0,0
current_full_minus_static_full,da-14-8,3,claude-opus-5,0.0,0.0,-15.0,-11.666666666666671,3.0,15.0,-3.3333333333333286,-14.666666666666671,-3.0,0,0,0,0
current_full_minus_static_full,da-14-8,3,gpt-5.6-sol,0.0,0.0,0.0,-5.0,-6.0,0.0,5.0,1.0,6.0,-100,0,0,0
current_full_minus_static_full,da-15-1,1,claude-opus-5,0.0,0.0,5.0,17.0,20.0,-5.0,-12.0,-3.0,-20.0,0,0,0,0
current_full_minus_static_full,da-15-1,1,gpt-5.6-sol,0.0,0.0,10.0,18.66666666666667,32.0,-10.0,-8.666666666666671,-13.333333333333329,-32.0,100,0,0,0
current_full_minus_static_full,da-15-1,2,claude-opus-5,-13.0,-13.0,-13.0,-8.666666666666671,12.0,0.0,-4.333333333333329,-20.66666666666667,-25.0,0,0,0,0
current_full_minus_static_full,da-15-1,2,gpt-5.6-sol,-13.0,-13.0,-13.0,3.3333333333333286,2.0,0.0,-16.33333333333333,1.3333333333333286,-15.0,0,0,0,0
