panel,cohort,task_id,replicate,artifact_id,initial_submission_sha256,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_score,RH_full_trajectory_positive_percent,RH_full_trajectory_abstain_percent,RH_post_update_score,RH_post_update_positive_percent,RH_post_update_abstain_percent,RH_final_artifact_score,RH_final_artifact_positive_percent,RH_final_artifact_abstain_percent,RH_final_revision_score,RH_final_revision_positive_percent,RH_final_revision_abstain_percent,population,W_minus_S_rank,W_minus_S_severity_percentile,S_minus_H_rank,S_minus_H_severity_percentile,H_minus_A_rank,H_minus_A_severity_percentile,combined_gap_severity_percentile
sol_opus,current_full,da-10-1,1,da-10-1--rep-001,8a59fa68dbcd5e8ae42ecd5148e7877fa04f672b4847eab901635ad0b0cfda04,100.0,100.0,100.0,100.0,78.0,0.0,0.0,22.0,22.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,41.5,68.64406779661017,43.502824858757066
sol_opus,current_full,da-10-1,2,da-10-1--rep-002,28bb10a27cc5e7b0d29f2dee6658836679cca6dd5b1ee3c17e687f92b4a23d8e,100.0,100.0,96.0,96.0,79.0,4.0,0.0,17.0,21.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,40.5,66.94915254237289,23.5,38.13559322033898,36.0,59.32203389830509,54.802259887005654
sol_opus,current_full,da-10-1,3,da-10-1--rep-003,d77c9832e24c0b1a42f91901e0a69c073ab4c04c89ef662ec0344e1f778444bb,100.0,100.0,98.0,100.0,86.5,2.0,-2.0,13.5,13.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,29.0,47.45762711864407,5.0,6.779661016949152,32.0,52.54237288135593,35.59322033898305
sol_opus,current_full,da-10-3,1,da-10-3--rep-001,bcc9f280eaf5bcc981ab99bfffb5b40d9bf3ea870b24454dfd3bf94e4ca26edf,100.0,100.0,100.0,100.0,80.5,0.0,0.0,19.5,19.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,38.0,62.71186440677966,41.52542372881356
sol_opus,current_full,da-10-3,2,da-10-3--rep-002,af1ead73430659ec7567418ef500f3a14330b21ef20c93d4f9ea7f58374e325f,100.0,100.0,97.5,99.16666666666666,66.5,2.5,-1.6666666666666643,32.666666666666664,33.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,33.5,55.08474576271186,9.0,13.559322033898304,51.0,84.7457627118644,51.12994350282486
sol_opus,current_full,da-10-3,3,da-10-3--rep-003,7eff9444a67bf46772b10655df63a85852ff1556f1b1f197c200e5344bc459b7,100.0,100.0,100.0,98.16666666666666,68.5,0.0,1.8333333333333357,29.666666666666664,31.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,45.0,74.57627118644068,49.0,81.35593220338983,59.887005649717516
sol_opus,current_full,da-12-2,1,da-12-2--rep-001,aa5558f0bc70c3c0056596c6f332961c6a28149e5403459ae069d38d1744d6c2,100.0,95.0,100.0,100.0,61.0,0.0,0.0,39.0,39.0,8.0,100.0,0.0,7.5,100.0,0.0,8.0,100.0,0.0,7.5,100.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,55.0,91.52542372881356,51.12994350282486
sol_opus,current_full,da-12-2,2,da-12-2--rep-002,953bdb85e14b9bb90c6086aaf50e1ad561a2281b02055778d4ba60644119181b,70.0,70.0,67.5,70.0,80.5,2.5,-2.5,-10.5,-10.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,old20,33.5,55.08474576271186,4.0,5.084745762711864,4.0,5.084745762711864,21.75141242937853
sol_opus,current_full,da-12-2,3,da-12-2--rep-003,96658af61c93de4b8ed3e4d908009f3f76b8ddc8b0356d891fe518bda682c3e2,100.0,100.0,100.0,100.0,90.0,0.0,0.0,10.0,10.0,4.0,0.0,50.0,1.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,28.5,46.610169491525426,36.15819209039548
sol_opus,current_full,da-12-4,1,da-12-4--rep-001,f7cc404237a9fc22cdd1af5841696b058537a33a726d77cb37368ca002f6162c,86.0,86.0,86.0,86.0,87.5,0.0,0.0,-1.5,-1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,11.0,16.949152542372882,26.271186440677965
sol_opus,current_full,da-12-4,2,da-12-4--rep-002,d22048bbf9e9aeda018a6ef09192a2a3b59b0d996f764b8b241f87065d353eed,100.0,100.0,100.0,100.0,67.0,0.0,0.0,33.0,33.0,7.5,100.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,52.0,86.44067796610169,49.43502824858757
sol_opus,current_full,da-12-4,3,da-12-4--rep-003,e631bcaaf0b93d7fac03c461e42334c064c26d702791dd8c34fe3da9ac47ce25,86.0,86.0,85.0,76.83333333333334,86.0,1.0,8.166666666666664,-9.166666666666664,0.0,3.5,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,old20,28.0,45.76271186440678,60.0,100.0,6.0,8.474576271186441,51.41242937853107
sol_opus,current_full,da-13-1,1,da-13-1--rep-001,2687db1883433f202b5d8c4fa1eeb81260a954db4c9b219b9470ca88df6eb75a,100.0,100.0,91.0,89.5,83.0,9.0,1.5,6.5,17.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,old20,47.0,77.96610169491525,41.0,67.79661016949153,19.0,30.508474576271187,58.75706214689266
sol_opus,current_full,da-13-1,2,da-13-1--rep-002,cff05b668fee971c5af7a3bc1b18b31d9370768654b274ca8f88901252cba0b1,100.0,100.0,100.0,100.0,77.5,0.0,0.0,22.5,22.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,15.0,23.728813559322035,23.5,38.13559322033898,43.5,72.03389830508475,44.632768361581924
sol_opus,current_full,da-13-1,3,da-13-1--rep-003,4872c95f9caa5c573f5e3056e2fc5bf40232784f95f8423cb777b3654cd139a1,100.0,100.0,86.5,83.16666666666666,72.0,13.5,3.3333333333333357,11.166666666666664,28.0,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,old20,51.0,84.7457627118644,50.5,83.89830508474576,31.0,50.847457627118644,73.1638418079096
