arm,task_id,replicate,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_S_minus_H,delta_H_minus_A,delta_W_minus_A,delta_RH_full_trajectory,delta_RH_post_update,delta_RH_final_artifact,delta_RH_final_revision
full,da-10-1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
full,da-10-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-10-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-10-3,1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,0,0,0,0
full,da-10-3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-10-3,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
full,da-12-2,1,0.0,-5.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,0,0,100,0
full,da-12-2,2,-30.0,-30.0,-25.0,-25.0,0.0,-5.0,0.0,-25.0,-30.0,0,0,0,0
full,da-12-2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-12-4,1,-14.0,-14.0,-14.0,-4.666666666666671,8.0,0.0,-9.333333333333329,-12.666666666666671,-22.0,0,0,0,0
full,da-12-4,2,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,-100,0,0,0
full,da-12-4,3,-14.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,-14.0,-14.0,0,0,0,0
full,da-13-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-1,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
full,da-13-3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
