task_id,replicate,arm,static_assignment_id,rtt_assignment_id,static_S,rtt_S,delta_S,static_D,rtt_D,delta_D,static_H,rtt_H,delta_H,static_S_minus_D,rtt_S_minus_D,delta_S_minus_D,static_D_minus_H,rtt_D_minus_H,delta_D_minus_H,static_S_minus_H,rtt_S_minus_H,delta_S_minus_H
da-17-1,1,Full,da-17-1--rep-001--solver-luna--full-static,da-17-1--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,95.0,87.0,-8.0,95.0,85.0,-10.0,95.0,84.66666666666666,-10.333333333333343,0.0,2.0,2.0,0.0,0.3333333333333357,0.3333333333333357,0.0,2.3333333333333357,2.3333333333333357
da-17-1,1,User,da-17-1--rep-001--solver-luna--user-simulator-static,da-17-1--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,80.0,90.0,10.0,82.0,90.0,8.0,77.0,91.66666666666666,14.666666666666657,-2.0,0.0,2.0,5.0,-1.6666666666666643,-6.666666666666664,3.0,-1.6666666666666643,-4.666666666666664
da-17-1,2,Full,da-17-1--rep-002--solver-luna--full-static,da-17-1--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,97.5,87.5,-10.0,92.5,87.5,-5.0,99.16666666666666,87.5,-11.666666666666657,5.0,0.0,-5.0,-6.666666666666664,0.0,6.666666666666664,-1.6666666666666643,0.0,1.6666666666666643
da-17-1,2,User,da-17-1--rep-002--solver-luna--user-simulator-static,da-17-1--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,90.0,85.5,-4.5,90.0,85.5,-4.5,91.66666666666666,82.83333333333334,-8.833333333333314,0.0,0.0,0.0,-1.6666666666666643,2.6666666666666643,4.333333333333329,-1.6666666666666643,2.6666666666666643,4.333333333333329
da-17-1,3,Full,da-17-1--rep-003--solver-luna--full-static,da-17-1--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,92.0,86.0,-6.0,92.0,83.5,-8.5,92.0,86.0,-6.0,0.0,2.5,2.5,0.0,-2.5,-2.5,0.0,0.0,0.0
da-17-1,3,User,da-17-1--rep-003--solver-luna--user-simulator-static,da-17-1--rep-003--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,77.5,90.5,13.0,77.5,90.5,13.0,77.5,87.16666666666666,9.666666666666657,0.0,0.0,0.0,0.0,3.3333333333333357,3.3333333333333357,0.0,3.3333333333333357,3.3333333333333357
da-17-5,1,Full,da-17-5--rep-001--solver-luna--full-static,da-17-5--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,74.0,95.0,21.0,85.0,90.0,5.0,78.66666666666667,91.66666666666666,12.999999999999986,-11.0,5.0,16.0,6.333333333333329,-1.6666666666666643,-7.999999999999993,-4.666666666666671,3.3333333333333357,8.000000000000007
da-17-5,1,User,da-17-5--rep-001--solver-luna--user-simulator-static,da-17-5--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,85.5,90.0,4.5,75.0,90.0,15.0,81.16666666666666,88.66666666666666,7.5,10.5,0.0,-10.5,-6.166666666666664,1.3333333333333357,7.5,4.333333333333336,1.3333333333333357,-3.0
da-17-5,2,Full,da-17-5--rep-002--solver-luna--full-static,da-17-5--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,90.0,90.0,0.0,95.0,86.0,-9.0,90.0,90.0,0.0,-5.0,4.0,9.0,5.0,-4.0,-9.0,0.0,0.0,0.0
da-17-5,2,User,da-17-5--rep-002--solver-luna--user-simulator-static,da-17-5--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,90.0,79.0,-11.0,90.0,76.0,-14.0,85.0,75.33333333333334,-9.666666666666657,0.0,3.0,3.0,5.0,0.6666666666666643,-4.333333333333336,5.0,3.6666666666666643,-1.3333333333333357
da-17-5,3,Full,da-17-5--rep-003--solver-luna--full-static,da-17-5--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,91.0,86.0,-5.0,100.0,86.0,-14.0,92.16666666666666,86.0,-6.166666666666657,-9.0,0.0,9.0,7.833333333333336,0.0,-7.833333333333336,-1.1666666666666643,0.0,1.1666666666666643
da-17-5,3,User,da-17-5--rep-003--solver-luna--user-simulator-static,da-17-5--rep-003--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,100.0,86.0,-14.0,100.0,82.0,-18.0,95.33333333333334,82.0,-13.333333333333343,0.0,4.0,4.0,4.666666666666664,0.0,-4.666666666666664,4.666666666666664,4.0,-0.6666666666666643
da-20-4,1,Full,da-20-4--rep-001--solver-luna--full-static,da-20-4--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,90.0,10.0,-80.0,90.0,10.0,-80.0,88.33333333333334,10.0,-78.33333333333334,0.0,0.0,0.0,1.6666666666666643,0.0,-1.6666666666666643,1.6666666666666643,0.0,-1.6666666666666643
da-20-4,1,User,da-20-4--rep-001--solver-luna--user-simulator-static,da-20-4--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,35.0,5.0,-30.0,27.5,2.5,-25.0,32.5,5.833333333333334,-26.666666666666664,7.5,2.5,-5.0,-5.000000000000002,-3.333333333333334,1.6666666666666679,2.4999999999999982,-0.8333333333333337,-3.333333333333332
da-20-4,2,Full,da-20-4--rep-002--solver-luna--full-static,da-20-4--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,100.0,7.5,-92.5,100.0,7.5,-92.5,98.33333333333334,9.166666666666668,-89.16666666666667,0.0,0.0,0.0,1.6666666666666643,-1.666666666666667,-3.3333333333333313,1.6666666666666643,-1.666666666666667,-3.3333333333333313
da-20-4,2,User,da-20-4--rep-002--solver-luna--user-simulator-static,da-20-4--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,0.0,10.0,10.0,0.0,5.0,5.0,0.8333333333333334,6.666666666666667,5.833333333333334,0.0,5.0,5.0,-0.8333333333333334,-1.666666666666667,-0.8333333333333336,-0.8333333333333334,3.333333333333333,4.166666666666666
da-20-4,3,Full,da-20-4--rep-003--solver-luna--full-static,da-20-4--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,97.5,10.0,-87.5,97.5,5.0,-92.5,97.5,7.5,-90.0,0.0,5.0,5.0,0.0,-2.5,-2.5,0.0,2.5,2.5
da-20-4,3,User,da-20-4--rep-003--solver-luna--user-simulator-static,da-20-4--rep-003--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,17.5,17.5,0.0,25.0,17.5,-7.5,25.833333333333336,17.5,-8.333333333333336,-7.5,0.0,7.5,-0.8333333333333339,0.0,0.8333333333333339,-8.333333333333334,0.0,8.333333333333334
da-26-2,1,Full,da-26-2--rep-001--solver-luna--full-static,da-26-2--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,79.5,76.0,-3.5,82.5,76.0,-6.5,80.33333333333333,76.0,-4.333333333333329,-3.0,0.0,3.0,2.166666666666668,0.0,-2.166666666666668,-0.8333333333333321,0.0,0.8333333333333321
da-26-2,1,User,da-26-2--rep-001--solver-luna--user-simulator-static,da-26-2--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,71.0,64.0,-7.0,71.0,60.0,-11.0,71.0,63.66666666666667,-7.333333333333329,0.0,4.0,4.0,0.0,-3.666666666666668,-3.666666666666668,0.0,0.33333333333333215,0.33333333333333215
da-26-2,2,Full,da-26-2--rep-002--solver-luna--full-static,da-26-2--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,86.0,79.5,-6.5,89.0,82.0,-7.0,83.5,82.0,-1.5,-3.0,-2.5,0.5,5.5,0.0,-5.5,2.5,-2.5,-5.0
da-26-2,2,User,da-26-2--rep-002--solver-luna--user-simulator-static,da-26-2--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,71.0,71.0,0.0,71.0,71.0,0.0,67.33333333333333,72.66666666666666,5.333333333333329,0.0,0.0,0.0,3.666666666666668,-1.6666666666666643,-5.333333333333332,3.666666666666668,-1.6666666666666643,-5.333333333333332
da-26-2,3,Full,da-26-2--rep-003--solver-luna--full-static,da-26-2--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,74.5,77.5,3.0,77.5,66.5,-11.0,77.5,77.5,0.0,-3.0,11.0,14.0,0.0,-11.0,-11.0,-3.0,0.0,3.0
da-26-2,3,User,da-26-2--rep-003--solver-luna--user-simulator-static,da-26-2--rep-003--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,71.0,56.0,-15.0,71.0,39.5,-31.5,71.0,44.333333333333336,-26.666666666666664,0.0,16.5,16.5,0.0,-4.833333333333336,-4.833333333333336,0.0,11.666666666666664,11.666666666666664
da-26-4,1,Full,da-26-4--rep-001--solver-luna--full-static,da-26-4--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,96.5,89.0,-7.5,96.5,89.0,-7.5,95.5,89.0,-6.5,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
da-26-4,1,User,da-26-4--rep-001--solver-luna--user-simulator-static,da-26-4--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,72.5,57.0,-15.5,75.0,57.0,-18.0,77.33333333333334,57.0,-20.333333333333343,-2.5,0.0,2.5,-2.3333333333333357,0.0,2.3333333333333357,-4.833333333333336,0.0,4.833333333333336
da-26-4,2,Full,da-26-4--rep-002--solver-luna--full-static,da-26-4--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,65.5,50.5,-15.0,74.0,48.5,-25.5,69.5,39.83333333333333,-29.66666666666667,-8.5,2.0,10.5,4.5,8.666666666666668,4.166666666666668,-4.0,10.666666666666668,14.666666666666668
da-26-4,2,User,da-26-4--rep-002--solver-luna--user-simulator-static,da-26-4--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,64.5,85.5,21.0,58.5,79.5,21.0,62.5,81.5,19.0,6.0,6.0,0.0,-4.0,-2.0,2.0,2.0,4.0,2.0
da-26-4,3,Full,da-26-4--rep-003--solver-luna--full-static,da-26-4--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,100.0,84.5,-15.5,100.0,75.0,-25.0,96.66666666666666,77.33333333333334,-19.333333333333314,0.0,9.5,9.5,3.3333333333333357,-2.3333333333333357,-5.666666666666671,3.3333333333333357,7.166666666666664,3.8333333333333286
da-26-4,3,User,da-26-4--rep-003--solver-luna--user-simulator-static,da-26-4--rep-003--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,65.5,27.0,-38.5,69.5,23.5,-46.0,64.66666666666667,23.666666666666668,-41.0,-4.0,3.5,7.5,4.833333333333332,-0.16666666666666785,-5.0,0.8333333333333321,3.333333333333332,2.5
