arm,task_id,n,delta_S,delta_D,delta_H,delta_S_minus_D,delta_D_minus_H,delta_S_minus_H
Full,da-17-1,3,-8.0,-7.833333333333333,-9.333333333333334,-0.16666666666666666,1.5,1.3333333333333333
Full,da-17-5,3,5.333333333333333,-6.0,2.2777777777777763,11.333333333333334,-8.277777777777777,3.055555555555557
Full,da-20-4,3,-86.66666666666667,-88.33333333333333,-85.83333333333333,1.6666666666666667,-2.4999999999999987,-0.8333333333333318
Full,da-26-2,3,-2.3333333333333335,-8.166666666666666,-1.9444444444444429,5.833333333333333,-6.222222222222222,-0.3888888888888893
Full,da-26-4,3,-12.666666666666666,-19.333333333333332,-18.499999999999996,6.666666666666667,-0.8333333333333345,5.833333333333332
User,da-17-1,3,6.166666666666667,5.5,5.166666666666667,0.6666666666666666,0.3333333333333333,1.0
User,da-17-5,3,-6.833333333333333,-5.666666666666667,-5.166666666666667,-1.1666666666666667,-0.5,-1.6666666666666667
User,da-20-4,3,-6.666666666666667,-9.166666666666666,-9.722222222222221,2.5,0.5555555555555561,3.055555555555556
User,da-26-2,3,-7.333333333333333,-14.166666666666666,-9.555555555555555,6.833333333333333,-4.611111111111112,2.2222222222222214
User,da-26-4,3,-11.0,-14.333333333333334,-14.111111111111114,3.3333333333333335,-0.22222222222222143,3.111111111111112
