estimand,arm,condition,metric,n,mean,sd,se,minimum,maximum
arm-condition artifact points,Full,RTT,S,15,67.73333333333333,31.954692628037918,8.250666158771185,7.5,95.0
arm-condition artifact points,Full,RTT,D,15,65.16666666666667,31.67562529919872,8.178611284300198,5.0,90.0
arm-condition artifact points,Full,RTT,H,15,66.27777777777777,32.1414079626283,8.29887585086119,7.5,91.66666666666666
arm-condition artifact points,Full,RTT,S_minus_D,15,2.566666666666667,3.76955220278534,0.9732941936031404,-2.5,11.0
arm-condition artifact points,Full,RTT,D_minus_H,15,-1.111111111111111,3.9388513889902304,1.0170070555163409,-11.0,8.666666666666668
arm-condition artifact points,Full,RTT,S_minus_H,15,1.4555555555555557,3.4350357930407216,0.8869224280048734,-2.5,10.666666666666668
arm-condition artifact points,Full,Static,S,15,88.6,10.617034829528844,2.7413066053912876,65.5,100.0
arm-condition artifact points,Full,Static,D,15,91.1,8.172689712870369,2.1101794101111744,74.0,100.0
arm-condition artifact points,Full,Static,H,15,88.94444444444444,9.042814095871194,2.334844559743921,69.5,99.16666666666666
arm-condition artifact points,Full,Static,S_minus_D,15,-2.5,4.288689443508021,1.1073348527841413,-11.0,5.0
arm-condition artifact points,Full,Static,D_minus_H,15,2.1555555555555554,3.5262432608076733,0.9104720949189503,-6.666666666666664,7.833333333333336
arm-condition artifact points,Full,Static,S_minus_H,15,-0.3444444444444445,2.29515247156368,0.592605819958195,-4.666666666666671,3.3333333333333357
arm-condition artifact points,User,RTT,S,15,60.93333333333333,31.210041119272283,8.05839796595935,5.0,90.5
arm-condition artifact points,User,RTT,D,15,57.96666666666667,32.13668723852331,8.29765696513848,2.5,90.5
arm-condition artifact points,User,RTT,H,15,58.7,31.136935143952915,8.039522084298005,5.833333333333334,91.66666666666666
arm-condition artifact points,User,RTT,S_minus_D,15,2.966666666666667,4.315531198335788,1.1142653640795361,0.0,16.5
arm-condition artifact points,User,RTT,D_minus_H,15,-0.7333333333333333,2.278087474106853,0.5881996565613041,-4.833333333333336,3.3333333333333357
arm-condition artifact points,User,RTT,S_minus_H,15,2.2333333333333334,3.3308323951295473,0.8600172263563266,-1.6666666666666643,11.666666666666664
arm-condition artifact points,User,Static,S,15,66.06666666666666,27.78158862748253,7.173175339028347,0.0,100.0
arm-condition artifact points,User,Static,D,15,65.53333333333333,27.40924418269622,7.077036416780999,0.0,100.0
arm-condition artifact points,User,Static,H,15,65.37777777777778,26.096316308393504,6.738039897317937,0.8333333333333334,95.33333333333334
arm-condition artifact points,User,Static,S_minus_D,15,0.5333333333333333,4.477988493998277,1.1562116574509171,-7.5,10.5
arm-condition artifact points,User,Static,D_minus_H,15,0.1555555555555554,3.7498500851868277,0.9682071287135364,-6.166666666666664,5.0
