assignment_id,task_id,replicate,condition_id,feedback_type,rubric_type,initial_weak_score,initial_gpt_score,initial_claude_score,initial_strong_score,initial_weak_minus_strong,final_weak_score,final_gpt_score,final_claude_score,final_strong_score,final_weak_minus_strong,gap_change
da-10-1--rep-001--full-offline-rubric,da-10-1,1,full-offline-rubric,full,offline_elicitation,17.4,19.0,13.8,16.4,1.0,100.0,82.2,93.2,87.7,12.299999999999997,11.299999999999997
da-10-1--rep-001--full-online-rubric,da-10-1,1,full-online-rubric,full,online_elicitation,17.8,17.4,20.0,18.7,-0.8999999999999986,100.0,89.6,98.4,94.0,6.0,6.899999999999999
da-10-1--rep-001--score-only-online-rubric,da-10-1,1,score-only-online-rubric,score_only,online_elicitation,11.0,17.0,19.2,18.1,-7.100000000000001,33.8,31.8,31.0,31.4,2.3999999999999986,9.5
da-10-1--rep-001--score-only-static,da-10-1,1,score-only-static,score_only,fixed,21.0,21.0,21.0,21.0,0.0,45.0,33.0,39.0,36.0,9.0,9.0
da-10-1--rep-001--semi-online-rubric,da-10-1,1,semi-online-rubric,semi,online_elicitation,10.6,17.0,7.6,12.3,-1.700000000000001,85.0,56.2,98.8,77.5,7.5,9.200000000000001
da-10-1--rep-001--semi-static,da-10-1,1,semi-static,semi,fixed,21.0,21.0,21.0,21.0,0.0,81.8,72.6,90.8,81.69999999999999,0.10000000000000853,0.10000000000000853
da-10-1--rep-002--full-online-rubric,da-10-1,2,full-online-rubric,full,online_elicitation,29.0,23.0,16.6,19.8,9.2,91.6,72.4,75.4,73.9,17.69999999999999,8.49999999999999
da-10-1--rep-002--full-static,da-10-1,2,full-static,full,fixed,31.2,27.0,18.8,22.9,8.3,88.0,85.0,81.8,83.4,4.599999999999994,-3.7000000000000064
da-10-1--rep-002--score-only-static,da-10-1,2,score-only-static,score_only,fixed,31.2,27.0,18.8,22.9,8.3,46.6,37.0,35.2,36.1,10.5,2.1999999999999993
da-10-1--rep-002--semi-online-rubric,da-10-1,2,semi-online-rubric,semi,online_elicitation,36.0,25.4,18.4,21.9,14.100000000000001,56.6,44.0,46.0,45.0,11.600000000000001,-2.5
da-10-1--rep-002--semi-static,da-10-1,2,semi-static,semi,fixed,31.2,27.0,18.8,22.9,8.3,85.4,54.6,56.0,55.3,30.10000000000001,21.800000000000008
da-10-1--rep-002--user-simulator-offline-rubric,da-10-1,2,user-simulator-offline-rubric,user_simulator,offline_elicitation,33.4,25.0,20.0,22.5,10.899999999999999,31.8,29.4,21.4,25.4,6.400000000000002,-4.4999999999999964
da-10-1--rep-002--user-simulator-online-rubric,da-10-1,2,user-simulator-online-rubric,user_simulator,online_elicitation,26.6,21.0,16.4,18.7,7.900000000000002,33.0,31.0,16.6,23.8,9.2,1.2999999999999972
da-10-1--rep-002--user-simulator-static,da-10-1,2,user-simulator-static,user_simulator,fixed,31.2,27.0,18.8,22.9,8.3,27.6,27.0,17.2,22.1,5.5,-2.8000000000000007
da-10-1--rep-003--full-offline-rubric,da-10-1,3,full-offline-rubric,full,offline_elicitation,50.8,34.6,35.8,35.2,15.599999999999994,100.0,97.0,78.0,87.5,12.5,-3.0999999999999943
da-10-1--rep-003--full-online-rubric,da-10-1,3,full-online-rubric,full,online_elicitation,50.8,31.0,39.0,35.0,15.799999999999997,86.0,82.6,90.4,86.5,-0.5,-16.299999999999997
da-10-1--rep-003--full-static,da-10-1,3,full-static,full,fixed,43.2,35.8,34.4,35.099999999999994,8.100000000000009,80.0,72.0,84.6,78.3,1.7000000000000028,-6.400000000000006
da-10-1--rep-003--score-only-offline-rubric,da-10-1,3,score-only-offline-rubric,score_only,offline_elicitation,49.2,33.8,34.8,34.3,14.900000000000006,44.2,31.8,24.8,28.3,15.900000000000002,0.9999999999999964
da-10-1--rep-003--score-only-online-rubric,da-10-1,3,score-only-online-rubric,score_only,online_elicitation,46.8,28.2,32.8,30.5,16.299999999999997,52.4,45.0,31.4,38.2,14.199999999999996,-2.1000000000000014
da-10-1--rep-003--score-only-static,da-10-1,3,score-only-static,score_only,fixed,43.2,35.8,34.4,35.099999999999994,8.100000000000009,40.6,30.6,34.0,32.3,8.300000000000004,0.19999999999999574
da-10-1--rep-003--semi-offline-rubric,da-10-1,3,semi-offline-rubric,semi,offline_elicitation,48.4,31.4,33.6,32.5,15.899999999999999,73.4,52.4,93.2,72.8,0.6000000000000085,-15.29999999999999
da-10-1--rep-003--semi-online-rubric,da-10-1,3,semi-online-rubric,semi,online_elicitation,49.2,31.8,28.6,30.200000000000003,19.0,66.6,48.8,65.4,57.1,9.499999999999993,-9.500000000000007
da-10-1--rep-003--semi-static,da-10-1,3,semi-static,semi,fixed,43.2,35.8,34.4,35.099999999999994,8.100000000000009,70.2,60.4,60.8,60.599999999999994,9.600000000000009,1.5
da-10-1--rep-003--user-simulator-offline-rubric,da-10-1,3,user-simulator-offline-rubric,user_simulator,offline_elicitation,55.6,29.0,32.6,30.8,24.8,47.0,38.6,44.2,41.400000000000006,5.599999999999994,-19.200000000000006
da-10-3--rep-001--full-offline-rubric,da-10-3,1,full-offline-rubric,full,offline_elicitation,79.0,56.0,54.0,55.0,24.0,100.0,100.0,100.0,100.0,0.0,-24.0
da-10-3--rep-001--full-online-rubric,da-10-3,1,full-online-rubric,full,online_elicitation,74.6,56.0,52.8,54.4,20.199999999999996,100.0,97.2,99.2,98.2,1.7999999999999972,-18.4
da-10-3--rep-001--full-static,da-10-3,1,full-static,full,fixed,65.0,58.0,58.0,58.0,7.0,100.0,86.0,100.0,93.0,7.0,0.0
da-10-3--rep-001--score-only-offline-rubric,da-10-3,1,score-only-offline-rubric,score_only,offline_elicitation,68.6,56.0,56.0,56.0,12.599999999999994,67.2,63.6,60.4,62.0,5.200000000000003,-7.3999999999999915
da-10-3--rep-001--score-only-online-rubric,da-10-3,1,score-only-online-rubric,score_only,online_elicitation,72.2,56.0,54.8,55.4,16.800000000000004,69.0,53.8,61.4,57.599999999999994,11.400000000000006,-5.399999999999999
da-10-3--rep-001--semi-offline-rubric,da-10-3,1,semi-offline-rubric,semi,offline_elicitation,79.0,56.0,56.0,56.0,23.0,100.0,89.0,90.2,89.6,10.400000000000006,-12.599999999999994
da-10-3--rep-001--semi-online-rubric,da-10-3,1,semi-online-rubric,semi,online_elicitation,79.0,56.0,54.0,55.0,24.0,86.2,89.2,86.8,88.0,-1.7999999999999972,-25.799999999999997
da-10-3--rep-001--semi-static,da-10-3,1,semi-static,semi,fixed,65.0,58.0,58.0,58.0,7.0,97.8,100.0,100.0,100.0,-2.200000000000003,-9.200000000000003
da-10-3--rep-001--user-simulator-offline-rubric,da-10-3,1,user-simulator-offline-rubric,user_simulator,offline_elicitation,78.6,56.0,57.6,56.8,21.799999999999997,75.6,51.6,48.4,50.0,25.599999999999994,3.799999999999997
da-10-3--rep-001--user-simulator-static,da-10-3,1,user-simulator-static,user_simulator,fixed,65.0,58.0,58.0,58.0,7.0,62.2,60.2,59.4,59.8,2.4000000000000057,-4.599999999999994
da-10-3--rep-002--full-offline-rubric,da-10-3,2,full-offline-rubric,full,offline_elicitation,44.6,33.0,33.0,33.0,11.600000000000001,100.0,100.0,95.2,97.6,2.4000000000000057,-9.199999999999996
da-10-3--rep-002--full-static,da-10-3,2,full-static,full,fixed,48.2,35.0,32.2,33.6,14.600000000000001,100.0,100.0,90.0,95.0,5.0,-9.600000000000001
da-10-3--rep-002--score-only-online-rubric,da-10-3,2,score-only-online-rubric,score_only,online_elicitation,53.8,32.6,29.2,30.9,22.9,79.0,72.6,35.4,54.0,25.0,2.1000000000000014
da-10-3--rep-002--score-only-static,da-10-3,2,score-only-static,score_only,fixed,48.2,35.0,32.2,33.6,14.600000000000001,83.4,65.2,63.8,64.5,18.900000000000006,4.300000000000004
da-10-3--rep-002--semi-online-rubric,da-10-3,2,semi-online-rubric,semi,online_elicitation,45.6,33.0,33.6,33.3,12.300000000000004,76.0,65.0,96.0,80.5,-4.5,-16.800000000000004
da-10-3--rep-002--user-simulator-static,da-10-3,2,user-simulator-static,user_simulator,fixed,48.2,35.0,32.2,33.6,14.600000000000001,76.0,53.0,62.4,57.7,18.299999999999997,3.6999999999999957
da-10-3--rep-003--full-online-rubric,da-10-3,3,full-online-rubric,full,online_elicitation,56.4,45.6,48.0,46.8,9.600000000000001,99.6,97.2,93.0,95.1,4.5,-5.100000000000001
da-10-3--rep-003--full-static,da-10-3,3,full-static,full,fixed,53.8,56.2,47.6,51.900000000000006,1.8999999999999915,100.0,100.0,93.0,96.5,3.5,1.6000000000000085
da-10-3--rep-003--score-only-offline-rubric,da-10-3,3,score-only-offline-rubric,score_only,offline_elicitation,58.0,58.0,56.6,57.3,0.7000000000000028,87.0,93.0,100.0,96.5,-9.5,-10.200000000000003
da-10-3--rep-003--score-only-online-rubric,da-10-3,3,score-only-online-rubric,score_only,online_elicitation,55.0,50.2,55.6,52.900000000000006,2.0999999999999943,75.6,78.0,88.8,83.4,-7.800000000000011,-9.900000000000006
da-10-3--rep-003--score-only-static,da-10-3,3,score-only-static,score_only,fixed,53.8,56.2,47.6,51.900000000000006,1.8999999999999915,76.2,58.0,59.2,58.6,17.6,15.70000000000001
da-10-3--rep-003--semi-offline-rubric,da-10-3,3,semi-offline-rubric,semi,offline_elicitation,50.6,56.0,53.2,54.6,-4.0,73.8,59.4,83.6,71.5,2.299999999999997,6.299999999999997
da-10-3--rep-003--user-simulator-static,da-10-3,3,user-simulator-static,user_simulator,fixed,53.8,56.2,47.6,51.900000000000006,1.8999999999999915,65.0,53.0,46.8,49.9,15.100000000000001,13.20000000000001
da-12-2--rep-001--full-offline-rubric,da-12-2,1,full-offline-rubric,full,offline_elicitation,63.0,40.0,54.2,47.1,15.899999999999999,70.0,60.0,56.8,58.4,11.600000000000001,-4.299999999999997
da-12-2--rep-001--full-static,da-12-2,1,full-static,full,fixed,63.0,43.0,54.4,48.7,14.299999999999997,96.0,80.0,38.0,59.0,37.0,22.700000000000003
da-12-2--rep-001--score-only-offline-rubric,da-12-2,1,score-only-offline-rubric,score_only,offline_elicitation,59.8,40.2,59.4,49.8,10.0,66.8,50.2,59.4,54.8,12.0,2.0
da-12-2--rep-001--score-only-static,da-12-2,1,score-only-static,score_only,fixed,63.0,43.0,54.4,48.7,14.299999999999997,65.2,49.8,48.0,48.9,16.300000000000004,2.000000000000007
da-12-2--rep-001--semi-online-rubric,da-12-2,1,semi-online-rubric,semi,online_elicitation,63.0,44.0,62.8,53.4,9.600000000000001,63.6,67.0,68.4,67.7,-4.100000000000001,-13.700000000000003
da-12-2--rep-001--user-simulator-offline-rubric,da-12-2,1,user-simulator-offline-rubric,user_simulator,offline_elicitation,63.0,43.0,54.4,48.7,14.299999999999997,62.4,45.4,44.0,44.7,17.699999999999996,3.3999999999999986
da-12-2--rep-001--user-simulator-online-rubric,da-12-2,1,user-simulator-online-rubric,user_simulator,online_elicitation,58.4,36.0,64.6,50.3,8.100000000000001,61.0,36.0,50.2,43.1,17.9,9.799999999999997
da-12-2--rep-001--user-simulator-static,da-12-2,1,user-simulator-static,user_simulator,fixed,63.0,43.0,54.4,48.7,14.299999999999997,65.0,48.0,48.0,48.0,17.0,2.700000000000003
da-12-2--rep-002--full-offline-rubric,da-12-2,2,full-offline-rubric,full,offline_elicitation,60.4,43.0,56.0,49.5,10.899999999999999,83.6,89.0,87.2,88.1,-4.5,-15.399999999999999
da-12-2--rep-002--full-online-rubric,da-12-2,2,full-online-rubric,full,online_elicitation,51.2,43.0,52.8,47.9,3.3000000000000043,75.0,85.0,84.0,84.5,-9.5,-12.800000000000004
da-12-2--rep-002--full-static,da-12-2,2,full-static,full,fixed,54.0,47.0,60.0,53.5,0.5,86.0,62.4,68.8,65.6,20.400000000000006,19.900000000000006
da-12-2--rep-002--score-only-offline-rubric,da-12-2,2,score-only-offline-rubric,score_only,offline_elicitation,55.2,47.0,52.8,49.9,5.300000000000004,66.4,55.6,80.6,68.1,-1.6999999999999886,-6.999999999999993
da-12-2--rep-002--semi-offline-rubric,da-12-2,2,semi-offline-rubric,semi,offline_elicitation,54.0,47.0,60.0,53.5,0.5,75.0,70.0,61.6,65.8,9.200000000000003,8.700000000000003
da-12-2--rep-002--semi-static,da-12-2,2,semi-static,semi,fixed,54.0,47.0,60.0,53.5,0.5,75.0,65.0,65.0,65.0,10.0,9.5
da-12-2--rep-002--user-simulator-offline-rubric,da-12-2,2,user-simulator-offline-rubric,user_simulator,offline_elicitation,58.0,47.0,60.0,53.5,4.5,62.0,47.0,55.2,51.1,10.899999999999999,6.399999999999999
da-12-2--rep-002--user-simulator-online-rubric,da-12-2,2,user-simulator-online-rubric,user_simulator,online_elicitation,52.0,47.0,56.8,51.9,0.10000000000000142,52.4,47.0,56.8,51.9,0.5,0.3999999999999986
da-12-2--rep-002--user-simulator-static,da-12-2,2,user-simulator-static,user_simulator,fixed,54.0,47.0,60.0,53.5,0.5,58.0,47.0,58.4,52.7,5.299999999999997,4.799999999999997
da-12-2--rep-003--full-offline-rubric,da-12-2,3,full-offline-rubric,full,offline_elicitation,52.0,47.0,53.6,50.3,1.7000000000000028,96.0,75.0,83.0,79.0,17.0,15.299999999999997
da-12-2--rep-003--full-static,da-12-2,3,full-static,full,fixed,52.0,47.0,53.6,50.3,1.7000000000000028,100.0,80.0,50.0,65.0,35.0,33.3
da-12-2--rep-003--score-only-offline-rubric,da-12-2,3,score-only-offline-rubric,score_only,offline_elicitation,52.0,46.6,49.2,47.900000000000006,4.099999999999994,72.8,52.0,63.0,57.5,15.299999999999997,11.200000000000003
da-12-2--rep-003--score-only-static,da-12-2,3,score-only-static,score_only,fixed,52.0,47.0,53.6,50.3,1.7000000000000028,58.0,52.0,52.0,52.0,6.0,4.299999999999997
da-12-2--rep-003--semi-offline-rubric,da-12-2,3,semi-offline-rubric,semi,offline_elicitation,52.0,47.0,53.6,50.3,1.7000000000000028,66.4,58.2,68.0,63.1,3.3000000000000043,1.6000000000000014
da-12-2--rep-003--semi-online-rubric,da-12-2,3,semi-online-rubric,semi,online_elicitation,50.0,45.0,48.0,46.5,3.5,75.0,60.0,73.4,66.7,8.299999999999997,4.799999999999997
da-12-2--rep-003--semi-static,da-12-2,3,semi-static,semi,fixed,52.0,47.0,53.6,50.3,1.7000000000000028,75.0,64.0,71.0,67.5,7.5,5.799999999999997
da-12-2--rep-003--user-simulator-offline-rubric,da-12-2,3,user-simulator-offline-rubric,user_simulator,offline_elicitation,52.0,47.0,53.6,50.3,1.7000000000000028,52.0,47.0,51.2,49.1,2.8999999999999986,1.1999999999999957
da-12-2--rep-003--user-simulator-online-rubric,da-12-2,3,user-simulator-online-rubric,user_simulator,online_elicitation,52.0,47.0,43.6,45.3,6.700000000000003,54.8,47.0,53.6,50.3,4.5,-2.200000000000003
da-12-2--rep-003--user-simulator-static,da-12-2,3,user-simulator-static,user_simulator,fixed,52.0,47.0,53.6,50.3,1.7000000000000028,50.6,47.0,56.8,51.9,-1.2999999999999972,-3.0
da-12-4--rep-001--full-offline-rubric,da-12-4,1,full-offline-rubric,full,offline_elicitation,64.8,53.2,51.8,52.5,12.299999999999997,100.0,98.8,98.0,98.4,1.5999999999999943,-10.700000000000003
da-12-4--rep-001--full-online-rubric,da-12-4,1,full-online-rubric,full,online_elicitation,58.4,47.0,46.6,46.8,11.600000000000001,96.0,96.0,85.2,90.6,5.400000000000006,-6.199999999999996
da-12-4--rep-001--full-static,da-12-4,1,full-static,full,fixed,66.0,57.0,53.0,55.0,11.0,100.0,100.0,100.0,100.0,0.0,-11.0
da-12-4--rep-001--score-only-offline-rubric,da-12-4,1,score-only-offline-rubric,score_only,offline_elicitation,66.0,45.8,55.0,50.4,15.600000000000001,66.0,53.0,53.6,53.3,12.700000000000003,-2.8999999999999986
da-12-4--rep-001--score-only-online-rubric,da-12-4,1,score-only-online-rubric,score_only,online_elicitation,62.8,43.4,46.4,44.9,17.9,77.0,79.0,79.0,79.0,-2.0,-19.9
da-12-4--rep-001--semi-offline-rubric,da-12-4,1,semi-offline-rubric,semi,offline_elicitation,65.6,53.0,52.4,52.7,12.899999999999991,70.4,73.0,66.6,69.8,0.6000000000000085,-12.299999999999983
da-12-4--rep-001--semi-online-rubric,da-12-4,1,semi-online-rubric,semi,online_elicitation,64.0,45.4,47.8,46.599999999999994,17.400000000000006,83.0,79.0,80.0,79.5,3.5,-13.900000000000006
da-12-4--rep-001--user-simulator-static,da-12-4,1,user-simulator-static,user_simulator,fixed,66.0,57.0,53.0,55.0,11.0,71.6,57.0,57.0,57.0,14.599999999999994,3.5999999999999943
da-12-4--rep-002--full-offline-rubric,da-12-4,2,full-offline-rubric,full,offline_elicitation,73.0,55.0,55.0,55.0,18.0,100.0,98.0,98.0,98.0,2.0,-16.0
