rubric_type,feedback_type,n,initial_weak_score,initial_strong_score,initial_weak_minus_strong,final_weak_score,final_strong_score,final_weak_minus_strong,gap_change
fixed,full,49,52.0734693877551,41.59183673469388,10.481632653061226,94.43265306122449,86.95102040816327,7.481632653061225,-3.0
fixed,semi,40,52.96,42.760000000000005,10.2,76.405,68.09,8.315000000000001,-1.8849999999999993
fixed,score_only,46,51.13913043478261,40.61304347826087,10.52608695652174,58.85217391304347,47.77173913043478,11.080434782608695,0.5543478260869572
fixed,user_simulator,44,53.6,43.45681818181818,10.143181818181818,55.309090909090905,47.32727272727273,7.9818181818181815,-2.1613636363636357
offline_elicitation,full,39,51.33846153846154,40.202564102564104,11.135897435897435,93.37948717948719,88.24102564102564,5.138461538461538,-5.997435897435897
offline_elicitation,semi,32,56.0875,47.171875,8.915625,79.45625,73.1625,6.293750000000002,-2.6218749999999975
offline_elicitation,score_only,40,48.085,36.88,11.205,55.010000000000005,45.2325,9.7775,-1.4274999999999998
offline_elicitation,user_simulator,40,53.510000000000005,42.177499999999995,11.3325,53.375,44.095,9.28,-2.0524999999999998
online_elicitation,full,38,52.16842105263158,40.123684210526314,12.044736842105262,94.2421052631579,90.31842105263158,3.9236842105263166,-8.121052631578946
online_elicitation,semi,46,49.79130434782609,37.654347826086955,12.13695652173913,76.69565217391305,66.6086956521739,10.086956521739129,-2.0500000000000007
online_elicitation,score_only,36,52.47222222222222,41.125,11.347222222222221,60.900000000000006,50.705555555555556,10.194444444444445,-1.1527777777777781
online_elicitation,user_simulator,36,53.61666666666667,43.46666666666667,10.149999999999999,55.01111111111111,47.75555555555556,7.255555555555556,-2.894444444444444
