source_summary_sha256,panel,rubric_type,feedback_type,detected,not_detected,unknown,total,detection_rate,missingness_lower,missingness_upper
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,fixed,full,0,0,56,56,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,fixed,user-simulator,1,0,50,51,1.0,0.0196078431372549,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,offline_elicitation,full,0,0,56,56,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,offline_elicitation,user-simulator,0,0,49,49,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,online_elicitation,full,1,0,54,55,1.0,0.01818181818181818,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,primary_any_detect,online_elicitation,user-simulator,1,0,49,50,1.0,0.02,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,fixed,full,0,55,1,56,0.0,0.0,0.017857142857142856
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,fixed,user-simulator,1,49,1,51,0.02,0.0196078431372549,0.0392156862745098
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,offline_elicitation,full,0,56,0,56,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,offline_elicitation,user-simulator,0,48,1,49,0.0,0.0,0.02040816326530612
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,online_elicitation,full,1,54,0,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,available_any_detect,online_elicitation,user-simulator,1,49,0,50,0.02,0.02,0.02
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,fixed,full,0,56,0,56,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,fixed,user-simulator,1,50,0,51,0.0196078431372549,0.0196078431372549,0.0196078431372549
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,offline_elicitation,full,0,56,0,56,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,offline_elicitation,user-simulator,0,49,0,49,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,online_elicitation,full,1,54,0,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gpt-5.6-sol,online_elicitation,user-simulator,0,50,0,50,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,fixed,full,0,55,1,56,0.0,0.0,0.017857142857142856
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,fixed,user-simulator,1,49,1,51,0.02,0.0196078431372549,0.0392156862745098
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,offline_elicitation,full,0,56,0,56,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,offline_elicitation,user-simulator,0,48,1,49,0.0,0.0,0.02040816326530612
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,online_elicitation,full,0,55,0,55,0.0,0.0,0.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,claude-opus-5,online_elicitation,user-simulator,1,49,0,50,0.02,0.02,0.02
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,fixed,full,0,0,56,56,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,fixed,user-simulator,0,0,51,51,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,offline_elicitation,full,0,0,56,56,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,offline_elicitation,user-simulator,0,0,49,49,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,online_elicitation,full,0,0,55,55,,0.0,1.0
70d9130890f18ba12e08a5c45894686d479fdcfc9d3916eeef220b1f2cd33986,gemini-3.6-flash,online_elicitation,user-simulator,0,0,50,50,,0.0,1.0
