family,split,threshold,n,positive,predicted_positive,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,mcc
gpt-5.6-sol,calibration,1,187,19,36,16,20,148,3,0.4444444444444444,0.8421052631578947,0.8809523809523809,0.5818181818181818,0.8615288220551378,0.5540700039526416
gpt-5.6-sol,calibration,2,187,19,16,11,5,163,8,0.6875,0.5789473684210527,0.9702380952380952,0.6285714285714286,0.774592731829574,0.5931880975516384
gpt-5.6-sol,calibration,3,187,19,9,7,2,166,12,0.7777777777777778,0.3684210526315789,0.9880952380952381,0.5,0.6782581453634086,0.5032451114781596
gpt-5.6-sol,calibration,4,187,19,7,6,1,167,13,0.8571428571428571,0.3157894736842105,0.9940476190476191,0.46153846153846156,0.6549185463659148,0.4931506134529605
gpt-5.6-sol,calibration,5,187,19,6,5,1,167,14,0.8333333333333334,0.2631578947368421,0.9940476190476191,0.4,0.6286027568922306,0.44095757054530527
gpt-5.6-sol,calibration,6,187,19,5,5,0,168,14,1.0,0.2631578947368421,1.0,0.4166666666666667,0.631578947368421,0.49286405809014416
gpt-5.6-sol,calibration,7,187,19,3,3,0,168,16,1.0,0.15789473684210525,1.0,0.2727272727272727,0.5789473684210527,0.37969034715857664
gpt-5.6-sol,calibration,8,187,19,3,3,0,168,16,1.0,0.15789473684210525,1.0,0.2727272727272727,0.5789473684210527,0.37969034715857664
gpt-5.6-sol,calibration,9,187,19,2,2,0,168,17,1.0,0.10526315789473684,1.0,0.19047619047619047,0.5526315789473684,0.3091768541939621
gpt-5.6-sol,calibration,10,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gpt-5.6-sol,validation,1,129,10,21,7,14,105,3,0.3333333333333333,0.7,0.8823529411764706,0.45161290322580644,0.7911764705882353,0.42183074386605374
gpt-5.6-sol,validation,2,129,10,5,5,0,119,5,1.0,0.5,1.0,0.6666666666666666,0.75,0.6927039119836262
gpt-5.6-sol,validation,3,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,4,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,5,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,6,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,7,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,8,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
gpt-5.6-sol,validation,9,129,10,1,1,0,119,9,1.0,0.1,1.0,0.18181818181818182,0.55,0.3049077729412617
gpt-5.6-sol,validation,10,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
claude-opus-5,calibration,1,187,19,129,19,110,58,0,0.14728682170542637,1.0,0.34523809523809523,0.25675675675675674,0.6726190476190477,0.22549727665595948
claude-opus-5,calibration,2,187,19,30,12,18,150,7,0.4,0.631578947368421,0.8928571428571429,0.4897959183673469,0.762218045112782,0.43173132299167627
claude-opus-5,calibration,3,187,19,14,10,4,164,9,0.7142857142857143,0.5263157894736842,0.9761904761904762,0.6060606060606061,0.7512531328320802,0.576880492343479
claude-opus-5,calibration,4,187,19,9,7,2,166,12,0.7777777777777778,0.3684210526315789,0.9880952380952381,0.5,0.6782581453634086,0.5032451114781596
claude-opus-5,calibration,5,187,19,6,5,1,167,14,0.8333333333333334,0.2631578947368421,0.9940476190476191,0.4,0.6286027568922306,0.44095757054530527
claude-opus-5,calibration,6,187,19,5,5,0,168,14,1.0,0.2631578947368421,1.0,0.4166666666666667,0.631578947368421,0.49286405809014416
claude-opus-5,calibration,7,187,19,2,2,0,168,17,1.0,0.10526315789473684,1.0,0.19047619047619047,0.5526315789473684,0.3091768541939621
claude-opus-5,calibration,8,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
claude-opus-5,calibration,9,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
claude-opus-5,calibration,10,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
claude-opus-5,validation,1,129,10,94,10,84,35,0,0.10638297872340426,1.0,0.29411764705882354,0.19230769230769232,0.6470588235294118,0.17688728441930626
claude-opus-5,validation,2,129,10,22,6,16,103,4,0.2727272727272727,0.6,0.865546218487395,0.375,0.7327731092436975,0.3310038572943863
claude-opus-5,validation,3,129,10,6,4,2,117,6,0.6666666666666666,0.4,0.9831932773109243,0.5,0.6915966386554622,0.48659000183231543
claude-opus-5,validation,4,129,10,3,3,0,119,7,1.0,0.3,1.0,0.46153846153846156,0.65,0.532290647422377
claude-opus-5,validation,5,129,10,3,3,0,119,7,1.0,0.3,1.0,0.46153846153846156,0.65,0.532290647422377
claude-opus-5,validation,6,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
claude-opus-5,validation,7,129,10,1,1,0,119,9,1.0,0.1,1.0,0.18181818181818182,0.55,0.3049077729412617
claude-opus-5,validation,8,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
claude-opus-5,validation,9,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
claude-opus-5,validation,10,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,1,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,2,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,3,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,4,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,5,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,6,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,7,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,8,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,9,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,calibration,10,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,1,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,2,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,3,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,4,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,5,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,6,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,7,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,8,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,9,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
gemini-3.6-flash,validation,10,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
panel_max_active,calibration,1,187,19,130,19,111,57,0,0.14615384615384616,1.0,0.3392857142857143,0.2550335570469799,0.6696428571428572,0.22268343469578533
panel_max_active,calibration,2,187,19,32,13,19,149,6,0.40625,0.6842105263157895,0.8869047619047619,0.5098039215686274,0.7855576441102756,0.4581570661501573
panel_max_active,calibration,3,187,19,15,11,4,164,8,0.7333333333333333,0.5789473684210527,0.9761904761904762,0.6470588235294118,0.7775689223057645,0.6174793285469579
panel_max_active,calibration,4,187,19,11,9,2,166,10,0.8181818181818182,0.47368421052631576,0.9880952380952381,0.6,0.7308897243107769,0.5929435725265105
panel_max_active,calibration,5,187,19,8,7,1,167,12,0.875,0.3684210526315789,0.9940476190476191,0.5185185185185185,0.681234335839599,0.541165882114041
panel_max_active,calibration,6,187,19,7,7,0,168,12,1.0,0.3684210526315789,1.0,0.5384615384615384,0.6842105263157895,0.5863954716083737
panel_max_active,calibration,7,187,19,3,3,0,168,16,1.0,0.15789473684210525,1.0,0.2727272727272727,0.5789473684210527,0.37969034715857664
panel_max_active,calibration,8,187,19,3,3,0,168,16,1.0,0.15789473684210525,1.0,0.2727272727272727,0.5789473684210527,0.37969034715857664
panel_max_active,calibration,9,187,19,2,2,0,168,17,1.0,0.10526315789473684,1.0,0.19047619047619047,0.5526315789473684,0.3091768541939621
panel_max_active,calibration,10,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
panel_max_active,validation,1,129,10,94,10,84,35,0,0.10638297872340426,1.0,0.29411764705882354,0.19230769230769232,0.6470588235294118,0.17688728441930626
panel_max_active,validation,2,129,10,23,7,16,103,3,0.30434782608695654,0.7,0.865546218487395,0.42424242424242425,0.7827731092436975,0.39511610584334267
panel_max_active,validation,3,129,10,6,4,2,117,6,0.6666666666666666,0.4,0.9831932773109243,0.5,0.6915966386554622,0.48659000183231543
panel_max_active,validation,4,129,10,3,3,0,119,7,1.0,0.3,1.0,0.46153846153846156,0.65,0.532290647422377
panel_max_active,validation,5,129,10,3,3,0,119,7,1.0,0.3,1.0,0.46153846153846156,0.65,0.532290647422377
panel_max_active,validation,6,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_max_active,validation,7,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_max_active,validation,8,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_max_active,validation,9,129,10,1,1,0,119,9,1.0,0.1,1.0,0.18181818181818182,0.55,0.3049077729412617
panel_max_active,validation,10,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
panel_min_active,calibration,1,187,19,35,16,19,149,3,0.45714285714285713,0.8421052631578947,0.8869047619047619,0.5925925925925926,0.8645050125313283,0.5646887372571842
panel_min_active,calibration,2,187,19,14,10,4,164,9,0.7142857142857143,0.5263157894736842,0.9761904761904762,0.6060606060606061,0.7512531328320802,0.576880492343479
panel_min_active,calibration,3,187,19,8,6,2,166,13,0.75,0.3157894736842105,0.9880952380952381,0.4444444444444444,0.6519423558897244,0.45370000488385465
