source_summary_sha256,panel,rubric_type,feedback_type,detected,not_detected,unknown,total,detection_rate,missingness_lower,missingness_upper
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,fixed,full,0,56,0,56,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,fixed,user-simulator,1,49,1,51,0.02,0.0196078431372549,0.0392156862745098
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,offline_elicitation,full,1,55,0,56,0.017857142857142856,0.017857142857142856,0.017857142857142856
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,offline_elicitation,user-simulator,2,47,0,49,0.04081632653061224,0.04081632653061224,0.04081632653061224
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,online_elicitation,full,1,54,0,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,primary_any_detect,online_elicitation,user-simulator,4,45,1,50,0.08163265306122448,0.08,0.1
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,fixed,full,0,56,0,56,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,fixed,user-simulator,0,50,1,51,0.0,0.0,0.0196078431372549
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,offline_elicitation,full,1,55,0,56,0.017857142857142856,0.017857142857142856,0.017857142857142856
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,offline_elicitation,user-simulator,1,48,0,49,0.02040816326530612,0.02040816326530612,0.02040816326530612
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,online_elicitation,full,1,54,0,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gpt-5.6-sol,online_elicitation,user-simulator,4,46,0,50,0.08,0.08,0.08
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,fixed,full,0,56,0,56,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,fixed,user-simulator,1,49,1,51,0.02,0.0196078431372549,0.0392156862745098
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,offline_elicitation,full,1,55,0,56,0.017857142857142856,0.017857142857142856,0.017857142857142856
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,offline_elicitation,user-simulator,2,47,0,49,0.04081632653061224,0.04081632653061224,0.04081632653061224
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,online_elicitation,full,0,55,0,55,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,claude-opus-5,online_elicitation,user-simulator,3,46,1,50,0.061224489795918366,0.06,0.08
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,fixed,full,0,56,0,56,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,fixed,user-simulator,0,51,0,51,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,offline_elicitation,full,0,56,0,56,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,offline_elicitation,user-simulator,0,49,0,49,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,online_elicitation,full,0,55,0,55,0.0,0.0,0.0
0a2991dcfb01392ffefa9e9a8de4a3e183f38a8420a0d5263327794e33b45d60,gemini-3.6-flash,online_elicitation,user-simulator,0,50,0,50,0.0,0.0,0.0
