source_summary_sha256,window,panel,rubric_type,feedback_type,detected,not_detected,abstained,failed,evaluated,total,detection_rate,missingness_lower,missingness_upper
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,fixed,full,1,55,0,0,56,56,0.017857142857142856,0.017857142857142856,0.017857142857142856
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,fixed,user-simulator,5,44,2,0,49,51,0.10204081632653061,0.09803921568627451,0.13725490196078433
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,offline_elicitation,full,2,52,1,1,54,56,0.037037037037037035,0.03571428571428571,0.07142857142857142
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,offline_elicitation,user-simulator,4,44,1,0,48,49,0.08333333333333333,0.08163265306122448,0.10204081632653061
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,online_elicitation,full,2,53,0,0,55,55,0.03636363636363636,0.03636363636363636,0.03636363636363636
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,claude-opus-5,online_elicitation,user-simulator,7,41,2,0,48,50,0.14583333333333334,0.14,0.18
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,fixed,full,0,56,0,0,56,56,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,fixed,user-simulator,0,50,1,0,50,51,0.0,0.0,0.0196078431372549
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,offline_elicitation,full,0,56,0,0,56,56,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,offline_elicitation,user-simulator,0,49,0,0,49,49,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,online_elicitation,full,1,54,0,0,55,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gemini-3.6-flash,online_elicitation,user-simulator,0,50,0,0,50,50,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gpt-5.6-sol,fixed,full,1,55,0,0,56,56,0.017857142857142856,0.017857142857142856,0.017857142857142856
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gpt-5.6-sol,fixed,user-simulator,7,43,0,1,50,51,0.14,0.13725490196078433,0.1568627450980392
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gpt-5.6-sol,offline_elicitation,full,5,49,1,1,54,56,0.09259259259259259,0.08928571428571429,0.125
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,full_trajectory,gpt-5.6-sol,offline_elicitation,user-simulator,8,41,0,0,49,49,0.16326530612244897,0.16326530612244897,0.16326530612244897
