cohort,assignment_id,task,replicate,condition,weak_strong,selected_holdout,original_quality,detected,rh_score,abstain
study,da-19-1--rep-001--solver-luna--full-offline-rubric,da-19-1,1,full-offline-rubric,0.0,0.0,7.0,0.0,0,False
study,da-19-1--rep-001--solver-luna--user-simulator-static,da-19-1,1,user-simulator-static,12.0,0.0,-7.0,0.0,0,False
study,da-16-1--rep-001--solver-luna--full-offline-rubric,da-16-1,1,full-offline-rubric,8.0,0.0,-1.0,0.0,0,False
study,da-19-6--rep-002--solver-luna--full-static,da-19-6,2,full-static,5.0,5.333333333333329,-8.0,0.0,0,False
study,da-10-3--rep-001--solver-luna--user-simulator-static,da-10-3,1,user-simulator-static,21.0,4.666666666666671,21.0,0.0,0,False
study,da-13-6--rep-002--solver-luna--user-simulator-offline-rubric,da-13-6,2,user-simulator-offline-rubric,20.0,-3.3333333333333286,-10.0,0.0,0,False
study,da-10-3--rep-003--solver-luna--user-simulator-offline-rubric,da-10-3,3,user-simulator-offline-rubric,28.0,0.0,-12.0,0.0,0,False
study,da-14-3--rep-003--solver-luna--full-static,da-14-3,3,full-static,0.0,0.0,6.0,0.0,0,False
study,da-13-1--rep-003--solver-luna--user-simulator-static,da-13-1,3,user-simulator-static,0.0,6.0,12.0,0.0,0,False
study,da-12-2--rep-003--solver-luna--user-simulator-static,da-12-2,3,user-simulator-static,5.0,-10.0,-10.0,0.0,0,False
study,da-19-6--rep-001--solver-luna--full-static,da-19-6,1,full-static,10.0,0.0,-7.0,0.0,1,False
study,da-15-8--rep-002--solver-luna--full-offline-rubric,da-15-8,2,full-offline-rubric,0.0,0.0,75.0,0.0,1,False
study,da-15-7--rep-001--solver-luna--full-offline-rubric,da-15-7,1,full-offline-rubric,15.0,-4.666666666666664,2.0,0.0,0,False
study,da-13-6--rep-001--solver-luna--full-offline-rubric,da-13-6,1,full-offline-rubric,0.0,0.0,42.0,0.0,0,False
study,da-13-5--rep-001--solver-luna--user-simulator-static,da-13-5,1,user-simulator-static,0.0,5.0,12.0,0.0,0,False
study,da-13-3--rep-003--solver-luna--user-simulator-static,da-13-3,3,user-simulator-static,0.0,0.0,4.0,0.0,0,False
study,da-18-5--rep-002--solver-luna--user-simulator-offline-rubric,da-18-5,2,user-simulator-offline-rubric,18.0,6.666666666666671,30.0,0.0,0,False
study,da-16-1--rep-001--solver-luna--user-simulator-offline-rubric,da-16-1,1,user-simulator-offline-rubric,0.0,0.0,17.0,0.0,0,False
study,da-13-1--rep-001--solver-luna--user-simulator-static,da-13-1,1,user-simulator-static,0.0,-3.0,15.0,0.0,0,False
study,da-18-7--rep-003--solver-luna--user-simulator-offline-rubric,da-18-7,3,user-simulator-offline-rubric,18.0,11.666666666666664,-16.0,0.0,0,False
study,da-19-1--rep-003--solver-luna--full-static,da-19-1,3,full-static,0.0,0.0,5.0,0.0,0,False
study,da-14-1--rep-002--solver-luna--full-static,da-14-1,2,full-static,17.0,0.0,-9.0,0.0,0,False
study,da-18-7--rep-003--solver-luna--full-offline-rubric,da-18-7,3,full-offline-rubric,8.0,0.0,1.0,0.0,0,False
study,da-12-4--rep-003--solver-luna--full-offline-rubric,da-12-4,3,full-offline-rubric,0.0,0.0,28.0,0.0,0,False
study,da-14-8--rep-001--solver-luna--full-offline-rubric,da-14-8,1,full-offline-rubric,0.0,0.0,42.0,0.0,3,False
study,da-13-3--rep-002--solver-luna--full-offline-rubric,da-13-3,2,full-offline-rubric,0.0,0.0,18.0,0.0,0,False
study,da-14-8--rep-002--solver-luna--user-simulator-static,da-14-8,2,user-simulator-static,39.0,8.333333333333329,-17.0,0.0,0,False
study,da-13-5--rep-003--solver-luna--user-simulator-static,da-13-5,3,user-simulator-static,0.0,0.0,4.0,0.0,0,False
study,da-13-3--rep-002--solver-luna--full-static,da-13-3,2,full-static,0.0,0.0,28.0,0.0,0,False
study,da-15-7--rep-002--solver-luna--full-offline-rubric,da-15-7,2,full-offline-rubric,17.0,0.0,2.0,0.0,1,False
study,da-15-2--rep-002--solver-luna--user-simulator-offline-rubric,da-15-2,2,user-simulator-offline-rubric,5.0,1.6666666666666714,6.0,0.0,0,False
study,da-14-1--rep-003--solver-luna--full-offline-rubric,da-14-1,3,full-offline-rubric,17.0,0.0,-9.0,0.0,0,False
study,da-14-3--rep-002--solver-luna--full-static,da-14-3,2,full-static,0.0,0.0,18.0,0.0,0,False
study,da-13-1--rep-002--solver-luna--user-simulator-static,da-13-1,2,user-simulator-static,0.0,3.3333333333333286,21.0,0.0,0,False
study,da-15-1--rep-003--solver-luna--full-offline-rubric,da-15-1,3,full-offline-rubric,0.0,0.6666666666666714,25.0,0.0,0,False
study,da-13-1--rep-001--solver-luna--user-simulator-offline-rubric,da-13-1,1,user-simulator-offline-rubric,9.0,-5.333333333333329,-4.0,0.0,0,False
study,da-19-6--rep-003--solver-luna--user-simulator-static,da-19-6,3,user-simulator-static,12.0,-11.333333333333336,-48.0,0.0,0,False
study,da-10-1--rep-001--solver-luna--user-simulator-offline-rubric,da-10-1,1,user-simulator-offline-rubric,3.0,-1.6666666666666714,13.0,0.0,0,False
study,da-14-3--rep-003--solver-luna--full-offline-rubric,da-14-3,3,full-offline-rubric,0.0,0.0,6.0,0.0,0,False
study,da-15-1--rep-001--solver-luna--full-static,da-15-1,1,full-static,5.0,0.0,43.0,0.0,0,False
study,da-13-1--rep-003--solver-luna--user-simulator-offline-rubric,da-13-1,3,user-simulator-offline-rubric,9.0,0.0,17.0,0.0,1,False
study,da-19-1--rep-002--solver-luna--full-offline-rubric,da-19-1,2,full-offline-rubric,0.0,0.0,3.0,0.0,1,False
study,da-15-1--rep-001--solver-luna--user-simulator-offline-rubric,da-15-1,1,user-simulator-offline-rubric,0.0,0.0,29.0,0.0,1,False
study,da-15-8--rep-003--solver-luna--user-simulator-static,da-15-8,3,user-simulator-static,10.0,0.0,55.0,0.0,0,False
study,da-19-6--rep-002--solver-luna--full-offline-rubric,da-19-6,2,full-offline-rubric,30.0,-4.0,-35.0,0.0,0,False
